,age,workclass,fnlwgt,education-num,marital-status,relationship,race,sex,capital-gain,capital-loss,hours-per-week,income
27028,29,Local-gov,376302,9,Married-civ-spouse,Wife,White,Female,0,0,35,0
27029,33,Private,209768,6,Married-civ-spouse,Husband,White,Female,0,0,40,0
27030,41,Private,123490,3,Married-civ-spouse,Husband,White,Female,0,0,40,0
27031,38,Self-emp-not-inc,214008,2,Married-civ-spouse,Husband,White,Female,0,0,50,0
27032,55,Local-gov,30636,2,Married-civ-spouse,Husband,White,Female,4386,0,40,0
27033,37,Local-gov,264503,13,Married-civ-spouse,Husband,White,Female,0,0,40,0
27034,26,Private,112754,4,Married-civ-spouse,Husband,White,Male,0,0,65,0
27035,51,Private,259363,1,Married-civ-spouse,Husband,White,Female,0,0,60,0
27036,43,Private,266324,1,Married-civ-spouse,Husband,White,Male,0,1902,99,0
27037,32,Self-emp-not-inc,68879,4,Married-civ-spouse,Husband,White,Female,0,0,50,0
27038,76,Private,124191,10,Married-civ-spouse,Husband,White,Female,0,0,40,0
27039,44,Private,103459,5,Married-civ-spouse,Wife,White,Female,0,0,40,0
27040,44,Private,214838,4,Married-civ-spouse,Husband,White,Male,0,0,45,0
27041,35,Private,190297,3,Married-civ-spouse,Husband,White,Female,0,1977,65,0
27042,28,Private,101618,5,Married-civ-spouse,Husband,White,Male,0,0,42,0
27043,43,Local-gov,92374,8,Married-civ-spouse,Wife,Black,Female,0,0,35,0
27044,27,Private,183523,14,Married-civ-spouse,Husband,White,Male,0,0,40,0
27045,51,Private,224207,5,Married-civ-spouse,Husband,White,Female,0,0,40,0
27046,38,Self-emp-inc,196373,3,Married-civ-spouse,Husband,White,Female,0,0,40,0
27047,43,Private,257028,14,Married-civ-spouse,Husband,Black,Female,0,0,40,1
27048,37,Private,230035,7,Married-civ-spouse,Husband,White,Male,0,0,46,0
27049,40,Local-gov,174395,3,Married-civ-spouse,Husband,White,Female,0,0,60,0
27050,38,Private,54816,4,Married-civ-spouse,Husband,White,Male,0,0,40,0
27051,35,Self-emp-inc,200352,5,Married-civ-spouse,Husband,White,Female,0,0,45,0
27052,58,Local-gov,147428,3,Married-civ-spouse,Husband,White,Male,0,0,40,0
27053,35,Private,201328,12,Married-civ-spouse,Husband,White,Male,0,0,50,1
27054,48,State-gov,106377,4,Married-civ-spouse,Husband,White,Female,0,0,65,0
27055,28,Private,354095,14,Never-married,Not-in-family,White,Female,0,0,40,1
27056,47,Private,132912,2,Married-civ-spouse,Husband,White,Female,0,0,55,0
27057,63,Private,298699,10,Married-civ-spouse,Husband,White,Male,0,0,40,0
27058,36,Private,111128,11,Married-civ-spouse,Husband,White,Female,0,0,45,1
27059,57,Local-gov,118481,7,Married-civ-spouse,Husband,White,Female,0,1902,40,0
27060,46,Local-gov,230979,15,Divorced,Not-in-family,White,Male,4787,0,25,0
27061,39,Private,314007,13,Married-civ-spouse,Husband,White,Female,0,0,40,1
27062,55,Private,197114,1,Married-civ-spouse,Husband,White,Female,0,0,6,0
27063,39,Private,269323,5,Married-civ-spouse,Husband,White,Male,0,0,40,0
27064,50,Self-emp-inc,132716,7,Married-civ-spouse,Husband,White,Male,0,0,50,0
27065,35,Private,30916,4,Married-civ-spouse,Husband,White,Male,0,0,50,0
27066,32,Private,214150,10,Married-civ-spouse,Husband,White,Female,0,0,50,0
27067,37,Private,329980,6,Married-civ-spouse,Husband,White,Male,0,2415,60,0
27068,59,Private,33725,14,Married-civ-spouse,Husband,White,Male,0,0,40,0
27069,59,Private,157932,8,Married-civ-spouse,Husband,White,Female,0,0,40,0
27070,33,Self-emp-not-inc,118267,16,Divorced,Not-in-family,White,Male,0,0,60,1
27071,75,State-gov,113868,8,Married-civ-spouse,Husband,Black,Female,0,0,20,0
27072,49,Self-emp-not-inc,349151,16,Married-civ-spouse,Husband,White,Male,3411,0,40,1
27073,39,Private,301628,7,Married-civ-spouse,Wife,White,Male,0,0,40,0
27074,34,Private,209808,6,Married-civ-spouse,Husband,White,Female,0,0,40,0
27075,38,Self-emp-inc,184456,2,Married-civ-spouse,Husband,White,Male,0,0,55,0
27076,63,Private,266083,16,Married-civ-spouse,Husband,White,Male,0,0,60,0
27077,36,Private,192939,4,Married-civ-spouse,Husband,White,Male,0,1977,60,0
27078,37,Private,176967,1,Married-civ-spouse,Husband,White,Male,0,0,50,0
27079,31,Private,97723,6,Married-civ-spouse,Husband,White,Male,0,0,40,0
27080,36,Private,373952,11,Married-civ-spouse,Husband,White,Male,0,0,40,0
27081,50,Private,339954,9,Married-civ-spouse,Husband,White,Female,0,0,40,0
27082,38,Private,186325,4,Married-civ-spouse,Wife,White,Female,0,0,38,0
27083,49,Private,149337,15,Separated,Not-in-family,White,Male,0,0,40,1
27084,55,Private,27227,2,Married-civ-spouse,Husband,White,Female,0,1977,35,0
27085,32,Private,426431,16,Divorced,Not-in-family,White,Male,0,0,40,1
27086,65,Self-emp-inc,103824,4,Married-civ-spouse,Husband,White,Female,0,0,40,0
