,age,workclass,fnlwgt,education-num,marital-status,relationship,race,sex,capital-gain,capital-loss,hours-per-week,income
25323,42,Private,124692,14,Separated,Husband,Asian-Pac-Islander,Male,0,0,40,0
25324,42,Private,124692,5,Married-civ-spouse,Husband,White,Male,0,0,40,0
25325,34,Self-emp-inc,176795,13,Married-civ-spouse,Husband,White,Male,0,0,45,0
25326,57,Self-emp-inc,50610,13,Married-civ-spouse,Husband,White,Male,0,0,3,0
25327,50,Private,163083,9,Married-civ-spouse,Not-in-family,Black,Female,0,1485,37,0
25328,50,Private,103024,9,Married-civ-spouse,Wife,Amer-Indian-Eskimo,Female,0,1485,37,0
25329,56,Private,295706,3,Married-civ-spouse,Husband,White,Male,0,0,40,0
25330,56,Private,149044,3,Married-civ-spouse,Husband,White,Female,0,0,40,0
25331,53,State-gov,231472,4,Married-civ-spouse,Husband,White,Male,0,538,40,0
25332,53,State-gov,231472,12,Married-civ-spouse,Unmarried,White,Male,0,0,40,0
25333,24,Private,100669,10,Never-married,Own-child,Asian-Pac-Islander,Male,49547,0,30,1
25334,24,Private,100669,10,Never-married,Own-child,Asian-Pac-Islander,Male,90638,0,30,1
25335,26,Local-gov,102628,10,Married-civ-spouse,Husband,White,Male,0,3576,40,0
25336,47,Local-gov,102628,3,Never-married,Husband,White,Male,0,0,40,0
25337,42,Federal-gov,108183,1,Married-civ-spouse,Husband,Asian-Pac-Islander,Male,0,1902,40,0
25338,42,Federal-gov,108183,14,Never-married,Own-child,Asian-Pac-Islander,Male,0,1902,40,0
25339,53,Private,295896,11,Married-civ-spouse,Husband,White,Male,0,0,85,1
25340,53,Private,295896,7,Married-civ-spouse,Husband,White,Male,35117,0,33,1
25341,60,Self-emp-not-inc,282660,4,Married-civ-spouse,Unmarried,White,Male,14589,0,40,1
25342,60,Self-emp-not-inc,282660,4,Married-civ-spouse,Husband,White,Male,97053,0,40,1
25343,42,Federal-gov,170230,14,Never-married,Not-in-family,Black,Female,4423,0,60,0
25344,42,Federal-gov,170230,14,Never-married,Not-in-family,White,Female,2782,0,60,0
25345,63,Self-emp-not-inc,167501,10,Married-civ-spouse,Wife,White,Female,1215,0,10,0
25346,63,Self-emp-not-inc,167501,10,Married-civ-spouse,Wife,White,Female,3398,0,10,0
25347,62,Private,122246,10,Never-married,Not-in-family,White,Male,2179,0,39,0
25348,84,Private,122246,10,Never-married,Not-in-family,White,Female,4072,0,39,0
25349,37,Without-pay,160402,13,Divorced,Husband,White,Male,0,0,55,0
25350,37,State-gov,160402,13,Divorced,Husband,Amer-Indian-Eskimo,Male,0,0,55,0
25351,73,Private,250552,9,Married-civ-spouse,Husband,White,Male,0,0,40,0
25352,60,Private,250552,9,Married-civ-spouse,Other-relative,White,Male,0,0,63,0
25353,38,Federal-gov,238342,13,Married-civ-spouse,Husband,White,Male,3438,0,42,0
25354,38,Federal-gov,238342,13,Married-spouse-absent,Husband,White,Male,1854,0,42,0
25355,36,Private,187983,13,Married-civ-spouse,Wife,White,Female,35483,0,40,1
25356,36,Private,187983,13,Married-civ-spouse,Wife,White,Female,29594,0,40,1
25357,37,Federal-gov,113597,10,Married-civ-spouse,Husband,White,Male,0,0,55,0
25358,44,Federal-gov,113597,10,Never-married,Husband,White,Male,0,0,55,0
25359,40,Private,77313,13,Separated,Husband,White,Female,0,0,60,0
25360,40,Private,77313,6,Never-married,Not-in-family,White,Female,0,3170,60,0
25361,53,Self-emp-not-inc,169112,2,Married-civ-spouse,Husband,White,Female,0,0,40,0
25362,21,Self-emp-not-inc,169112,13,Married-civ-spouse,Husband,White,Male,0,0,40,0
25363,39,Private,216129,12,Divorced,Unmarried,Black,Female,13893,0,35,1
25364,39,Private,216129,12,Divorced,Unmarried,Black,Female,57126,0,35,1
25365,24,Self-emp-not-inc,31606,13,Married-civ-spouse,Not-in-family,Black,Female,0,0,20,0
25366,24,Self-emp-not-inc,31606,15,Married-civ-spouse,Not-in-family,White,Female,0,0,20,0
25367,40,Private,111483,13,Married-civ-spouse,Other-relative,White,Male,149,0,40,0
25368,40,Private,111483,13,Married-civ-spouse,Husband,White,Male,3348,0,40,0
25369,62,Private,205643,6,Married-civ-spouse,Husband,White,Male,0,0,45,0
25370,62,Private,205643,10,Married-civ-spouse,Husband,Amer-Indian-Eskimo,Male,0,0,45,0
25371,33,Federal-gov,169078,9,Married-civ-spouse,Husband,White,Male,4386,0,40,0
25372,50,Federal-gov,169078,9,Married-civ-spouse,Husband,White,Male,4386,0,89,0
25373,79,State-gov,343646,13,Divorced,Not-in-family,White,Male,0,1358,40,0
25374,67,State-gov,343646,13,Divorced,Not-in-family,White,Male,0,0,40,0
25375,40,Local-gov,183096,5,Separated,Wife,White,Female,0,0,40,0
25376,40,Self-emp-not-inc,205950,5,Married-civ-spouse,Wife,White,Female,0,0,40,0
25377,41,Private,84610,13,Married-AF-spouse,Husband,White,Male,0,1902,15,0
25378,41,Private,84610,13,Married-civ-spouse,Husband,White,Male,0,1621,2,0
25379,32,Self-emp-not-inc,176185,9,Never-married,Not-in-family,White,Male,4787,0,40,0
25380,32,Private,176185,9,Divorced,Not-in-family,White,Male,4787,0,50,0
25381,17,Federal-gov,32763,6,Never-married,Own-child,White,Male,88133,0,15,1
25382,17,Private,196123,6,Never-married,Own-child,White,Male,64195,0,15,1
25383,28,Private,30771,10,Never-married,Unmarried,Black,Female,29250,0,40,1
25384,28,Private,30771,10,Never-married,Unmarried,Black,Female,87592,0,40,1
25385,29,Private,271579,6,Never-married,Not-in-family,White,Male,24579,0,40,1
25386,29,Private,271579,6,Never-married,Not-in-family,White,Male,31200,0,40,1
25387,48,Private,54759,9,Divorced,Unmarried,White,Female,0,2596,38,1
25388,48,Private,54759,9,Divorced,Wife,White,Female,66407,0,38,1
25389,50,Private,108933,5,Married-civ-spouse,Husband,White,Male,7082,0,40,1
25390,50,Private,108933,5,Married-civ-spouse,Husband,White,Male,20714,0,40,1
25391,37,Federal-gov,287031,11,Divorced,Husband,White,Male,0,0,50,0
25392,37,Self-emp-not-inc,287031,14,Never-married,Husband,White,Male,0,0,50,0
25393,63,Private,177027,13,Married-civ-spouse,Wife,Asian-Pac-Islander,Female,1703,0,52,0
25394,40,Self-emp-not-inc,177027,13,Married-civ-spouse,Wife,Asian-Pac-Islander,Female,3707,0,52,0
25395,24,Local-gov,107308,16,Married-civ-spouse,Husband,White,Male,0,0,40,0
25396,55,Private,107308,14,Married-civ-spouse,Husband,Black,Male,0,0,40,0
25397,38,Private,341943,9,Divorced,Unmarried,White,Female,0,3417,40,1
25398,38,Private,341943,9,Divorced,Unmarried,Amer-Indian-Eskimo,Female,37489,0,40,1
25399,42,Local-gov,344060,9,Married-civ-spouse,Husband,White,Male,2417,0,40,0
