,age,workclass,fnlwgt,education-num,marital-status,relationship,race,sex,capital-gain,capital-loss,hours-per-week,income
37979,39,Private,198841,14,Married-civ-spouse,Husband,White,Male,4335,0,45,0
37980,70,Private,198841,14,Married-civ-spouse,Husband,White,Male,3627,0,45,0
37981,62,Private,139992,13,Never-married,Not-in-family,White,Female,88918,0,40,1
37982,26,Private,139992,13,Never-married,Not-in-family,White,Female,31782,0,40,1
37983,47,Private,355954,10,Married-civ-spouse,Husband,White,Male,0,0,20,0
37984,51,Private,355954,15,Married-civ-spouse,Husband,White,Male,0,0,60,0
37985,31,Private,473133,14,Divorced,Other-relative,White,Male,5178,0,40,0
37986,31,Private,473133,14,Never-married,Husband,Other,Male,5178,0,40,0
37987,24,Private,322674,12,Never-married,Not-in-family,White,Male,80041,0,54,1
37988,24,Private,322674,12,Divorced,Not-in-family,White,Male,93078,0,48,1
37989,43,Private,154076,10,Married-civ-spouse,Husband,White,Male,0,2202,40,0
37990,43,Private,154076,15,Married-civ-spouse,Husband,White,Male,0,0,56,0
37991,59,Self-emp-not-inc,107287,6,Widowed,Unmarried,White,Female,0,2203,50,0
37992,59,Self-emp-inc,107287,11,Widowed,Unmarried,White,Female,0,1450,50,0
37993,42,Private,183884,9,Married-civ-spouse,Other-relative,White,Male,0,0,35,0
37994,42,Private,136986,9,Married-civ-spouse,Unmarried,White,Male,0,2082,35,0
37995,23,Local-gov,191364,12,Married-civ-spouse,Husband,White,Female,0,0,40,0
37996,64,Self-emp-not-inc,191364,12,Married-civ-spouse,Husband,White,Male,0,0,40,0
37997,51,Private,274964,13,Married-civ-spouse,Husband,White,Male,0,0,97,0
37998,81,Private,229259,13,Married-civ-spouse,Husband,White,Male,0,0,45,0
37999,25,Private,255647,9,Married-civ-spouse,Wife,Other,Female,5867,0,25,1
38000,25,Private,255647,9,Divorced,Wife,White,Female,43537,0,25,1
38001,45,Private,36006,13,Married-civ-spouse,Husband,White,Male,0,0,4,0
38002,45,Private,408537,11,Married-civ-spouse,Husband,White,Male,0,0,45,0
38003,85,Private,243409,10,Married-civ-spouse,Husband,White,Male,0,0,60,0
38004,39,Private,243409,9,Never-married,Husband,White,Male,0,0,45,0
38005,24,Self-emp-inc,60783,3,Married-civ-spouse,Husband,White,Male,0,0,70,0
38006,24,Private,120080,10,Married-AF-spouse,Husband,White,Male,0,0,70,0
38007,33,Self-emp-not-inc,266674,10,Married-civ-spouse,Husband,White,Male,4883,0,72,0
38008,33,Self-emp-not-inc,266674,10,Married-civ-spouse,Husband,White,Male,847,0,56,0
38009,48,Private,191429,10,Married-civ-spouse,Husband,White,Male,0,2,40,0
38010,48,Private,36503,10,Married-civ-spouse,Husband,White,Female,0,0,40,0
38011,45,Private,301802,14,Married-spouse-absent,Husband,White,Male,0,0,50,0
38012,45,Private,351772,13,Married-spouse-absent,Husband,White,Male,0,0,50,0
38013,34,Private,737315,15,Married-civ-spouse,Husband,Asian-Pac-Islander,Female,0,0,65,0
38014,34,Private,737315,16,Married-civ-spouse,Husband,White,Male,0,1573,65,0
38015,37,Private,116358,10,Married-civ-spouse,Husband,White,Male,0,0,40,0
38016,37,Private,82622,16,Widowed,Husband,White,Male,0,0,40,0
38017,56,Private,244580,12,Married-civ-spouse,Husband,Amer-Indian-Eskimo,Male,0,0,40,0
38018,64,Private,244580,9,Married-civ-spouse,Husband,White,Male,0,0,40,0
38019,27,Private,298635,14,Married-civ-spouse,Husband,Black,Male,0,108,40,0
38020,27,Self-emp-not-inc,298635,14,Married-civ-spouse,Husband,Amer-Indian-Eskimo,Male,0,0,40,0
38021,51,Local-gov,170086,13,Married-civ-spouse,Husband,White,Male,0,0,90,0
38022,51,Self-emp-not-inc,25610,13,Married-civ-spouse,Husband,White,Male,0,0,21,0
38023,66,Private,146454,10,Never-married,Husband,White,Female,5556,0,40,0
38024,66,Private,146454,10,Never-married,Husband,White,Male,5556,0,44,0
38025,55,Private,102058,13,Married-civ-spouse,Husband,White,Female,0,0,86,0
38026,55,Local-gov,102058,13,Married-civ-spouse,Husband,White,Male,0,0,5,0
38027,48,Without-pay,205424,13,Married-spouse-absent,Unmarried,White,Male,0,0,40,0
38028,90,Private,182100,13,Divorced,Unmarried,White,Male,0,0,40,0
38029,28,State-gov,445824,14,Widowed,Wife,White,Female,0,0,50,0
38030,28,State-gov,200825,14,Married-civ-spouse,Own-child,White,Female,0,0,50,0
38031,26,Private,189922,12,Married-civ-spouse,Husband,White,Male,0,0,62,0
38032,37,Private,189922,8,Never-married,Husband,White,Male,0,0,50,0
38033,22,Private,233495,14,Divorced,Not-in-family,White,Female,43826,0,40,1
38034,22,Private,233495,5,Divorced,Not-in-family,White,Female,31183,0,40,1
38035,47,Private,423222,14,Divorced,Husband,White,Male,0,0,45,0
38036,47,Private,423222,15,Married-civ-spouse,Husband,White,Male,0,0,12,0
38037,41,Private,359696,13,Married-civ-spouse,Husband,White,Male,4203,0,60,0
38038,41,Private,359696,13,Married-civ-spouse,Own-child,White,Male,4203,0,60,0
38039,42,Self-emp-not-inc,282660,4,Married-civ-spouse,Husband,White,Male,73476,0,40,1
38040,60,Self-emp-not-inc,328301,4,Married-civ-spouse,Husband,White,Male,26794,0,40,1
38041,22,State-gov,211798,11,Never-married,Not-in-family,White,Male,53732,0,10,1
38042,22,State-gov,211798,11,Never-married,Own-child,White,Male,67754,0,10,1
38043,34,Private,84119,9,Never-married,Own-child,White,Male,35753,0,40,1
38044,34,Private,107265,9,Never-married,Own-child,White,Male,52848,0,40,1
38045,29,Private,82910,10,Married-civ-spouse,Husband,White,Male,83659,0,40,1
38046,29,Federal-gov,103925,10,Married-civ-spouse,Husband,White,Male,0,0,40,1
38047,41,Private,92775,12,Married-civ-spouse,Husband,White,Male,0,152,60,0
38048,41,Private,92775,1,Married-civ-spouse,Husband,White,Male,0,0,61,0
38049,55,Private,201232,13,Married-civ-spouse,Husband,White,Male,0,0,57,0
38050,55,Private,201232,12,Married-civ-spouse,Husband,White,Female,0,0,55,0
38051,38,State-gov,125499,13,Married-civ-spouse,Husband,Asian-Pac-Islander,Female,4014,0,60,0
38052,38,State-gov,125499,13,Married-civ-spouse,Husband,Asian-Pac-Islander,Male,3603,0,60,0
38053,73,Federal-gov,99527,10,Married-civ-spouse,Husband,White,Male,0,0,40,0
