,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
9491,23,services,single,secondary,no,279,yes,no,unknown,18,may,332,1,370,1,failure,0
9492,31,blue-collar,married,primary,no,3,yes,yes,telephone,25,jul,1502,3,-1,0,unknown,1
9493,52,technician,married,tertiary,no,1416,yes,no,cellular,14,jul,920,3,-1,0,unknown,1
9494,48,technician,single,secondary,no,522,yes,no,unknown,19,may,1349,1,-1,0,unknown,1
9495,50,management,divorced,tertiary,no,810,no,no,cellular,15,sep,91,7,103,14,success,0
9496,79,retired,married,secondary,yes,8304,no,no,cellular,9,dec,456,2,275,9,failure,0
9497,35,admin.,single,secondary,no,507,yes,no,unknown,22,jul,560,2,334,0,unknown,0
9498,61,blue-collar,single,tertiary,no,0,no,no,cellular,16,oct,136,2,-1,0,unknown,0
9499,64,retired,married,secondary,no,440,no,no,cellular,6,feb,495,7,-1,0,unknown,0
9500,68,management,married,secondary,no,2693,no,no,cellular,22,sep,182,1,184,7,other,0
9501,56,housemaid,married,primary,no,2785,yes,no,cellular,11,aug,610,4,-1,0,unknown,0
9502,26,blue-collar,single,secondary,no,26,yes,yes,cellular,15,may,70,2,-1,0,unknown,0
9503,30,admin.,single,secondary,no,31009,no,no,cellular,9,dec,123,1,-1,0,unknown,0
9504,60,retired,divorced,tertiary,no,979,yes,no,cellular,25,jan,295,3,347,8,failure,0
9505,35,blue-collar,married,secondary,no,5639,yes,no,cellular,9,nov,524,2,-1,0,unknown,0
9506,34,admin.,divorced,tertiary,no,69,no,yes,cellular,4,aug,120,3,189,6,success,0
9507,55,technician,married,primary,no,0,yes,no,cellular,17,jul,178,2,-1,0,unknown,0
9508,44,entrepreneur,single,secondary,no,-701,no,no,cellular,28,jul,332,2,181,2,failure,0
9509,26,technician,single,secondary,no,639,yes,no,unknown,6,jun,400,5,-1,0,unknown,0
9510,51,entrepreneur,married,unknown,no,3308,no,no,cellular,28,jul,219,2,-1,0,unknown,0
9511,29,management,single,tertiary,no,29331,no,no,cellular,16,feb,238,1,-1,0,unknown,0
9512,72,retired,married,unknown,no,1129,no,no,cellular,26,aug,186,1,-1,5,unknown,0
9513,38,technician,married,secondary,no,4539,no,yes,cellular,16,sep,387,1,297,0,unknown,0
9514,74,services,married,primary,no,0,no,no,telephone,13,aug,727,2,-1,0,unknown,0
9515,52,management,single,unknown,no,2104,no,no,cellular,3,jun,210,2,-1,0,unknown,0
