,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
28475,24,student,single,unknown,no,3298,yes,no,unknown,28,may,728,1,99,0,unknown,1
28476,30,services,married,secondary,no,253,yes,no,cellular,5,may,1102,2,-1,0,unknown,1
28477,40,blue-collar,divorced,secondary,no,178,yes,no,cellular,15,may,892,1,-1,0,unknown,1
28478,58,management,married,unknown,no,1227,no,no,cellular,8,sep,400,2,95,1,unknown,0
28479,31,technician,married,secondary,no,0,yes,no,cellular,30,feb,1070,3,-1,0,unknown,1
28480,72,retired,married,primary,no,2304,no,no,unknown,5,may,510,4,-1,17,unknown,0
28481,33,management,married,tertiary,no,2044,yes,no,cellular,15,may,1156,3,177,23,failure,1
28482,32,management,single,tertiary,no,574,yes,no,cellular,20,jun,171,1,127,2,success,1
28483,35,blue-collar,married,secondary,no,14274,yes,no,cellular,29,apr,507,4,349,1,other,0
28484,35,technician,single,secondary,no,1708,no,no,unknown,2,apr,110,3,-1,0,unknown,1
28485,60,housemaid,married,primary,no,0,no,yes,unknown,18,jun,1473,1,-1,0,unknown,1
28486,54,management,married,tertiary,no,8295,no,no,cellular,2,oct,849,10,119,1,failure,0
28487,27,services,single,secondary,no,118,yes,yes,unknown,12,sep,3078,1,-1,0,unknown,1
28488,52,technician,married,secondary,no,14054,yes,no,unknown,27,oct,95,4,-1,0,unknown,1
28489,49,entrepreneur,single,unknown,yes,-701,yes,no,cellular,30,jul,130,2,-1,0,unknown,0
28490,30,technician,married,secondary,no,2371,yes,yes,cellular,25,jul,1036,5,-1,0,unknown,1
28491,53,management,married,unknown,no,2240,yes,no,cellular,2,jun,1005,2,385,1,unknown,0
28492,36,services,single,secondary,no,2409,yes,no,telephone,11,sep,338,2,-1,0,unknown,1
28493,63,technician,divorced,secondary,no,973,no,no,cellular,25,feb,7,1,388,1,success,0
28494,35,technician,married,tertiary,no,0,yes,yes,cellular,26,mar,886,3,363,2,failure,1
28495,53,retired,married,secondary,no,6095,yes,yes,cellular,14,oct,1792,5,-1,0,unknown,1
28496,22,management,single,tertiary,no,1253,no,no,cellular,21,jul,598,5,-1,0,unknown,0
28497,55,management,divorced,tertiary,no,2037,no,no,cellular,29,dec,209,2,273,1,failure,0
28498,22,student,single,secondary,no,64,no,no,cellular,4,jun,1293,1,154,0,unknown,1
28499,33,blue-collar,married,primary,no,-195,no,no,unknown,20,apr,389,1,-1,0,unknown,0
28500,35,blue-collar,married,primary,no,102,yes,no,unknown,20,may,1334,19,-1,0,unknown,0
28501,36,technician,single,secondary,no,23,yes,no,cellular,18,may,580,2,384,2,failure,1
28502,51,management,divorced,secondary,no,292,no,no,cellular,26,aug,1060,9,-1,0,unknown,1
28503,51,blue-collar,married,primary,no,354,yes,no,cellular,14,may,867,2,344,1,other,1
