,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
4745,46,management,married,tertiary,no,1600,yes,yes,unknown,11,aug,1244,1,130,0,unknown,0
4746,67,retired,married,tertiary,no,1341,no,no,cellular,13,oct,706,2,-1,0,unknown,0
4747,37,admin.,married,secondary,no,132,no,no,unknown,17,mar,220,1,-1,0,unknown,0
4748,60,management,married,tertiary,yes,315,no,no,cellular,1,sep,136,1,183,3,success,0
4749,31,blue-collar,single,secondary,no,54,yes,no,cellular,29,jun,401,10,-1,0,failure,0
4750,30,management,married,tertiary,no,79142,no,no,cellular,29,oct,251,2,-1,0,unknown,0
4751,29,unemployed,single,tertiary,no,1311,no,no,cellular,28,aug,503,20,-1,0,unknown,0
4752,47,technician,married,primary,no,2480,no,no,cellular,6,jan,763,2,-1,0,unknown,0
4753,59,admin.,married,secondary,no,3735,no,no,cellular,17,jun,243,3,91,14,failure,0
4754,60,management,married,secondary,no,0,no,no,telephone,19,oct,1745,3,62,14,success,1
4755,45,admin.,married,secondary,no,205,no,no,cellular,4,jul,552,1,90,2,unknown,0
4756,60,management,single,tertiary,no,1034,yes,no,unknown,7,apr,231,3,-1,0,unknown,0
4757,31,admin.,single,tertiary,yes,4041,no,no,cellular,30,apr,82,2,-1,0,unknown,0
4758,27,management,married,secondary,no,2071,no,no,cellular,8,jan,449,1,-1,0,unknown,0
4759,27,technician,single,secondary,no,2,yes,yes,cellular,26,may,428,2,356,1,failure,0
4760,25,student,single,primary,no,373,yes,no,cellular,11,may,294,2,-1,0,unknown,0
4761,65,admin.,married,secondary,no,952,no,yes,cellular,6,sep,255,1,96,1,other,0
4762,49,technician,married,tertiary,no,523,no,no,cellular,2,jun,241,1,60,3,failure,0
4763,49,management,divorced,tertiary,no,0,yes,yes,telephone,18,nov,926,2,-1,0,unknown,1
4764,47,technician,married,secondary,no,76972,yes,no,unknown,30,oct,219,4,-1,0,unknown,1
4765,77,unknown,married,unknown,no,397,no,no,unknown,7,may,300,3,320,0,unknown,0
4766,32,student,married,secondary,no,24955,yes,no,cellular,7,aug,289,2,-1,0,unknown,0
4767,50,technician,single,secondary,no,0,no,no,cellular,29,sep,159,7,120,2,failure,0
4768,64,student,single,secondary,no,16073,no,no,cellular,27,oct,184,1,91,2,failure,0
4769,58,unemployed,married,primary,no,1183,no,yes,unknown,31,jul,1721,5,-1,0,unknown,0
4770,30,management,single,tertiary,yes,536,no,no,cellular,31,jul,309,1,-1,0,unknown,0
4771,35,unknown,married,secondary,no,4922,yes,no,cellular,28,nov,393,4,201,17,other,0
4772,42,blue-collar,married,primary,no,807,yes,no,cellular,19,nov,679,1,-1,22,unknown,0
