,status,duration,credit_history,purpose,amount,savings,employment_duration,installment_rate,personal_status_sex,other_debtors,present_residence,property,age,other_installment_plans,housing,number_credits,job,people_liable,telephone,foreign_worker,credit_risk
639,1,24,no credits taken/all credits paid back duly,car (used),3345,... >= 1000 DM,4,0,male : married/widowed,none,2,car or other,39,none,for free,1,manager/self-empl./highly qualif. employee,0 to 2,yes (under customer name),yes,1
640,1,10,all credits at this bank paid back duly,car (used),3345,unknown/no savings account,4,0,male : married/widowed,none,2,car or other,39,none,for free,1,manager/self-empl./highly qualif. employee,0 to 2,yes (under customer name),no,1
641,0,15,no credits taken/all credits paid back duly,retraining,9572,unknown/no savings account,1,3,male : divorced/separated,none,3,building soc. savings agr./life insurance,28,none,rent,3-Feb,skilled employee/official,0 to 2,no,no,1
642,2,36,existing credits paid back duly till now,retraining,9572,unknown/no savings account,1,3,male : divorced/separated,none,3,building soc. savings agr./life insurance,45,none,rent,3-Feb,skilled employee/official,0 to 2,no,no,1
643,2,48,no credits taken/all credits paid back duly,car (new),13479,100 <= ... <  500 DM,2,3,male : married/widowed,none,1,building soc. savings agr./life insurance,26,none,rent,3-Feb,skilled employee/official,0 to 2,no,no,0
644,1,21,no credits taken/all credits paid back duly,car (new),14728,unknown/no savings account,2,3,male : married/widowed,none,3,real estate,26,none,rent,1,skilled employee/official,3 or more,no,no,0
645,0,6,no credits taken/all credits paid back duly,car (used),4611,unknown/no savings account,4,3,female : non-single or male : single,none,2,car or other,32,none,rent,1,skilled employee/official,0 to 2,no,no,1
646,0,6,no credits taken/all credits paid back duly,car (used),4611,unknown/no savings account,1,3,female : non-single or male : single,none,0,car or other,32,none,rent,3-Feb,skilled employee/official,0 to 2,yes (under customer name),no,0
647,1,20,all credits at this bank paid back duly,car (new),6331,unknown/no savings account,4,0,male : married/widowed,none,1,real estate,46,none,own,3-Feb,skilled employee/official,0 to 2,yes (under customer name),no,1
648,1,8,all credits at this bank paid back duly,car (new),6331,unknown/no savings account,3,0,male : married/widowed,none,0,real estate,46,none,own,3-Feb,skilled employee/official,0 to 2,yes (under customer name),no,1
649,1,6,all credits at this bank paid back duly,retraining,3384,unknown/no savings account,2,3,male : divorced/separated,none,0,unknown / no property,44,bank,for free,1,manager/self-empl./highly qualif. employee,0 to 2,yes (under customer name),no,1
650,2,45,all credits at this bank paid back duly,car (used),3384,unknown/no savings account,2,3,male : divorced/separated,none,0,unknown / no property,44,none,for free,1,manager/self-empl./highly qualif. employee,0 to 2,yes (under customer name),no,1
651,1,6,no credits taken/all credits paid back duly,furniture/equipment,6758,unknown/no savings account,2,1,female : non-single or male : single,none,2,car or other,31,none,rent,1,skilled employee/official,0 to 2,yes (under customer name),no,1
652,1,6,no credits taken/all credits paid back duly,furniture/equipment,6758,unknown/no savings account,2,1,female : non-single or male : single,none,3,building soc. savings agr./life insurance,31,none,rent,1,skilled employee/official,0 to 2,yes (under customer name),no,1
653,2,9,no credits taken/all credits paid back duly,others,1702,... >= 1000 DM,2,0,female : non-single or male : single,none,2,car or other,33,none,rent,1,skilled employee/official,0 to 2,no,no,1
654,2,18,no credits taken/all credits paid back duly,others,8678,... >= 1000 DM,2,0,female : non-single or male : single,co-applicant,2,car or other,33,none,rent,1,skilled employee/official,0 to 2,no,no,1
655,1,21,all credits at this bank paid back duly,others,1442,unknown/no savings account,3,0,female : non-single or male : single,none,0,building soc. savings agr./life insurance,23,none,for free,3-Feb,skilled employee/official,0 to 2,no,no,1
656,1,24,all credits at this bank paid back duly,others,1442,unknown/no savings account,3,0,female : non-single or male : single,none,0,unknown / no property,23,none,for free,3-Feb,skilled employee/official,0 to 2,no,no,1
657,1,42,no credits taken/all credits paid back duly,car (used),1845,unknown/no savings account,1,0,female : non-single or male : single,co-applicant,3,car or other,46,none,for free,1,skilled employee/official,0 to 2,no,no,0
658,1,45,no credits taken/all credits paid back duly,business,1845,unknown/no savings account,1,0,female : non-single or male : single,guarantor,3,car or other,46,none,for free,1,skilled employee/official,0 to 2,no,no,0
659,2,72,no credits taken/all credits paid back duly,furniture/equipment,5595,100 <= ... <  500 DM,2,2,female : single,none,2,building soc. savings agr./life insurance,46,none,rent,1,skilled employee/official,0 to 2,no,no,0
