,status,duration,credit_history,purpose,amount,savings,employment_duration,installment_rate,personal_status_sex,other_debtors,present_residence,property,age,other_installment_plans,housing,number_credits,job,people_liable,telephone,foreign_worker,credit_risk
299,1,21,existing credits paid back duly till now,others,7883,unknown/no savings account,4,0,female : single,none,1,building soc. savings agr./life insurance,30,none,rent,3-Feb,skilled employee/official,0 to 2,yes (under customer name),no,0
300,3,27,all credits at this bank paid back duly,furniture/equipment,2520,unknown/no savings account,2,0,male : married/widowed,none,2,car or other,23,none,rent,3-Feb,unskilled - resident,0 to 2,no,no,1
301,2,21,all credits at this bank paid back duly,others,640,unknown/no savings account,2,0,male : divorced/separated,none,2,unknown / no property,49,bank,rent,1,unskilled - resident,0 to 2,no,no,0
302,2,30,delay in paying off in the past,retraining,1922,... <  100 DM,2,0,female : non-single or male : single,none,0,building soc. savings agr./life insurance,26,none,rent,3-Feb,unskilled - resident,0 to 2,no,no,1
303,3,10,no credits taken/all credits paid back duly,car (used),2864,unknown/no savings account,2,2,male : married/widowed,none,3,unknown / no property,34,none,rent,1,unskilled - resident,3 or more,no,no,0
304,2,21,no credits taken/all credits paid back duly,furniture/equipment,1188,unknown/no savings account,4,2,female : non-single or male : single,none,0,car or other,39,none,rent,1,skilled employee/official,0 to 2,no,no,1
305,2,12,delay in paying off in the past,furniture/equipment,6199,unknown/no savings account,2,0,male : married/widowed,none,2,car or other,40,none,for free,3-Feb,skilled employee/official,0 to 2,yes (under customer name),no,1
306,2,48,no credits taken/all credits paid back duly,furniture/equipment,753,unknown/no savings account,2,2,female : non-single or male : single,guarantor,1,unknown / no property,64,none,for free,1,skilled employee/official,0 to 2,no,no,0
307,2,45,no credits taken/all credits paid back duly,furniture/equipment,3031,... <  100 DM,2,0,male : married/widowed,guarantor,0,unknown / no property,21,none,rent,1,skilled employee/official,0 to 2,no,no,1
308,2,18,existing credits paid back duly till now,car (used),4297,unknown/no savings account,4,2,male : married/widowed,none,1,real estate,40,none,rent,1,manager/self-empl./highly qualif. employee,0 to 2,yes (under customer name),no,1
309,2,8,critical account/other credits elsewhere,car (used),1553,unknown/no savings account,2,0,male : married/widowed,none,1,building soc. savings agr./life insurance,44,bank,rent,1,skilled employee/official,0 to 2,no,no,1
310,2,6,no credits taken/all credits paid back duly,domestic appliances,639,unknown/no savings account,2,0,male : married/widowed,guarantor,2,building soc. savings agr./life insurance,30,none,rent,1,skilled employee/official,0 to 2,no,no,1
311,3,45,no credits taken/all credits paid back duly,furniture/equipment,12248,unknown/no savings account,4,0,female : single,none,0,building soc. savings agr./life insurance,38,none,rent,1,skilled employee/official,0 to 2,no,no,0
312,2,12,no credits taken/all credits paid back duly,others,1228,unknown/no savings account,2,0,female : non-single or male : single,none,2,unknown / no property,24,none,rent,1,unskilled - resident,0 to 2,yes (under customer name),no,1
313,0,24,no credits taken/all credits paid back duly,car (used),13444,unknown/no savings account,4,1,male : married/widowed,none,0,car or other,53,none,rent,1,skilled employee/official,0 to 2,no,no,0
314,1,36,all credits at this bank paid back duly,car (new),8065,unknown/no savings account,2,1,female : non-single or male : single,none,2,real estate,37,none,rent,3-Feb,manager/self-empl./highly qualif. employee,0 to 2,yes (under customer name),no,0
315,1,42,no credits taken/all credits paid back duly,car (used),7882,unknown/no savings account,3,2,male : married/widowed,co-applicant,0,car or other,45,none,own,1,skilled employee/official,0 to 2,no,no,0
316,0,36,no credits taken/all credits paid back duly,others,14130,... <  100 DM,1,2,male : married/widowed,co-applicant,1,car or other,45,none,for free,1,manager/self-empl./highly qualif. employee,3 or more,yes (under customer name),no,0
317,1,18,all credits at this bank paid back duly,domestic appliances,1442,unknown/no savings account,3,0,male : married/widowed,none,0,real estate,64,bank,own,3-Feb,unskilled - resident,3 or more,no,no,1
318,1,18,no credits taken/all credits paid back duly,car (used),6421,... >= 1000 DM,2,3,female : non-single or male : single,none,0,unknown / no property,20,none,for free,1,skilled employee/official,0 to 2,no,no,1
319,2,36,critical account/other credits elsewhere,retraining,2746,unknown/no savings account,4,0,male : married/widowed,none,0,building soc. savings agr./life insurance,31,bank,rent,1,skilled employee/official,0 to 2,no,no,0
320,2,36,all credits at this bank paid back duly,others,10167,unknown/no savings account,3,0,male : married/widowed,none,0,building soc. savings agr./life insurance,37,none,rent,3-Feb,skilled employee/official,0 to 2,yes (under customer name),no,0
321,2,36,all credits at this bank paid back duly,others,2225,... >= 1000 DM,4,0,male : married/widowed,none,0,real estate,57,bank,own,3-Feb,skilled employee/official,0 to 2,yes (under customer name),no,1
322,2,24,all credits at this bank paid back duly,retraining,1935,unknown/no savings account,4,0,male : divorced/separated,none,0,real estate,41,none,rent,3-Feb,skilled employee/official,0 to 2,yes (under customer name),no,1
323,1,24,no credits taken/all credits paid back duly,car (new),2303,unknown/no savings account,4,0,male : married/widowed,none,3,unknown / no property,45,none,rent,1,skilled employee/official,0 to 2,no,no,1
324,0,12,all credits at this bank paid back duly,car (used),1386,100 <= ... <  500 DM,2,2,female : non-single or male : single,none,2,car or other,26,none,rent,1,skilled employee/official,0 to 2,no,no,1
325,2,48,existing credits paid back duly till now,repairs,6224,... >= 1000 DM,3,0,male : married/widowed,none,0,real estate,50,none,own,1,skilled employee/official,0 to 2,no,no,1
326,3,20,existing credits paid back duly till now,domestic appliances,7057,unknown/no savings account,3,1,male : married/widowed,none,0,real estate,40,bank,for free,1,manager/self-empl./highly qualif. employee,3 or more,yes (under customer name),no,0
327,2,18,no credits taken/all credits paid back duly,others,1042,... >= 1000 DM,2,0,male : married/widowed,none,2,car or other,53,none,rent,1,skilled employee/official,0 to 2,no,no,1
328,2,9,no credits taken/all credits paid back duly,furniture/equipment,790,100 <= ... <  500 DM,2,0,female : non-single or male : single,none,1,car or other,23,none,rent,1,unskilled - resident,0 to 2,no,no,0
329,1,15,no credits taken/all credits paid back duly,furniture/equipment,750,unknown/no savings account,0,0,female : non-single or male : single,none,3,unknown / no property,27,none,rent,1,unemployed/unskilled - non-resident,0 to 2,no,no,1
330,1,24,delay in paying off in the past,car (used),6872,unknown/no savings account,1,2,male : divorced/separated,none,3,car or other,55,bank,rent,1,skilled employee/official,0 to 2,yes (under customer name),no,1
331,2,48,all credits at this bank paid back duly,furniture/equipment,10742,unknown/no savings account,4,0,female : non-single or male : single,none,3,unknown / no property,47,none,rent,1,skilled employee/official,0 to 2,yes (under customer name),no,0
332,2,12,no credits taken/all credits paid back duly,others,5418,... >= 1000 DM,2,0,female : single,none,2,building soc. savings agr./life insurance,23,none,rent,1,skilled employee/official,0 to 2,no,no,1
333,1,36,all credits at this bank paid back duly,car (used),14342,unknown/no savings account,2,2,female : single,none,2,car or other,46,none,rent,3-Feb,skilled employee/official,0 to 2,yes (under customer name),no,0
334,3,30,existing credits paid back duly till now,retraining,1908,unknown/no savings account,4,3,male : married/widowed,none,0,unknown / no property,66,bank,rent,1,manager/self-empl./highly qualif. employee,0 to 2,yes (under customer name),no,1
335,0,36,existing credits paid back duly till now,retraining,2868,unknown/no savings account,1,3,male : divorced/separated,none,3,building soc. savings agr./life insurance,28,none,rent,3-Feb,unemployed/unskilled - non-resident,0 to 2,no,no,0
336,0,12,no credits taken/all credits paid back duly,vacation,902,unknown/no savings account,3,0,female : single,none,0,car or other,21,none,for free,1,unemployed/unskilled - non-resident,0 to 2,no,no,1
337,3,12,all credits at this bank paid back duly,repairs,939,100 <= ... <  500 DM,3,0,female : single,none,2,unknown / no property,61,none,rent,5-Apr,skilled employee/official,0 to 2,yes (under customer name),no,1
338,0,18,no credits taken/all credits paid back duly,car (used),2473,unknown/no savings account,0,0,male : married/widowed,none,3,building soc. savings agr./life insurance,25,none,own,1,unemployed/unskilled - non-resident,0 to 2,no,no,1
339,2,8,all credits at this bank paid back duly,car (used),1237,unknown/no savings account,4,1,female : non-single or male : single,none,0,unknown / no property,24,none,rent,1,skilled employee/official,0 to 2,no,no,1
340,1,12,no credits taken/all credits paid back duly,furniture/equipment,674,... <  100 DM,3,0,female : non-single or male : single,none,3,car or other,38,none,rent,1,skilled employee/official,0 to 2,no,no,1
341,1,24,existing credits paid back duly till now,furniture/equipment,1659,... >= 1000 DM,1,2,female : non-single or male : single,none,2,building soc. savings agr./life insurance,29,none,for free,1,unskilled - resident,0 to 2,yes (under customer name),no,1
342,2,18,no credits taken/all credits paid back duly,repairs,12892,100 <= ... <  500 DM,2,0,male : married/widowed,none,0,real estate,61,none,own,1,skilled employee/official,0 to 2,no,no,0
343,2,18,no credits taken/all credits paid back duly,car (used),2462,... >= 1000 DM,2,2,male : married/widowed,none,2,building soc. savings agr./life insurance,22,none,rent,1,skilled employee/official,0 to 2,no,no,1
344,2,12,no credits taken/all credits paid back duly,furniture/equipment,2150,unknown/no savings account,2,0,female : non-single or male : single,guarantor,2,real estate,24,bank,rent,1,skilled employee/official,0 to 2,no,no,1
345,2,48,no credits taken/all credits paid back duly,furniture/equipment,5248,unknown/no savings account,2,3,male : married/widowed,none,1,building soc. savings agr./life insurance,26,none,rent,1,skilled employee/official,0 to 2,no,no,0
346,1,12,existing credits paid back duly till now,others,1333,unknown/no savings account,0,2,male : married/widowed,none,2,unknown / no property,43,none,own,3-Feb,skilled employee/official,3 or more,no,no,1
347,0,24,existing credits paid back duly till now,car (used),8648,unknown/no savings account,1,2,male : married/widowed,none,2,building soc. savings agr./life insurance,49,bank,rent,3-Feb,skilled employee/official,0 to 2,yes (under customer name),no,1
