,age,workclass,fnlwgt,education-num,marital-status,relationship,race,sex,capital-gain,capital-loss,hours-per-week,income
39132,44,Private,174373,4,Married-civ-spouse,Husband,White,Male,0,512,40,0
39133,44,Private,174373,12,Separated,Husband,White,Female,0,0,40,0
39134,30,Private,174373,12,Married-civ-spouse,Husband,White,Male,0,3241,40,0
39135,44,Private,174373,12,Married-civ-spouse,Own-child,Asian-Pac-Islander,Male,0,0,40,0
39136,49,Private,174373,2,Married-civ-spouse,Husband,White,Male,0,0,40,0
39137,70,Private,187891,7,Married-civ-spouse,Unmarried,White,Male,46645,0,40,1
39138,90,Private,187891,7,Married-civ-spouse,Husband,White,Male,6926,0,40,1
39139,70,Private,187891,7,Married-civ-spouse,Husband,White,Female,96672,0,40,1
39140,70,Private,187891,7,Married-civ-spouse,Husband,White,Male,69471,2911,40,1
39141,70,Private,187891,7,Married-civ-spouse,Husband,White,Male,72582,0,55,1
39142,17,Private,53611,8,Never-married,Own-child,White,Female,21261,0,6,1
39143,17,Private,53611,8,Never-married,Own-child,White,Female,88842,0,6,1
39144,17,Private,53611,8,Divorced,Own-child,White,Female,27413,0,6,1
39145,19,Private,53611,8,Never-married,Own-child,White,Female,24379,0,6,1
39146,48,Private,53611,8,Never-married,Own-child,White,Female,82908,0,6,1
39147,28,State-gov,291494,16,Married-civ-spouse,Husband,White,Male,0,0,98,0
39148,33,State-gov,291494,10,Married-civ-spouse,Husband,Asian-Pac-Islander,Male,0,0,50,0
39149,33,State-gov,291494,3,Married-civ-spouse,Husband,White,Male,0,0,50,0
39150,79,State-gov,291494,6,Married-civ-spouse,Husband,White,Male,0,0,50,0
39151,33,State-gov,291494,16,Married-civ-spouse,Husband,White,Male,0,0,30,0
39152,62,Private,254534,10,Married-civ-spouse,Husband,White,Male,71275,0,40,1
39153,62,Private,254534,10,Married-civ-spouse,Husband,Amer-Indian-Eskimo,Male,0,0,69,1
39154,50,Private,254534,10,Married-civ-spouse,Husband,White,Female,0,0,40,1
39155,62,Self-emp-inc,254534,10,Married-civ-spouse,Husband,Black,Male,0,0,40,1
39156,62,Private,254534,10,Married-AF-spouse,Husband,White,Male,0,2398,40,1
39157,34,Private,175878,10,Never-married,Not-in-family,White,Male,61152,0,40,1
39158,34,Private,175878,10,Never-married,Not-in-family,White,Male,72052,2296,40,1
39159,34,Private,175878,10,Never-married,Not-in-family,White,Male,30423,0,40,1
39160,34,Private,175878,10,Never-married,Unmarried,White,Male,98268,0,40,1
39161,34,Private,175878,10,Never-married,Not-in-family,Amer-Indian-Eskimo,Male,41292,0,40,1
39162,23,Private,202284,13,Never-married,Own-child,White,Male,84750,1813,20,1
39163,23,Private,202284,13,Never-married,Own-child,White,Male,68298,979,20,1
39164,23,Private,202284,13,Never-married,Own-child,White,Male,67829,0,20,1
39165,23,Private,202284,13,Never-married,Own-child,White,Male,30207,0,20,1
39166,23,Private,202284,13,Never-married,Own-child,White,Male,7809,0,20,1
39167,24,Private,137591,10,Never-married,Own-child,White,Male,34680,0,10,1
39168,24,Private,137591,10,Divorced,Own-child,White,Male,74109,0,10,1
39169,24,Private,137591,10,Never-married,Own-child,White,Male,49771,0,10,1
39170,24,Private,137591,10,Never-married,Own-child,White,Male,8126,0,10,1
39171,24,Private,137591,10,Never-married,Own-child,White,Male,9026,0,89,1
39172,31,Local-gov,295589,10,Never-married,Own-child,Black,Male,16934,0,40,1
39173,31,Local-gov,295589,10,Never-married,Own-child,Amer-Indian-Eskimo,Male,50090,0,40,1
39174,31,Local-gov,295589,10,Never-married,Own-child,Black,Male,10759,0,40,1
39175,31,Local-gov,295589,10,Never-married,Own-child,Black,Male,57732,3340,40,1
39176,31,Local-gov,295589,10,Never-married,Own-child,Black,Male,55031,0,43,1
39177,53,Private,68684,9,Married-civ-spouse,Husband,White,Male,84032,0,40,1
39178,53,Private,68684,9,Married-civ-spouse,Husband,White,Male,6246,0,40,1
39179,34,Private,68684,9,Married-civ-spouse,Husband,White,Male,0,0,40,1
39180,53,Private,68684,9,Married-civ-spouse,Husband,White,Male,13700,0,40,1
39181,53,Private,68684,9,Married-civ-spouse,Husband,White,Male,28584,0,40,1
39182,73,Private,159007,13,Divorced,Other-relative,White,Female,21988,0,19,1
39183,73,Private,159007,13,Married-AF-spouse,Other-relative,White,Female,19914,0,12,1
39184,73,Private,159007,13,Divorced,Other-relative,Amer-Indian-Eskimo,Female,25351,0,12,1
39185,73,Private,159007,13,Divorced,Other-relative,White,Female,40861,3357,12,1
39186,73,Private,159007,13,Divorced,Other-relative,White,Female,0,2687,12,0
39187,30,Private,200246,11,Never-married,Not-in-family,White,Male,93174,0,40,1
39188,30,Private,200246,11,Never-married,Not-in-family,White,Female,58014,0,40,1
39189,30,Private,200246,11,Never-married,Not-in-family,White,Male,40786,0,37,1
39190,30,Private,200246,11,Never-married,Not-in-family,White,Male,98425,1105,40,1
39191,30,Private,200246,13,Never-married,Not-in-family,White,Male,97878,0,40,1
39192,35,Without-pay,283305,13,Never-married,Not-in-family,White,Female,67700,0,40,1
39193,35,Private,283305,13,Never-married,Not-in-family,White,Female,82479,0,40,1
39194,35,Private,283305,2,Never-married,Not-in-family,White,Female,24994,0,40,1
39195,35,Private,283305,13,Never-married,Not-in-family,White,Female,8416,0,40,1
39196,35,Federal-gov,283305,13,Never-married,Not-in-family,White,Female,8416,0,40,1
39197,20,Private,471452,10,Never-married,Own-child,White,Male,14836,0,30,1
39198,20,Private,471452,10,Never-married,Own-child,White,Female,74054,0,30,1
39199,20,Private,471452,10,Never-married,Husband,White,Male,45536,0,30,1
39200,20,Private,471452,10,Never-married,Own-child,White,Male,81846,1400,30,1
39201,20,Private,471452,10,Never-married,Own-child,Asian-Pac-Islander,Male,98807,0,30,1
39202,58,State-gov,109600,14,Married-spouse-absent,Unmarried,White,Female,4787,0,24,0
39203,52,State-gov,109600,14,Divorced,Unmarried,White,Female,4787,0,47,0
39204,52,State-gov,109600,14,Married-spouse-absent,Unmarried,Other,Male,4787,0,44,0
39205,52,State-gov,109600,14,Separated,Husband,White,Female,4787,0,44,0
39206,52,Self-emp-not-inc,109600,9,Married-spouse-absent,Unmarried,White,Female,4787,0,44,0
39207,53,Private,277772,9,Divorced,Unmarried,Black,Female,50283,1097,40,1
39208,53,Private,277772,9,Divorced,Unmarried,Black,Female,19284,0,40,1
39209,53,Private,277772,9,Divorced,Unmarried,Black,Female,28432,0,40,1
39210,53,Private,277772,9,Married-AF-spouse,Unmarried,Black,Female,46019,0,40,1
39211,53,Private,277772,9,Divorced,Unmarried,Black,Female,55241,0,40,1
39212,35,Private,219902,9,Separated,Unmarried,Black,Female,29366,0,48,1
39213,35,Private,219902,9,Separated,Unmarried,White,Female,94599,0,48,1
39214,35,Federal-gov,219902,9,Separated,Unmarried,Black,Female,84964,0,48,1
39215,35,Private,219902,9,Separated,Unmarried,Black,Female,39849,0,48,1
39216,35,Private,219902,9,Separated,Unmarried,Black,Female,43695,0,88,1
39217,51,Private,231919,15,Married-civ-spouse,Husband,Black,Male,0,0,45,1
39218,51,Private,231919,14,Married-civ-spouse,Husband,White,Male,28079,0,45,1
39219,51,Private,231919,14,Married-civ-spouse,Husband,White,Male,0,3575,45,1
39220,51,Private,231919,10,Married-civ-spouse,Husband,White,Male,95049,0,45,1
39221,51,Private,231919,15,Married-civ-spouse,Husband,White,Male,0,330,45,1
39222,64,Private,183513,9,Never-married,Not-in-family,White,Female,61114,0,25,1
39223,64,Private,183513,9,Never-married,Not-in-family,Other,Female,50612,0,25,1
39224,64,Private,183513,6,Never-married,Not-in-family,White,Female,60233,0,25,1
39225,64,Private,183513,9,Separated,Not-in-family,White,Female,39746,0,25,1
39226,64,Private,183513,9,Never-married,Not-in-family,White,Female,15047,0,25,1
39227,19,Private,112780,7,Never-married,Own-child,White,Female,67583,0,20,1
39228,19,Private,112780,10,Never-married,Own-child,White,Female,47125,0,20,1
39229,19,Private,112780,10,Widowed,Own-child,White,Female,50370,0,20,1
39230,19,Private,112780,10,Never-married,Own-child,White,Female,56219,1253,20,1
39231,19,Private,112780,16,Never-married,Own-child,White,Female,69761,0,20,1
39232,26,Private,142506,13,Married-AF-spouse,Wife,Black,Female,0,0,35,1
39233,26,Private,142506,13,Never-married,Other-relative,Black,Female,56145,0,35,1
39234,26,Private,142506,13,Never-married,Unmarried,Black,Female,86840,0,35,1
39235,26,Private,142506,13,Never-married,Unmarried,Black,Female,18928,0,35,1
39236,26,Private,142506,13,Never-married,Other-relative,Black,Female,80719,0,35,1
39237,19,Private,201743,10,Never-married,Own-child,Black,Female,77096,0,26,1
39238,19,Private,201743,10,Never-married,Own-child,White,Female,96258,0,26,1
39239,19,Private,201743,10,Never-married,Own-child,White,Female,16270,0,26,1
39240,19,Private,201743,10,Never-married,Own-child,White,Female,89986,0,26,1
39241,19,Private,201743,10,Never-married,Own-child,White,Female,67440,0,26,1
39242,27,Private,188941,10,Married-civ-spouse,Husband,White,Male,54647,0,76,1
39243,27,Private,188941,10,Married-civ-spouse,Husband,White,Male,61223,0,40,1
39244,27,Private,188941,10,Married-civ-spouse,Husband,White,Male,83407,599,40,1
39245,27,Private,188941,10,Married-civ-spouse,Husband,White,Male,62337,0,40,1
39246,27,Private,188941,10,Married-civ-spouse,Husband,White,Male,58210,0,40,1
39247,60,Private,225883,10,Widowed,Unmarried,White,Female,16393,0,27,1
39248,60,Private,225883,10,Widowed,Unmarried,White,Female,18392,0,27,1
39249,60,Private,225883,10,Married-civ-spouse,Unmarried,White,Female,17235,0,27,1
39250,60,Private,225883,10,Widowed,Unmarried,White,Female,52970,0,27,1
39251,60,Self-emp-inc,225883,10,Widowed,Unmarried,White,Female,72230,0,27,1
39252,41,Local-gov,125268,13,Never-married,Unmarried,Black,Female,60339,0,40,1
39253,41,Local-gov,125268,13,Never-married,Husband,Black,Female,74477,0,40,1
39254,41,Local-gov,125268,10,Never-married,Unmarried,Black,Female,32399,0,40,1
39255,41,Local-gov,125268,13,Never-married,Unmarried,Black,Female,55104,0,40,1
39256,41,Local-gov,125268,13,Never-married,Unmarried,Black,Female,61919,0,57,1
39257,24,Private,109307,9,Never-married,Own-child,White,Male,30830,0,45,1
39258,24,Private,109307,9,Never-married,Other-relative,White,Male,43192,0,45,1
39259,24,Private,109307,9,Never-married,Own-child,White,Male,28922,0,77,1
39260,24,Private,109307,9,Never-married,Own-child,White,Male,69197,1072,45,1
39261,24,Private,109307,9,Never-married,Own-child,White,Male,69776,0,45,1
39262,34,Private,236543,15,Never-married,Not-in-family,Amer-Indian-Eskimo,Male,0,1590,40,1
39263,34,Private,236543,10,Never-married,Not-in-family,White,Male,77200,1590,23,1
39264,34,Private,236543,10,Never-married,Not-in-family,White,Male,13313,1590,40,1
39265,34,Private,236543,10,Never-married,Unmarried,White,Male,46111,1590,40,1
39266,34,Private,236543,15,Never-married,Not-in-family,White,Male,80759,1590,40,1
39267,19,Private,303652,9,Never-married,Unmarried,White,Female,12669,644,30,1
39268,19,Private,303652,9,Never-married,Unmarried,White,Female,22174,0,46,1
39269,19,Private,303652,9,Never-married,Unmarried,White,Female,70083,0,30,1
39270,19,Private,303652,9,Never-married,Unmarried,White,Female,56105,0,30,1
39271,19,Private,303652,9,Never-married,Unmarried,White,Female,94775,0,56,1
39272,48,Private,158685,9,Divorced,Not-in-family,White,Female,60491,0,16,1
39273,48,Private,158685,2,Divorced,Not-in-family,White,Female,21916,0,16,1
39274,48,Private,158685,10,Divorced,Not-in-family,White,Female,62864,0,16,1
39275,48,Private,158685,9,Divorced,Unmarried,White,Female,93091,0,16,1
39276,48,Private,158685,9,Divorced,Not-in-family,White,Female,49091,0,16,1
39277,39,Local-gov,328466,7,Married-civ-spouse,Husband,White,Male,51908,0,70,1
39278,31,Private,328466,7,Married-civ-spouse,Husband,White,Male,63924,0,70,1
39279,39,State-gov,328466,7,Married-civ-spouse,Husband,White,Male,73061,0,70,1
39280,39,Private,328466,7,Married-civ-spouse,Husband,White,Male,50906,0,91,1
39281,39,Private,328466,7,Married-civ-spouse,Husband,White,Male,20613,2010,70,1
39282,48,Local-gov,85341,13,Married-civ-spouse,Husband,Asian-Pac-Islander,Male,0,0,75,1
39283,48,State-gov,85341,13,Married-civ-spouse,Husband,White,Male,0,0,45,1
39284,48,Local-gov,85341,13,Married-civ-spouse,Husband,White,Male,53207,0,45,1
39285,48,Local-gov,85341,13,Married-civ-spouse,Husband,Asian-Pac-Islander,Male,0,1160,45,1
39286,48,Local-gov,85341,15,Married-civ-spouse,Husband,White,Male,0,0,87,1
39287,41,State-gov,33474,13,Married-civ-spouse,Husband,White,Male,0,2100,50,1
39288,41,Self-emp-inc,33474,13,Married-civ-spouse,Husband,Other,Male,0,0,50,1
39289,59,State-gov,33474,13,Married-civ-spouse,Husband,White,Male,0,0,46,1
39290,41,Self-emp-not-inc,33474,13,Married-civ-spouse,Husband,White,Male,0,457,50,1
39291,41,State-gov,33474,13,Married-civ-spouse,Husband,Black,Male,0,2592,50,1
39292,29,Private,77322,8,Never-married,Not-in-family,White,Female,49959,0,32,1
39293,29,Private,77322,9,Never-married,Not-in-family,White,Female,48482,0,32,1
39294,29,Private,77322,9,Never-married,Not-in-family,White,Female,53011,0,32,1
39295,29,Private,77322,9,Never-married,Not-in-family,White,Female,35634,0,32,1
39296,29,Private,77322,9,Never-married,Not-in-family,White,Female,47604,0,32,1
39297,28,Private,192591,13,Never-married,Not-in-family,White,Female,29054,0,45,1
39298,28,Without-pay,192591,13,Never-married,Not-in-family,White,Female,0,2980,45,1
39299,28,Federal-gov,192591,13,Never-married,Not-in-family,White,Female,0,3604,45,1
39300,28,Private,192591,13,Never-married,Not-in-family,White,Male,0,2806,45,1
39301,28,Private,192591,13,Never-married,Not-in-family,White,Male,52991,0,45,1
39302,63,Private,163809,10,Widowed,Not-in-family,White,Female,18196,0,20,1
39303,63,Private,163809,10,Widowed,Not-in-family,Black,Female,65169,0,20,1
39304,63,Without-pay,163809,10,Widowed,Not-in-family,White,Female,28612,0,20,1
39305,63,Private,163809,10,Widowed,Not-in-family,White,Female,28794,0,20,1
39306,63,Private,163809,10,Widowed,Not-in-family,White,Female,49507,0,20,1
39307,33,State-gov,243674,9,Separated,Not-in-family,White,Male,0,2993,46,1
39308,33,Private,243674,9,Separated,Not-in-family,White,Male,87165,0,46,1
39309,33,Private,243674,9,Separated,Not-in-family,Black,Male,86307,0,46,1
39310,33,Private,243674,9,Separated,Not-in-family,White,Male,96209,855,46,1
39311,33,Private,243674,14,Separated,Not-in-family,White,Male,0,2477,46,1
39312,75,Local-gov,183486,13,Married-civ-spouse,Own-child,White,Female,0,0,50,0
39313,47,Local-gov,183486,13,Widowed,Wife,White,Female,0,142,50,0
39314,47,State-gov,183486,1,Married-civ-spouse,Wife,White,Female,0,0,50,0
39315,47,Local-gov,183486,9,Married-civ-spouse,Own-child,White,Female,0,0,50,0
39316,47,Local-gov,183486,13,Married-civ-spouse,Wife,White,Female,0,0,26,0
39317,67,Private,238917,3,Never-married,Other-relative,White,Male,63844,0,40,1
39318,23,Private,238917,13,Never-married,Other-relative,White,Male,82704,0,40,1
39319,76,Private,238917,3,Never-married,Other-relative,White,Male,82020,0,40,1
39320,23,Private,238917,3,Widowed,Other-relative,White,Male,15635,0,40,1
39321,23,State-gov,238917,3,Never-married,Other-relative,White,Male,95809,0,40,1
39322,29,Private,206351,6,Married-civ-spouse,Husband,White,Female,60491,0,40,1
39323,29,Private,206351,6,Married-civ-spouse,Husband,White,Male,37639,0,40,1
39324,29,Private,206351,6,Married-civ-spouse,Husband,White,Male,68840,0,40,1
39325,29,Private,206351,6,Married-civ-spouse,Husband,White,Male,69861,0,40,1
39326,29,Private,206351,6,Married-civ-spouse,Husband,White,Male,74262,0,40,1
39327,31,Private,101266,12,Married-civ-spouse,Husband,White,Male,96055,0,40,1
39328,31,Private,101266,12,Married-AF-spouse,Husband,White,Male,39183,0,40,1
39329,31,Private,101266,12,Married-civ-spouse,Husband,White,Male,21430,0,40,1
39330,31,Private,101266,14,Married-civ-spouse,Husband,White,Male,0,0,40,1
39331,31,Private,101266,12,Married-civ-spouse,Husband,White,Male,43924,0,37,1
39332,76,Private,195284,16,Divorced,Not-in-family,Asian-Pac-Islander,Female,0,0,60,0
39333,29,Private,195284,16,Never-married,Not-in-family,White,Female,0,0,34,0
39334,29,Private,195284,16,Divorced,Husband,White,Female,0,0,19,0
39335,29,Private,195284,16,Divorced,Not-in-family,White,Female,6532,0,5,0
39336,29,Private,195284,16,Divorced,Not-in-family,Black,Female,0,0,36,0
39337,63,Private,287277,9,Divorced,Not-in-family,White,Male,41003,0,40,1
39338,82,Private,287277,9,Divorced,Not-in-family,White,Male,83091,0,40,1
39339,63,Private,287277,9,Divorced,Not-in-family,White,Male,51306,0,31,1
39340,63,Private,287277,9,Divorced,Own-child,White,Male,78152,0,40,1
39341,63,Private,287277,9,Divorced,Unmarried,White,Male,0,0,90,0
39342,36,Local-gov,101833,13,Separated,Not-in-family,White,Male,33321,0,40,1
39343,36,Local-gov,101833,13,Separated,Not-in-family,White,Male,92036,0,40,1
39344,36,Local-gov,101833,13,Separated,Not-in-family,White,Male,47537,0,40,1
39345,36,Local-gov,101833,13,Separated,Not-in-family,White,Male,69471,0,40,1
39346,36,Local-gov,101833,13,Separated,Not-in-family,White,Male,70610,0,40,1
39347,37,Federal-gov,31670,13,Married-civ-spouse,Husband,White,Male,32861,0,40,1
39348,37,Federal-gov,31670,12,Married-civ-spouse,Husband,White,Male,0,3176,40,1
39349,37,Federal-gov,31670,13,Married-civ-spouse,Husband,White,Male,96738,0,40,1
39350,37,Federal-gov,31670,13,Married-civ-spouse,Husband,White,Male,57210,2190,40,1
39351,37,Federal-gov,31670,13,Married-civ-spouse,Husband,White,Male,54214,0,40,1
39352,46,State-gov,32825,9,Married-civ-spouse,Husband,White,Male,0,1823,60,1
39353,69,Private,32825,9,Married-civ-spouse,Husband,White,Male,49157,0,60,1
39354,46,Private,32825,9,Married-spouse-absent,Husband,White,Male,78687,0,60,1
39355,46,Private,32825,15,Married-civ-spouse,Husband,White,Male,0,2958,60,1
39356,46,Private,32825,9,Married-AF-spouse,Husband,White,Male,18729,0,60,1
39357,27,Private,332187,13,Never-married,Not-in-family,White,Female,56273,0,65,1
39358,62,Private,332187,13,Widowed,Not-in-family,White,Female,0,0,65,1
39359,27,Private,332187,13,Never-married,Not-in-family,White,Female,35882,0,90,1
39360,27,Private,332187,13,Never-married,Not-in-family,White,Female,0,2786,65,1
39361,27,Private,332187,13,Never-married,Not-in-family,White,Female,47292,0,65,1
39362,41,Private,287037,10,Never-married,Not-in-family,White,Male,73423,0,40,1
39363,41,Self-emp-inc,287037,10,Never-married,Not-in-family,White,Male,13861,0,40,1
39364,41,Private,287037,10,Never-married,Not-in-family,White,Male,78291,2573,40,1
39365,41,Without-pay,287037,10,Never-married,Not-in-family,White,Male,15404,0,40,1
39366,41,Private,287037,9,Never-married,Not-in-family,White,Male,77600,0,40,1
39367,21,Private,180690,9,Never-married,Own-child,White,Male,9457,0,40,1
39368,41,Private,180690,9,Never-married,Own-child,White,Male,0,2835,40,1
39369,21,Private,180690,13,Never-married,Own-child,White,Male,88261,0,40,1
