,age,workclass,fnlwgt,education-num,marital-status,relationship,race,sex,capital-gain,capital-loss,hours-per-week,income
50647,62,Private,110586,10,Widowed,Unmarried,White,Female,0,3663,40,1
50648,62,Private,110586,10,Widowed,Unmarried,White,Female,50220,3643,40,1
50649,29,Private,128604,3,Married-civ-spouse,Husband,Asian-Pac-Islander,Male,55685,0,40,1
50650,29,Private,128604,9,Married-civ-spouse,Husband,Asian-Pac-Islander,Male,50284,0,55,1
50651,24,Local-gov,38707,13,Never-married,Own-child,Asian-Pac-Islander,Male,98097,0,20,1
50652,41,Local-gov,38707,13,Never-married,Own-child,White,Male,71940,0,20,1
50653,65,Local-gov,146454,14,Married-civ-spouse,Husband,White,Male,88657,1648,4,1
50654,65,Local-gov,146454,14,Widowed,Husband,White,Male,0,2133,4,1
50655,38,Private,122952,9,Separated,Unmarried,White,Female,46178,0,35,1
50656,38,Private,122952,9,Separated,Unmarried,White,Female,22554,0,35,1
50657,47,Private,275095,5,Widowed,Unmarried,White,Female,57083,0,50,1
50658,47,Private,275095,5,Widowed,Unmarried,White,Female,0,3279,10,1
50659,23,Private,157951,10,Never-married,Not-in-family,White,Female,13853,0,50,1
50660,23,Private,157951,10,Never-married,Not-in-family,White,Female,56009,0,50,1
50661,38,Private,89559,10,Separated,Unmarried,White,Female,85230,0,40,1
50662,38,Private,89559,10,Separated,Unmarried,White,Female,0,2984,40,1
50663,38,Private,217926,9,Married-civ-spouse,Husband,Other,Male,69121,0,40,1
50664,38,Private,217926,9,Married-civ-spouse,Husband,Black,Male,66992,0,40,1
50665,28,Private,137898,9,Divorced,Not-in-family,White,Female,87047,1302,35,1
50666,28,State-gov,137898,9,Divorced,Not-in-family,White,Female,18174,0,35,1
50667,61,Private,136109,7,Widowed,Not-in-family,White,Female,68126,0,45,1
50668,61,Private,136109,7,Widowed,Not-in-family,White,Female,92247,0,45,1
50669,40,State-gov,55294,1,Married-civ-spouse,Husband,White,Male,0,0,40,0
50670,40,State-gov,55294,13,Widowed,Other-relative,White,Male,0,0,40,0
50671,51,Private,154342,14,Married-civ-spouse,Husband,White,Male,4537,0,45,0
50672,51,Self-emp-inc,154342,14,Married-civ-spouse,Husband,White,Male,4537,0,45,0
50673,24,Private,202959,16,Never-married,Not-in-family,White,Female,44829,0,40,1
50674,24,Private,202959,11,Never-married,Not-in-family,White,Female,37346,0,40,1
50675,44,Private,235786,10,Married-civ-spouse,Husband,White,Female,2597,0,45,0
50676,44,Private,235786,10,Married-civ-spouse,Not-in-family,White,Male,3316,0,45,0
50677,20,Private,258430,10,Never-married,Wife,White,Female,52910,0,19,0
50678,20,Private,258430,10,Never-married,Own-child,White,Female,14785,0,19,1
50679,40,Private,284303,10,Never-married,Wife,Amer-Indian-Eskimo,Female,7688,0,40,0
50680,40,Private,284303,10,Married-spouse-absent,Wife,White,Female,5881,0,40,0
50681,44,Private,146908,9,Married-civ-spouse,Husband,White,Male,7099,0,40,1
50682,74,Private,146908,9,Married-civ-spouse,Husband,White,Male,0,437,40,1
50683,18,Private,188616,7,Never-married,Own-child,White,Male,17484,0,15,1
50684,18,Private,188616,7,Never-married,Own-child,White,Male,93945,0,45,1
50685,19,Private,310483,8,Never-married,Own-child,White,Male,16753,0,25,1
50686,19,Private,310483,8,Never-married,Own-child,White,Male,27385,0,75,1
50687,47,Private,264244,9,Married-spouse-absent,Other-relative,Black,Female,8579,0,40,1
50688,47,Private,264244,9,Married-spouse-absent,Not-in-family,Black,Female,15758,0,40,1
50689,27,Federal-gov,29904,13,Never-married,Not-in-family,White,Female,36079,0,40,1
50690,27,Private,29904,13,Never-married,Not-in-family,White,Female,26714,2545,40,1
50691,36,Private,76878,9,Married-civ-spouse,Unmarried,White,Male,5178,0,40,0
50692,36,Private,76878,9,Divorced,Unmarried,White,Male,5178,0,40,0
50693,62,Self-emp-not-inc,71467,14,Married-civ-spouse,Husband,White,Male,0,3287,40,1
50694,43,Self-emp-not-inc,71467,14,Married-civ-spouse,Husband,White,Female,0,0,40,1
50695,41,Private,37997,10,Divorced,Not-in-family,White,Female,0,0,84,0
50696,41,Private,37997,8,Married-AF-spouse,Not-in-family,Other,Male,0,0,84,0
50697,28,Private,230503,10,Never-married,Unmarried,White,Female,65175,0,33,1
50698,53,Private,230503,10,Never-married,Unmarried,White,Female,75824,0,40,1
50699,27,Private,244566,7,Married-civ-spouse,Husband,White,Male,65311,0,40,1
50700,27,Private,244566,6,Never-married,Husband,White,Male,61574,0,40,1
50701,33,Self-emp-not-inc,355978,10,Divorced,Husband,White,Male,0,0,60,0
50702,79,Self-emp-not-inc,355978,11,Married-civ-spouse,Husband,White,Male,0,0,60,0
50703,19,Private,472807,2,Never-married,Other-relative,White,Male,84503,0,52,1
50704,19,Private,472807,2,Never-married,Other-relative,White,Male,11829,0,52,1
50705,27,Private,341672,10,Never-married,Other-relative,Asian-Pac-Islander,Male,77088,0,40,1
50706,27,Private,341672,10,Never-married,Other-relative,Asian-Pac-Islander,Male,42986,0,40,1
50707,31,Private,244147,9,Divorced,Unmarried,White,Male,7963,0,55,1
50708,31,Private,244147,9,Divorced,Unmarried,White,Male,74036,0,55,1
50709,39,Private,186717,10,Never-married,Own-child,White,Male,71653,0,40,1
50710,19,Private,186717,10,Never-married,Own-child,White,Male,55372,3396,40,1
50711,23,Private,423453,9,Never-married,Own-child,Black,Female,41534,0,6,1
50712,23,Private,423453,9,Never-married,Own-child,Black,Female,41388,0,16,1
50713,35,Private,241306,11,Never-married,Husband,White,Male,0,0,40,0
50714,35,Without-pay,241306,11,Married-civ-spouse,Husband,White,Male,0,393,40,0
50715,23,Self-emp-not-inc,86065,8,Never-married,Not-in-family,White,Female,8167,0,30,1
50716,22,Private,86065,8,Never-married,Not-in-family,White,Female,48423,0,30,1
50717,20,Private,133352,10,Never-married,Own-child,Asian-Pac-Islander,Female,39065,0,40,1
50718,20,Private,133352,13,Never-married,Own-child,Asian-Pac-Islander,Female,64536,0,40,1
50719,51,Private,182944,9,Widowed,Unmarried,Black,Female,0,3050,40,1
50720,51,Private,182944,9,Widowed,Unmarried,Black,Female,28673,2865,40,1
50721,44,Private,133986,10,Married-spouse-absent,Unmarried,White,Female,31924,0,40,1
50722,44,Private,133986,10,Married-spouse-absent,Unmarried,White,Female,0,2687,6,1
50723,24,Private,194604,13,Never-married,Own-child,White,Female,33749,0,15,1
50724,24,Private,194604,13,Never-married,Own-child,Amer-Indian-Eskimo,Female,64641,0,15,1
50725,42,State-gov,119008,12,Never-married,Not-in-family,Black,Female,72063,1974,40,1
50726,42,State-gov,119008,10,Divorced,Not-in-family,Black,Female,25637,1974,40,1
50727,47,Private,93449,9,Married-civ-spouse,Husband,Asian-Pac-Islander,Male,82008,0,39,1
50728,47,Private,93449,9,Married-civ-spouse,Husband,Asian-Pac-Islander,Male,0,1864,60,1
50729,42,Private,125461,13,Never-married,Unmarried,White,Male,82734,2674,40,1
50730,42,Private,125461,13,Never-married,Unmarried,White,Male,81727,0,73,1
50731,34,Private,261799,11,Married-civ-spouse,Not-in-family,Black,Male,0,0,24,0
50732,58,Private,261799,11,Married-civ-spouse,Other-relative,Black,Male,0,0,45,0
50733,32,Self-emp-not-inc,182691,9,Never-married,Unmarried,White,Male,74522,662,60,1
50734,32,Self-emp-not-inc,182691,9,Never-married,Own-child,White,Male,78180,0,60,1
50735,36,Self-emp-not-inc,411797,13,Never-married,Own-child,White,Male,0,0,35,0
50736,36,Private,411797,13,Never-married,Own-child,Black,Female,0,0,40,0
50737,52,Private,200853,14,Divorced,Not-in-family,White,Female,6849,4008,60,1
50738,52,Without-pay,200853,14,Divorced,Husband,White,Female,6849,0,60,1
50739,24,Self-emp-inc,142404,2,Married-civ-spouse,Wife,White,Male,0,0,40,0
50740,24,Self-emp-inc,142404,12,Married-civ-spouse,Husband,White,Male,0,0,40,0
50741,42,Without-pay,369131,12,Married-civ-spouse,Husband,White,Male,0,0,77,0
50742,42,Private,369131,2,Married-civ-spouse,Unmarried,White,Male,0,0,55,0
50743,63,Private,55946,12,Married-civ-spouse,Husband,White,Male,0,2726,40,1
50744,63,Private,55946,9,Married-civ-spouse,Husband,White,Male,88364,0,40,1
50745,25,Federal-gov,224559,9,Married-civ-spouse,Other-relative,Black,Male,0,0,40,0
50746,47,State-gov,224559,9,Married-civ-spouse,Not-in-family,Black,Male,0,0,40,0
50747,20,Private,230113,2,Never-married,Own-child,White,Male,33116,0,50,1
50748,20,Private,230113,8,Never-married,Own-child,White,Male,49311,0,50,1
50749,39,Private,125019,13,Divorced,Not-in-family,White,Female,6360,0,48,0
50750,60,Private,125019,13,Divorced,Not-in-family,White,Female,6963,0,48,0
50751,46,Self-emp-not-inc,342907,7,Married-civ-spouse,Not-in-family,Black,Male,0,0,60,0
50752,46,Self-emp-not-inc,342907,9,Married-civ-spouse,Husband,Black,Male,0,2103,9,0
50753,19,Private,386378,10,Never-married,Own-child,White,Male,28566,0,20,1
50754,19,Private,386378,10,Never-married,Own-child,White,Male,35212,0,7,0
50755,37,Private,35429,9,Never-married,Unmarried,White,Male,1506,3265,40,1
50756,37,Private,35429,9,Never-married,Unmarried,White,Male,57074,0,40,1
50757,90,Private,151835,15,Married-civ-spouse,Husband,White,Female,0,0,45,0
50758,37,Private,151835,15,Married-civ-spouse,Husband,Amer-Indian-Eskimo,Male,0,0,38,0
50759,44,Federal-gov,297991,12,Never-married,Not-in-family,Asian-Pac-Islander,Female,30322,0,50,1
50760,44,Private,297991,12,Never-married,Not-in-family,Asian-Pac-Islander,Female,0,3623,50,1
50761,42,Private,190786,11,Married-civ-spouse,Not-in-family,White,Male,0,3438,40,0
50762,42,Private,190786,11,Married-civ-spouse,Husband,White,Male,0,3711,81,1
50763,45,Federal-gov,110884,12,Widowed,Husband,Asian-Pac-Islander,Male,0,0,45,0
50764,45,Federal-gov,110884,13,Married-civ-spouse,Wife,Asian-Pac-Islander,Male,0,0,19,0
50765,23,Private,370548,9,Never-married,Husband,White,Male,86495,0,27,1
50766,23,Private,370548,9,Married-civ-spouse,Husband,White,Male,15854,0,74,1
50767,57,State-gov,132145,2,Married-civ-spouse,Husband,White,Male,4407,0,45,0
50768,57,State-gov,132145,14,Married-civ-spouse,Unmarried,White,Male,3575,0,45,0
50769,52,Private,236180,13,Married-spouse-absent,Not-in-family,Asian-Pac-Islander,Male,0,3919,50,1
50770,52,Private,236180,13,Married-spouse-absent,Not-in-family,White,Male,67702,0,50,1
50771,58,Private,219504,8,Separated,Unmarried,White,Male,0,0,45,0
50772,58,Private,219504,8,Married-AF-spouse,Other-relative,Black,Male,0,0,45,0
50773,39,Private,300760,9,Divorced,Unmarried,White,Female,11417,0,50,1
50774,39,Private,300760,16,Divorced,Unmarried,White,Female,0,3955,50,1
50775,23,Private,217654,10,Married-civ-spouse,Other-relative,White,Male,0,0,40,0
50776,25,Private,217654,11,Married-civ-spouse,Husband,White,Male,0,0,40,0
50777,21,Without-pay,145964,10,Married-civ-spouse,Husband,White,Male,512,0,60,0
50778,21,Private,145964,10,Married-spouse-absent,Husband,White,Male,7298,0,14,0
50779,20,Private,117767,10,Never-married,Own-child,White,Male,32396,1373,40,1
50780,20,Private,117767,10,Married-AF-spouse,Own-child,White,Male,75978,0,40,1
50781,22,Self-emp-not-inc,208893,10,Never-married,Not-in-family,White,Male,0,3032,10,1
50782,22,Private,208893,14,Never-married,Not-in-family,White,Male,12965,0,10,1
50783,45,Private,252616,4,Married-civ-spouse,Husband,Black,Male,93426,0,36,1
50784,45,Private,252616,4,Married-civ-spouse,Husband,Asian-Pac-Islander,Male,84408,1030,36,1
50785,31,Private,341672,10,Married-civ-spouse,Husband,Asian-Pac-Islander,Male,15529,0,50,1
50786,71,Local-gov,341672,10,Married-civ-spouse,Husband,Asian-Pac-Islander,Male,0,0,50,1
50787,18,Local-gov,466325,7,Never-married,Own-child,White,Male,9496,0,12,1
50788,18,Local-gov,466325,7,Never-married,Own-child,White,Male,13570,2413,12,0
50789,34,Private,229731,9,Married-spouse-absent,Not-in-family,White,Male,79818,0,35,1
50790,34,Private,229731,9,Married-spouse-absent,Other-relative,White,Female,56230,0,35,1
50791,46,Private,142490,10,Divorced,Not-in-family,Black,Female,87049,0,40,1
50792,46,Private,142490,10,Divorced,Not-in-family,Black,Female,91344,0,40,1
50793,56,Self-emp-not-inc,108496,9,Married-civ-spouse,Husband,White,Male,66092,0,40,1
50794,56,Without-pay,108496,9,Married-civ-spouse,Husband,White,Male,0,1909,40,1
50795,29,Private,100764,13,Divorced,Husband,White,Female,0,0,45,0
50796,29,Self-emp-inc,100764,13,Married-civ-spouse,Husband,Black,Male,0,0,45,0
50797,60,Self-emp-not-inc,184362,9,Married-civ-spouse,Wife,White,Female,0,2966,25,1
50798,60,Self-emp-not-inc,184362,9,Married-civ-spouse,Wife,White,Female,10644,3586,25,1
50799,19,Private,157749,10,Married-civ-spouse,Wife,White,Male,0,0,60,0
50800,56,Private,157749,10,Married-civ-spouse,Husband,Other,Female,0,0,60,0
50801,23,Federal-gov,203076,10,Never-married,Own-child,White,Male,93037,0,40,1
50802,23,Private,203076,10,Never-married,Own-child,White,Male,17929,0,40,1
