,age,workclass,fnlwgt,education-num,marital-status,relationship,race,sex,capital-gain,capital-loss,hours-per-week,income
9497,23,Self-emp-inc,217961,9,Never-married,Unmarried,White,Male,10326,0,45,1
9498,27,Private,285897,9,Married-civ-spouse,Other-relative,White,Male,0,1848,86,0
9499,26,Private,464552,3,Never-married,Not-in-family,White,Male,58535,0,40,1
9500,38,Private,455379,16,Married-civ-spouse,Husband,Asian-Pac-Islander,Male,0,0,60,0
9501,54,Private,229272,9,Married-civ-spouse,Husband,Black,Male,0,2593,34,0
9502,27,Self-emp-inc,188044,13,Never-married,Husband,White,Male,0,2392,40,0
9503,65,Local-gov,200764,9,Divorced,Not-in-family,Amer-Indian-Eskimo,Female,0,2518,16,0
9504,38,Private,370045,10,Married-civ-spouse,Husband,Asian-Pac-Islander,Male,0,0,8,0
9505,48,Without-pay,224752,9,Married-civ-spouse,Other-relative,White,Female,0,0,40,0
9506,62,Self-emp-inc,118725,9,Never-married,Husband,Black,Male,2689,0,72,0
9507,53,Private,386773,9,Married-civ-spouse,Unmarried,White,Male,3699,0,40,0
9508,52,Private,99736,14,Divorced,Unmarried,White,Male,2679,0,50,0
9509,79,Federal-gov,153132,13,Married-civ-spouse,Other-relative,White,Male,0,0,38,0
9510,64,Private,510072,13,Married-civ-spouse,Husband,White,Male,0,0,35,0
9511,59,Self-emp-not-inc,211678,14,Married-civ-spouse,Husband,White,Male,0,3550,98,1
9512,23,Local-gov,124071,14,Divorced,Unmarried,White,Female,0,2014,65,0
9513,45,Private,68015,11,Married-civ-spouse,Husband,Other,Male,0,0,40,0
9514,30,Federal-gov,177855,5,Married-civ-spouse,Husband,White,Male,0,0,55,0
9515,76,Self-emp-not-inc,120539,13,Separated,Husband,White,Male,0,0,50,0
9516,51,Private,339905,9,Separated,Husband,White,Female,7688,0,40,0
9517,49,Local-gov,249289,13,Never-married,Unmarried,Black,Female,73955,0,40,1
9518,44,Federal-gov,259307,16,Never-married,Husband,White,Male,0,0,40,0
9519,54,Local-gov,31533,14,Married-civ-spouse,Husband,White,Male,1609,0,84,0
9520,59,Private,179638,10,Married-civ-spouse,Other-relative,Other,Female,0,0,16,0
9521,50,Self-emp-inc,259463,13,Married-civ-spouse,Husband,White,Male,3741,0,60,0
9522,35,Local-gov,191779,10,Separated,Husband,Black,Male,0,0,40,0
