,age,workclass,fnlwgt,education-num,marital-status,relationship,race,sex,capital-gain,capital-loss,hours-per-week,income
31936,51,Private,355954,8,Married-civ-spouse,Husband,White,Male,0,0,60,0
31937,51,Private,355954,3,Married-civ-spouse,Husband,White,Male,0,0,60,0
31938,43,Private,154076,5,Married-civ-spouse,Husband,White,Female,0,0,40,0
31939,43,Private,154076,8,Married-civ-spouse,Husband,White,Male,0,0,40,0
31940,42,Private,136986,1,Married-civ-spouse,Husband,White,Female,0,0,35,0
31941,42,Private,136986,12,Married-civ-spouse,Husband,White,Male,0,0,35,0
31942,37,Local-gov,191364,9,Married-civ-spouse,Husband,White,Female,0,0,40,0
31943,37,Local-gov,191364,2,Married-civ-spouse,Husband,White,Male,0,0,40,0
31944,51,Private,229259,7,Married-civ-spouse,Husband,White,Female,0,0,45,0
31945,51,Private,229259,5,Married-civ-spouse,Husband,White,Female,0,0,45,0
31946,25,Private,255647,16,Married-civ-spouse,Wife,White,Female,0,0,25,1
31947,45,Private,36006,3,Married-civ-spouse,Husband,White,Male,0,0,45,0
31948,45,Private,36006,1,Married-civ-spouse,Husband,White,Female,0,0,45,0
31949,39,Private,243409,8,Married-civ-spouse,Husband,White,Female,0,0,60,0
31950,39,Private,243409,2,Married-civ-spouse,Husband,White,Female,0,0,60,0
31951,24,Private,60783,1,Married-civ-spouse,Husband,White,Male,0,0,70,0
31952,24,Private,60783,9,Married-civ-spouse,Husband,White,Female,0,0,70,0
31953,48,Private,36503,7,Married-civ-spouse,Husband,White,Female,0,0,40,0
31954,48,Private,36503,1,Married-civ-spouse,Husband,White,Female,0,0,40,0
31955,45,Private,301802,8,Married-civ-spouse,Husband,White,Female,0,0,50,0
31956,45,Private,301802,5,Married-civ-spouse,Husband,White,Male,0,0,50,0
31957,34,Private,737315,9,Married-civ-spouse,Husband,White,Female,0,0,65,0
31958,34,Private,737315,6,Married-civ-spouse,Husband,White,Female,0,0,65,0
31959,37,Private,82622,8,Married-civ-spouse,Husband,White,Male,0,0,40,0
31960,37,Private,82622,3,Married-civ-spouse,Husband,White,Female,0,0,40,0
31961,56,Private,244580,1,Married-civ-spouse,Husband,White,Female,0,0,40,0
31962,56,Private,244580,8,Married-civ-spouse,Husband,White,Female,0,0,40,0
31963,27,Private,298635,1,Married-civ-spouse,Husband,Asian-Pac-Islander,Female,0,0,40,0
31964,27,Private,298635,15,Married-civ-spouse,Husband,Asian-Pac-Islander,Female,0,0,40,0
31965,51,Self-emp-not-inc,170086,4,Married-civ-spouse,Husband,White,Male,0,0,45,0
31966,51,Self-emp-not-inc,170086,5,Married-civ-spouse,Husband,White,Female,0,0,45,0
