,age,workclass,fnlwgt,education-num,marital-status,relationship,race,sex,capital-gain,capital-loss,hours-per-week,income
9497,23,Private,217961,9,Never-married,Unmarried,White,Male,46285,0,45,1
9498,27,Private,285897,9,Married-civ-spouse,Own-child,White,Male,0,2186,45,0
9499,26,Private,464552,3,Never-married,Not-in-family,White,Male,58280,0,40,1
9500,38,Private,455379,3,Married-civ-spouse,Husband,White,Male,0,0,63,0
9501,54,Private,229272,4,Married-civ-spouse,Husband,Black,Male,0,0,40,0
9502,78,Self-emp-inc,188044,13,Married-civ-spouse,Not-in-family,White,Male,0,1061,40,0
9503,75,Local-gov,200764,9,Divorced,Not-in-family,White,Male,0,0,16,0
9504,38,Self-emp-not-inc,396595,10,Married-civ-spouse,Husband,Asian-Pac-Islander,Male,0,3256,40,0
9505,48,State-gov,224752,9,Divorced,Wife,White,Female,0,0,48,0
9506,62,Self-emp-inc,312017,9,Married-civ-spouse,Husband,Black,Male,4907,0,72,0
9507,53,Private,386773,9,Married-civ-spouse,Husband,White,Male,2640,0,40,0
9508,52,Private,99736,14,Married-AF-spouse,Unmarried,White,Male,1414,0,50,0
9509,41,Self-emp-inc,188774,13,Married-civ-spouse,Husband,White,Male,0,0,38,0
9510,40,Private,510072,13,Married-civ-spouse,Husband,White,Male,0,1636,55,0
9511,59,Self-emp-not-inc,211678,14,Married-civ-spouse,Own-child,White,Male,95728,0,15,1
9512,46,Local-gov,124071,14,Divorced,Wife,White,Female,0,0,9,0
9513,45,State-gov,102559,11,Married-civ-spouse,Husband,White,Male,0,2029,40,0
9514,32,Federal-gov,177855,9,Married-AF-spouse,Husband,White,Male,0,0,89,0
9515,42,Self-emp-not-inc,260167,13,Married-civ-spouse,Husband,White,Male,0,0,51,0
9516,51,Private,339905,9,Never-married,Husband,White,Female,7688,0,40,0
9517,49,Local-gov,249289,13,Divorced,Unmarried,Black,Male,63403,0,40,1
9518,44,Federal-gov,155489,13,Never-married,Husband,White,Male,0,0,40,0
9519,54,Local-gov,31533,14,Never-married,Husband,White,Male,399,0,40,0
9520,59,Private,268840,10,Married-civ-spouse,Other-relative,Black,Female,0,588,16,0
9521,50,Self-emp-inc,127315,13,Married-spouse-absent,Husband,White,Male,4449,0,60,0
9522,35,Local-gov,437318,10,Married-civ-spouse,Husband,White,Male,0,0,31,0
9523,68,Private,467108,10,Never-married,Not-in-family,White,Male,0,0,50,0
9524,37,Private,92028,13,Never-married,Not-in-family,White,Male,25567,0,45,1
9525,17,State-gov,89160,8,Never-married,Own-child,White,Female,15665,0,18,1
9526,21,Private,107895,10,Never-married,Not-in-family,White,Male,51607,0,35,1
9527,36,Private,291783,13,Married-civ-spouse,Husband,White,Male,42658,0,40,1
9528,21,Private,131620,9,Married-spouse-absent,Own-child,White,Female,98121,0,40,1
