,age,workclass,fnlwgt,education-num,marital-status,relationship,race,sex,capital-gain,capital-loss,hours-per-week,income
37979,39,Private,141029,14,Married-civ-spouse,Husband,White,Male,3908,0,45,0
37980,39,Private,198841,14,Married-civ-spouse,Husband,White,Male,3663,0,45,0
37981,26,Private,139992,13,Never-married,Not-in-family,White,Male,0,2649,40,1
37982,26,Private,139992,13,Never-married,Not-in-family,White,Female,46884,0,40,1
37983,51,Private,355954,10,Married-civ-spouse,Husband,White,Male,0,0,41,0
37984,24,Private,355954,10,Married-civ-spouse,Husband,Black,Male,0,0,60,0
37985,31,Private,473133,14,Married-spouse-absent,Not-in-family,White,Male,5178,0,40,0
37986,31,Private,473133,14,Widowed,Not-in-family,White,Male,5178,0,40,0
37987,24,Private,322674,12,Divorced,Not-in-family,White,Male,0,3522,48,1
37988,34,Private,322674,12,Never-married,Not-in-family,White,Male,0,2811,48,1
37989,43,Private,174486,10,Married-civ-spouse,Husband,White,Male,0,0,40,0
37990,43,Self-emp-not-inc,154076,10,Married-civ-spouse,Other-relative,White,Male,0,0,40,0
37991,59,Self-emp-inc,107287,6,Widowed,Unmarried,Black,Female,0,520,50,0
37992,59,Self-emp-inc,107287,6,Widowed,Unmarried,White,Female,0,474,48,0
37993,68,Private,136986,9,Married-civ-spouse,Husband,White,Female,0,0,35,0
37994,39,Private,136986,9,Married-civ-spouse,Husband,White,Male,0,2175,35,0
37995,37,Self-emp-not-inc,191364,12,Married-civ-spouse,Husband,White,Male,4014,0,40,0
37996,37,Local-gov,191364,12,Married-civ-spouse,Husband,White,Male,0,1276,25,0
37997,51,Private,229259,13,Married-civ-spouse,Husband,White,Male,0,1576,45,0
37998,51,Private,229259,13,Married-civ-spouse,Husband,White,Male,0,1702,45,0
37999,25,Private,255647,9,Married-civ-spouse,Wife,Asian-Pac-Islander,Female,41142,0,25,1
38000,25,Private,255647,9,Married-civ-spouse,Wife,White,Female,79221,0,25,1
38001,45,Private,36006,13,Separated,Wife,White,Male,0,0,45,0
38002,45,Private,213351,13,Married-civ-spouse,Husband,White,Male,0,0,33,0
38003,39,Private,243409,9,Married-civ-spouse,Unmarried,Amer-Indian-Eskimo,Male,0,0,60,0
38004,39,Private,175856,9,Married-civ-spouse,Husband,White,Female,0,0,60,0
38005,24,Private,60783,10,Married-civ-spouse,Husband,White,Male,0,0,12,0
38006,24,Private,60783,10,Married-spouse-absent,Husband,White,Male,0,0,28,0
38007,33,Self-emp-not-inc,266674,10,Married-civ-spouse,Husband,White,Male,1758,0,56,0
38008,33,Private,266674,10,Married-civ-spouse,Husband,White,Male,1599,0,56,0
38009,48,Private,36503,3,Married-civ-spouse,Unmarried,White,Male,0,0,40,0
38010,48,Private,36503,14,Never-married,Husband,White,Male,0,0,40,0
38011,45,Private,30713,10,Married-civ-spouse,Husband,White,Male,0,0,50,0
38012,45,Private,301802,13,Married-civ-spouse,Husband,White,Male,0,0,7,0
38013,34,Private,737315,5,Married-civ-spouse,Husband,White,Male,0,0,65,0
38014,19,Without-pay,737315,15,Married-civ-spouse,Husband,White,Male,0,0,65,0
38015,22,Self-emp-not-inc,82622,10,Married-civ-spouse,Husband,White,Male,0,0,40,0
38016,37,Private,82622,1,Married-civ-spouse,Husband,White,Male,0,577,40,0
38017,56,Self-emp-not-inc,244580,9,Married-civ-spouse,Husband,White,Male,0,169,40,0
38018,56,Private,244580,9,Married-spouse-absent,Husband,Black,Male,0,0,40,0
38019,86,Private,205410,14,Married-civ-spouse,Husband,Asian-Pac-Islander,Male,0,0,40,0
38020,75,Private,298635,14,Married-civ-spouse,Husband,Asian-Pac-Islander,Male,0,0,40,0
