,age,workclass,fnlwgt,education-num,marital-status,relationship,race,sex,capital-gain,capital-loss,hours-per-week,income
28484,39,Private,198841,14,Married-civ-spouse,Husband,White,Male,4606,493,45,0
28485,26,Private,139992,13,Never-married,Not-in-family,White,Female,87162,0,40,1
28486,51,Private,106159,10,Married-civ-spouse,Husband,White,Male,0,0,60,0
28487,31,Private,473133,2,Divorced,Husband,White,Male,5178,0,40,0
28488,24,Private,322674,12,Never-married,Not-in-family,White,Male,46952,0,48,1
28489,43,Private,154076,10,Married-civ-spouse,Unmarried,Other,Male,0,0,40,0
28490,59,Self-emp-inc,172654,6,Widowed,Unmarried,White,Female,0,1237,50,0
28491,42,Private,136986,9,Married-civ-spouse,Other-relative,White,Male,0,0,26,0
28492,88,Local-gov,191364,12,Married-civ-spouse,Husband,White,Male,0,0,40,0
28493,51,Private,229259,7,Widowed,Husband,White,Male,0,0,45,0
28494,25,Private,255647,9,Married-civ-spouse,Wife,Amer-Indian-Eskimo,Female,77949,0,25,1
28495,45,State-gov,36006,13,Never-married,Husband,White,Male,0,0,45,0
28496,39,Private,243409,9,Married-civ-spouse,Husband,Other,Male,0,1281,60,0
28497,24,Self-emp-inc,60783,10,Married-civ-spouse,Husband,White,Male,0,2209,70,0
28498,33,Self-emp-not-inc,266674,10,Married-civ-spouse,Husband,White,Male,4610,0,56,0
28499,74,Private,36503,10,Married-civ-spouse,Husband,Amer-Indian-Eskimo,Male,0,0,40,0
28500,45,Private,301802,13,Married-civ-spouse,Unmarried,Other,Male,0,0,50,0
28501,49,Private,737315,2,Married-civ-spouse,Husband,White,Male,0,0,65,0
28502,41,Private,82622,10,Married-civ-spouse,Husband,White,Male,0,0,40,0
28503,56,Private,244580,12,Married-civ-spouse,Husband,Asian-Pac-Islander,Male,0,0,40,0
28504,27,Private,298635,14,Separated,Husband,Asian-Pac-Islander,Male,0,0,8,0
28505,51,Self-emp-not-inc,170086,3,Married-civ-spouse,Other-relative,White,Male,0,0,45,0
28506,84,Private,146454,10,Widowed,Husband,White,Male,5556,0,40,0
28507,55,Private,248288,3,Married-civ-spouse,Husband,White,Male,0,0,50,0
28508,48,Private,182714,13,Divorced,Unmarried,White,Male,0,0,40,0
28509,28,State-gov,445824,11,Widowed,Wife,White,Female,0,0,50,0
28510,37,Private,189922,13,Divorced,Husband,White,Male,0,0,50,0
28511,22,Private,270859,5,Divorced,Not-in-family,White,Female,81078,0,40,1
28512,47,Private,423222,5,Married-civ-spouse,Husband,White,Male,0,2168,45,0
28513,41,Private,359696,13,Married-civ-spouse,Husband,White,Male,4898,0,60,0
28514,60,Self-emp-not-inc,282660,4,Married-civ-spouse,Husband,White,Male,0,2894,40,1
28515,22,State-gov,211798,11,Never-married,Own-child,White,Male,25159,0,10,1
28516,34,Private,84119,9,Never-married,Own-child,White,Male,56478,0,40,1
28517,29,Private,82910,10,Married-civ-spouse,Husband,White,Male,8089,0,40,1
28518,41,Self-emp-not-inc,92775,13,Married-civ-spouse,Unmarried,White,Male,0,0,60,0
28519,41,Private,201232,10,Married-civ-spouse,Husband,White,Male,0,0,55,0
28520,38,State-gov,125499,13,Married-civ-spouse,Husband,Black,Male,4942,0,60,0
28521,38,State-gov,99527,14,Married-civ-spouse,Other-relative,White,Male,0,0,40,0
28522,38,Self-emp-not-inc,91039,8,Married-civ-spouse,Husband,White,Male,0,0,65,0
28523,74,Federal-gov,51048,9,Never-married,Husband,White,Male,0,0,40,0
28524,46,Private,124356,3,Married-civ-spouse,Husband,White,Male,0,0,40,0
28525,17,Federal-gov,110373,1,Married-civ-spouse,Husband,White,Male,0,0,40,0
28526,55,Private,408537,5,Divorced,Unmarried,White,Female,2294,0,37,0
28527,46,Self-emp-inc,195602,10,Married-civ-spouse,Wife,White,Female,0,0,40,0
28528,48,Private,87205,13,Married-civ-spouse,Wife,White,Female,3368,0,20,0
28529,51,Private,191659,10,Married-civ-spouse,Husband,White,Male,0,986,65,0
28530,31,Self-emp-not-inc,210164,9,Divorced,Husband,White,Male,0,1937,40,0
28531,53,Private,156843,8,Never-married,Not-in-family,White,Female,0,1564,54,0
28532,52,Private,114939,11,Married-civ-spouse,Wife,White,Female,26979,0,40,1
28533,59,Private,254593,13,Never-married,Husband,White,Male,0,0,7,0
28534,33,Private,121966,9,Never-married,Not-in-family,White,Female,76030,0,50,1
28535,44,Local-gov,171589,11,Married-civ-spouse,Unmarried,White,Male,2170,0,40,0
28536,32,Private,255424,13,Married-civ-spouse,Husband,White,Male,0,0,14,0
28537,19,Private,179422,9,Never-married,Not-in-family,White,Female,52070,2002,35,1
28538,50,Federal-gov,163576,14,Never-married,Not-in-family,White,Female,0,0,50,0
28539,34,Private,205810,9,Married-civ-spouse,Wife,Black,Female,0,1850,40,1
28540,45,Private,26502,13,Married-spouse-absent,Unmarried,White,Male,0,0,72,0
28541,55,Private,124808,11,Separated,Wife,White,Male,0,1977,50,0
28542,31,Local-gov,168387,13,Married-civ-spouse,Husband,White,Male,3471,0,40,0
28543,48,Private,119722,10,Married-civ-spouse,Husband,Black,Female,0,0,74,1
28544,51,Self-emp-not-inc,205100,14,Married-civ-spouse,Husband,Other,Female,0,0,30,0
28545,26,Private,179579,2,Married-civ-spouse,Husband,White,Male,0,0,90,0
