,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
28475,24,student,single,unknown,no,3298,yes,no,unknown,28,may,1468,1,-1,0,unknown,1
28476,30,services,married,secondary,no,253,yes,no,cellular,5,may,853,2,-1,0,unknown,1
28477,40,blue-collar,divorced,primary,no,178,yes,no,cellular,15,may,693,1,-1,0,unknown,1
28478,58,management,married,secondary,no,1227,no,no,cellular,8,sep,400,2,95,1,unknown,0
28479,31,technician,married,secondary,no,0,yes,no,cellular,30,jul,1049,3,-1,0,unknown,1
28480,22,retired,married,primary,no,2304,no,yes,telephone,5,may,510,4,-1,0,unknown,0
28481,33,management,married,tertiary,no,2044,yes,no,cellular,15,may,1973,3,177,1,failure,1
28482,32,management,single,tertiary,no,574,no,no,cellular,20,nov,1007,1,127,2,failure,0
28483,35,blue-collar,married,secondary,no,57536,yes,yes,cellular,29,apr,507,3,349,1,other,0
28484,35,technician,single,secondary,no,-5056,yes,no,unknown,2,jun,1020,3,-1,0,unknown,1
28485,60,housemaid,married,primary,no,0,no,yes,unknown,18,jun,850,1,-1,0,unknown,1
28486,54,management,married,tertiary,no,33781,no,no,cellular,2,oct,849,2,119,1,failure,0
28487,27,services,single,secondary,no,25478,yes,yes,cellular,12,may,1352,1,-1,0,unknown,1
28488,52,technician,married,secondary,no,2001,yes,no,unknown,27,oct,95,4,-1,0,unknown,1
28489,49,entrepreneur,divorced,unknown,yes,-701,yes,no,cellular,30,jul,50,2,405,0,unknown,0
28490,30,technician,married,secondary,no,2371,no,yes,cellular,25,mar,237,5,-1,0,unknown,1
28491,53,management,married,unknown,no,2240,yes,no,cellular,2,jun,95,2,385,1,success,0
28492,41,services,single,secondary,no,2409,yes,yes,telephone,11,sep,338,2,-1,0,unknown,1
28493,63,technician,married,secondary,no,973,no,no,cellular,25,feb,318,1,159,1,failure,0
28494,35,technician,married,tertiary,no,0,yes,yes,cellular,26,apr,935,3,363,2,failure,1
28495,53,services,married,secondary,no,6095,yes,yes,cellular,14,may,1119,5,-1,0,unknown,1
28496,41,management,single,tertiary,no,1253,no,no,cellular,21,jul,610,5,-1,0,unknown,0
28497,55,management,divorced,tertiary,no,2037,no,no,cellular,26,nov,209,2,273,1,other,0
28498,22,student,single,secondary,no,64,no,no,cellular,4,jun,351,1,-1,0,unknown,1
28499,33,blue-collar,married,primary,no,-195,no,no,unknown,5,apr,9,1,-1,0,unknown,1
28500,35,blue-collar,married,tertiary,no,102,yes,no,unknown,20,may,1334,29,-1,0,unknown,0
28501,36,technician,single,secondary,no,23,yes,no,cellular,18,may,695,2,333,2,failure,1
28502,51,management,divorced,secondary,no,292,no,no,cellular,26,aug,750,9,-1,0,unknown,1
28503,51,blue-collar,married,primary,no,354,yes,no,cellular,14,jun,755,2,344,1,other,1
28504,24,unknown,married,unknown,no,106,no,no,cellular,12,may,836,4,-1,0,unknown,1
28505,34,self-employed,divorced,secondary,no,16864,no,no,cellular,27,aug,609,13,-1,0,unknown,0
28506,35,services,married,secondary,no,2918,no,yes,cellular,16,jul,81,2,407,3,success,0
28507,42,services,married,secondary,no,146,no,yes,cellular,15,dec,670,4,346,1,failure,0
28508,32,technician,married,secondary,no,765,yes,yes,unknown,14,apr,850,12,-1,0,unknown,0
28509,46,services,married,primary,no,437,yes,no,cellular,13,may,546,3,229,0,unknown,0
28510,33,technician,single,secondary,no,0,yes,yes,cellular,9,feb,1242,2,12,4,other,1
28511,48,management,married,tertiary,no,2960,no,no,cellular,5,jun,729,1,-1,0,unknown,1
28512,30,management,single,tertiary,no,29,yes,no,cellular,12,may,1502,1,-1,0,unknown,1
28513,41,blue-collar,married,secondary,no,6618,yes,no,unknown,4,jul,1217,14,-1,0,unknown,1
28514,29,unemployed,single,secondary,no,1055,no,no,unknown,23,nov,427,1,603,1,failure,0
28515,46,admin.,divorced,secondary,no,2087,no,no,unknown,20,nov,768,3,-1,18,unknown,0
28516,26,student,single,tertiary,no,0,no,no,cellular,23,mar,176,1,-1,0,unknown,1
28517,55,management,single,tertiary,no,38312,no,no,cellular,30,jul,814,2,-1,0,unknown,0
28518,41,blue-collar,married,secondary,no,440,yes,yes,cellular,5,may,721,1,334,2,failure,1
28519,38,technician,married,secondary,no,0,no,no,cellular,26,aug,2029,4,-1,0,unknown,1
28520,30,technician,married,secondary,no,-280,yes,no,cellular,25,jul,1971,2,-1,0,unknown,1
28521,35,management,single,tertiary,no,561,no,no,unknown,12,feb,405,3,-1,0,unknown,1
28522,55,services,married,secondary,no,1337,no,no,cellular,12,aug,255,2,104,1,unknown,0
28523,44,admin.,married,tertiary,no,1588,yes,no,cellular,3,jun,1129,15,-1,0,unknown,1
28524,46,technician,married,unknown,no,312,no,no,cellular,21,aug,1598,4,-1,0,unknown,1
28525,54,admin.,married,secondary,no,0,yes,no,cellular,2,jun,107,1,-1,8,unknown,0
28526,30,services,single,secondary,no,419,yes,no,cellular,12,may,1002,3,-1,0,unknown,1
28527,42,technician,married,secondary,yes,-197,yes,no,cellular,6,aug,771,7,-1,0,unknown,0
28528,53,technician,married,primary,no,6181,no,no,cellular,14,jul,185,2,209,20,other,0
28529,33,blue-collar,single,secondary,yes,687,yes,no,unknown,9,may,1871,1,-1,0,unknown,0
28530,44,unemployed,single,primary,yes,-4,no,yes,cellular,30,jul,408,2,-1,0,unknown,0
28531,34,technician,single,secondary,no,1091,yes,no,unknown,21,may,1236,2,-1,0,unknown,1
28532,55,admin.,married,primary,no,0,yes,no,cellular,19,aug,1190,4,-1,0,unknown,1
28533,41,admin.,married,tertiary,no,1287,no,no,unknown,16,jun,1602,1,-1,0,failure,1
28534,33,admin.,married,secondary,no,4012,no,yes,cellular,28,jan,1462,1,265,4,failure,0
28535,41,management,married,tertiary,no,1391,no,no,cellular,5,aug,1186,1,-1,0,unknown,1
28536,50,blue-collar,married,primary,no,-191,yes,yes,unknown,9,jul,1290,4,-1,0,unknown,0
28537,38,technician,divorced,secondary,no,1803,yes,yes,cellular,17,jul,1081,1,-1,0,unknown,0
28538,54,self-employed,single,tertiary,no,118,no,no,cellular,5,apr,280,1,-1,14,unknown,0
28539,65,unemployed,married,secondary,no,11353,no,no,telephone,2,oct,904,1,-1,0,unknown,0
28540,30,technician,single,tertiary,no,849,no,no,cellular,28,aug,1182,4,-1,0,unknown,1
28541,40,unemployed,single,tertiary,no,7968,no,no,cellular,2,mar,23,2,180,2,other,0
28542,57,technician,divorced,unknown,no,126,no,no,telephone,4,jul,166,2,-1,0,unknown,0
28543,30,technician,single,secondary,no,1352,yes,no,cellular,13,may,1311,4,-1,0,unknown,1
28544,57,admin.,single,secondary,no,2223,no,no,cellular,12,aug,1064,35,-1,0,other,0
28545,33,admin.,single,secondary,no,315,yes,yes,cellular,14,may,426,3,-1,0,unknown,0
28546,35,blue-collar,single,unknown,no,484,no,no,cellular,8,may,344,4,87,3,failure,0
28547,45,admin.,married,secondary,no,191,no,yes,unknown,6,jun,2775,2,-1,0,unknown,1
28548,29,technician,married,secondary,no,1599,yes,no,cellular,8,apr,1341,1,-1,0,unknown,1
28549,27,admin.,single,tertiary,no,662,yes,no,cellular,30,apr,1242,1,-1,0,unknown,1
28550,22,services,married,secondary,no,66,yes,yes,cellular,21,nov,1161,4,-1,0,unknown,1
28551,29,technician,single,secondary,no,77373,no,no,cellular,8,nov,358,1,-1,0,unknown,0
28552,60,blue-collar,married,primary,no,864,no,no,telephone,22,aug,839,4,-1,0,success,1
28553,41,blue-collar,married,secondary,no,61955,no,no,cellular,2,jul,342,2,-1,12,unknown,0
28554,54,management,single,primary,no,4393,yes,yes,unknown,16,may,1297,3,-1,0,unknown,0
28555,38,management,single,tertiary,no,20052,yes,no,cellular,9,nov,347,4,189,2,success,0
28556,41,blue-collar,married,secondary,yes,1539,yes,no,cellular,21,nov,846,6,130,3,failure,0
28557,35,management,married,secondary,no,1825,yes,no,unknown,2,jun,1095,7,-1,0,unknown,1
