,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
4067,35,entrepreneur,married,secondary,no,313,yes,no,cellular,15,jul,1310,1,-1,14,unknown,1
4068,46,management,married,unknown,no,1600,yes,yes,cellular,11,aug,364,1,-1,0,unknown,0
4069,36,technician,married,tertiary,no,1354,no,no,cellular,7,dec,281,3,97,2,failure,0
4070,22,technician,single,tertiary,no,0,no,no,cellular,14,jan,187,7,-1,0,unknown,0
4071,41,blue-collar,married,primary,no,2453,yes,no,unknown,15,may,295,1,-1,0,unknown,0
4072,45,technician,divorced,secondary,no,2657,yes,no,cellular,25,aug,895,3,-1,0,unknown,0
4073,25,blue-collar,divorced,primary,no,12649,yes,no,unknown,24,jun,528,2,-1,0,unknown,0
4074,35,unemployed,single,tertiary,no,415,no,no,cellular,20,aug,88,1,92,4,success,0
4075,31,management,divorced,tertiary,no,254,no,no,unknown,18,aug,220,8,-1,0,unknown,0
4076,22,entrepreneur,married,secondary,no,707,no,no,unknown,18,jun,707,1,-1,0,unknown,0
4077,61,management,single,tertiary,no,3141,no,no,cellular,4,may,384,2,-1,0,unknown,0
4078,47,technician,single,secondary,no,1101,yes,no,telephone,23,jul,957,1,-1,0,unknown,0
4079,37,technician,single,tertiary,no,3943,no,yes,cellular,6,mar,1138,2,138,1,failure,0
4080,59,management,married,tertiary,no,258,yes,no,telephone,14,oct,266,1,-1,0,unknown,0
4081,37,retired,married,unknown,no,1807,no,no,telephone,20,oct,30,1,-1,0,unknown,0
4082,37,management,married,secondary,no,5447,yes,yes,cellular,17,nov,281,1,-1,0,unknown,0
4083,37,management,married,tertiary,no,2987,no,no,cellular,15,feb,93,1,87,9,failure,0
4084,90,retired,divorced,secondary,no,1,no,no,cellular,13,feb,152,3,472,0,failure,0
4085,36,management,single,tertiary,no,7506,yes,no,cellular,6,may,120,2,188,1,success,0
4086,53,management,married,tertiary,yes,349,no,no,cellular,7,mar,146,2,-1,0,unknown,1
4087,51,blue-collar,married,secondary,no,28470,yes,no,unknown,14,may,361,1,-1,0,unknown,0
4088,58,management,married,tertiary,no,45160,no,no,cellular,14,sep,358,2,-1,0,unknown,0
4089,34,technician,single,tertiary,no,23076,no,no,cellular,26,may,243,2,35,0,other,0
4090,60,blue-collar,married,secondary,no,37776,yes,yes,unknown,13,may,1015,1,-1,0,unknown,0
4091,36,admin.,married,tertiary,no,3221,no,no,cellular,4,may,128,11,-1,0,unknown,0
4092,64,technician,single,tertiary,no,550,no,no,cellular,19,nov,337,1,-1,0,unknown,0
4093,56,blue-collar,divorced,primary,no,-9,yes,yes,cellular,8,may,532,1,-1,0,unknown,0
4094,78,blue-collar,married,secondary,no,272,no,no,cellular,14,aug,100,2,355,0,unknown,0
4095,49,housemaid,married,primary,no,48361,yes,no,telephone,15,jul,822,6,-1,0,unknown,1
4096,28,management,divorced,tertiary,no,0,yes,yes,cellular,28,jul,664,8,-1,0,unknown,0
4097,61,unemployed,married,tertiary,no,997,no,no,cellular,10,mar,106,5,-1,0,unknown,0
4098,19,student,single,primary,no,134,no,no,cellular,27,mar,9,2,-1,0,unknown,0
4099,38,unemployed,single,secondary,no,3239,no,no,unknown,5,jun,121,2,-1,0,unknown,0
4100,30,management,single,tertiary,no,53779,no,no,cellular,2,jul,1541,1,-1,0,unknown,0
4101,60,admin.,married,secondary,yes,106,no,no,cellular,21,aug,55,3,91,1,success,0
4102,56,blue-collar,married,primary,no,8163,no,no,cellular,14,aug,6,4,-1,0,unknown,0
4103,37,admin.,divorced,secondary,no,1533,yes,no,cellular,21,feb,555,7,-1,0,unknown,0
4104,34,blue-collar,single,tertiary,no,855,no,no,cellular,16,jul,578,1,-1,0,unknown,0
4105,50,management,married,tertiary,no,414,yes,no,cellular,21,apr,352,1,302,3,failure,0
4106,35,unemployed,divorced,primary,no,118,no,no,unknown,20,jun,990,4,-1,0,unknown,1
4107,26,blue-collar,single,secondary,no,-528,no,no,cellular,2,feb,1392,1,-1,0,unknown,1
4108,37,unknown,married,secondary,no,7433,no,yes,cellular,5,feb,630,3,175,0,unknown,0
4109,57,admin.,married,secondary,no,1128,no,no,cellular,3,feb,369,3,-1,0,unknown,0
4110,30,management,married,primary,no,8089,yes,no,cellular,18,mar,232,2,294,2,other,0
4111,36,services,single,secondary,no,0,yes,no,unknown,15,may,150,4,-1,0,unknown,0
4112,55,technician,divorced,tertiary,no,0,no,no,unknown,18,nov,237,1,-1,0,unknown,0
4113,37,services,married,secondary,no,0,yes,no,cellular,22,jul,1468,1,-1,0,unknown,1
4114,32,technician,single,secondary,no,1279,yes,no,telephone,3,apr,1173,3,-1,0,unknown,0
4115,25,admin.,married,unknown,no,349,yes,no,unknown,10,jul,1037,8,-1,0,unknown,0
4116,48,management,married,tertiary,no,1949,yes,no,unknown,13,may,370,2,310,0,unknown,0
4117,42,blue-collar,married,primary,no,201,yes,no,cellular,11,aug,265,1,103,3,unknown,0
4118,43,blue-collar,married,secondary,no,32342,no,no,cellular,8,sep,261,1,98,1,other,0
4119,82,self-employed,single,secondary,no,526,no,yes,cellular,30,apr,523,1,87,2,other,0
4120,42,management,married,tertiary,no,1275,yes,yes,unknown,21,nov,925,5,-1,1,unknown,0
