,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
4745,46,management,married,tertiary,no,78555,yes,yes,cellular,11,aug,655,1,-1,0,unknown,0
4746,67,retired,married,tertiary,no,1341,no,no,telephone,13,feb,95,1,-1,0,unknown,0
4747,43,admin.,married,secondary,yes,132,no,no,cellular,17,aug,220,1,-1,0,unknown,0
4748,60,management,married,tertiary,no,315,no,no,unknown,1,sep,186,1,183,3,success,0
4749,31,blue-collar,single,tertiary,no,54,yes,no,unknown,29,jun,401,1,-1,0,unknown,0
4750,30,management,married,tertiary,yes,944,no,no,cellular,29,dec,251,2,-1,0,unknown,0
4751,29,unemployed,single,tertiary,no,1311,no,no,cellular,28,aug,510,1,-1,0,unknown,0
4752,47,technician,married,secondary,no,2480,no,no,cellular,6,aug,188,2,-1,0,unknown,0
4753,59,admin.,married,secondary,no,3735,no,no,cellular,17,jun,10,3,295,6,success,0
4754,60,management,married,secondary,no,0,no,no,telephone,19,oct,1745,4,62,3,success,1
4755,45,blue-collar,married,secondary,no,205,no,no,cellular,4,may,552,1,90,2,other,0
4756,60,unknown,single,tertiary,no,1034,yes,no,cellular,7,aug,231,3,-1,0,other,0
4757,31,admin.,single,tertiary,no,4041,yes,no,cellular,30,apr,10,2,-1,0,unknown,0
4758,27,management,married,secondary,no,2071,no,no,cellular,4,jun,72,1,-1,0,unknown,0
4759,79,technician,single,secondary,no,2,yes,yes,cellular,6,may,554,22,356,1,failure,0
4760,25,student,single,primary,no,373,yes,no,cellular,11,may,519,2,-1,0,unknown,0
4761,65,admin.,married,secondary,no,952,no,no,cellular,6,aug,255,1,96,1,unknown,0
4762,49,technician,married,tertiary,no,523,yes,no,unknown,2,jun,848,1,60,3,failure,0
4763,49,management,divorced,tertiary,no,0,yes,no,telephone,18,oct,1151,2,-1,0,unknown,1
4764,47,technician,married,secondary,no,1387,yes,no,unknown,30,may,1269,4,-1,0,unknown,1
4765,27,unknown,married,unknown,no,397,no,no,telephone,7,may,300,3,-1,0,unknown,0
4766,79,student,married,secondary,no,1536,no,no,cellular,7,aug,289,2,-1,0,unknown,0
4767,50,technician,divorced,secondary,no,0,no,no,cellular,29,sep,159,29,120,2,failure,0
4768,24,student,single,secondary,no,822,no,no,unknown,18,oct,184,1,91,2,failure,0
4769,58,unemployed,single,primary,no,1183,no,no,cellular,31,jul,660,5,-1,0,unknown,0
4770,30,unemployed,single,tertiary,no,536,no,no,cellular,22,jul,309,1,-1,0,unknown,0
4771,35,technician,married,secondary,no,4922,yes,no,cellular,12,nov,110,4,201,17,other,0
4772,42,blue-collar,married,primary,no,807,yes,no,unknown,19,nov,1057,1,-1,0,unknown,0
4773,45,unemployed,divorced,primary,yes,42697,no,yes,cellular,13,aug,489,5,-1,0,unknown,0
4774,36,unemployed,married,unknown,no,4145,no,no,unknown,20,jun,988,4,-1,0,unknown,0
4775,37,services,married,secondary,yes,0,yes,no,cellular,22,jul,1410,1,-1,0,unknown,1
4776,32,entrepreneur,married,tertiary,no,762,no,no,cellular,19,jul,1555,11,-1,0,unknown,0
4777,64,unemployed,single,tertiary,no,302,no,no,cellular,11,feb,528,29,-1,0,unknown,0
4778,67,retired,married,secondary,no,47164,no,no,cellular,16,sep,452,5,195,4,failure,0
4779,43,technician,divorced,secondary,no,3285,yes,no,unknown,13,may,342,2,-1,0,unknown,0
4780,60,blue-collar,married,primary,no,1262,yes,yes,unknown,13,may,536,11,-1,0,unknown,0
4781,60,admin.,divorced,secondary,no,12039,no,no,telephone,12,oct,261,2,187,1,other,0
4782,30,retired,married,secondary,no,2850,no,no,cellular,17,jul,300,1,40,8,failure,0
4783,24,management,single,tertiary,no,2845,no,no,cellular,30,apr,196,2,-1,0,unknown,0
4784,61,retired,married,unknown,no,209,no,no,cellular,16,aug,1011,22,94,4,success,1
4785,76,technician,married,tertiary,no,149,no,no,cellular,22,aug,739,2,-1,0,unknown,0
4786,32,technician,single,secondary,no,908,yes,no,unknown,20,may,1051,1,-1,0,unknown,1
4787,51,technician,married,unknown,no,7902,yes,yes,cellular,10,feb,160,1,243,1,failure,0
4788,72,retired,married,primary,no,-1501,no,no,cellular,10,aug,582,4,115,1,other,0
4789,52,technician,married,secondary,no,0,no,no,cellular,28,sep,211,1,294,1,failure,0
4790,42,unemployed,married,secondary,no,356,yes,no,cellular,7,may,190,4,356,2,failure,0
4791,28,student,single,tertiary,no,5741,no,no,telephone,10,sep,103,5,200,3,failure,0
4792,31,management,single,tertiary,no,165,no,yes,cellular,8,aug,56,2,-1,0,unknown,0
4793,63,technician,single,tertiary,no,178,no,no,cellular,17,jul,656,3,-1,2,unknown,0
4794,43,management,single,tertiary,no,431,no,no,cellular,17,aug,79,2,397,1,failure,0
4795,58,blue-collar,married,primary,no,6762,no,no,cellular,28,aug,629,25,-1,0,unknown,0
4796,30,admin.,single,secondary,no,255,no,no,cellular,27,jan,143,1,256,0,failure,0
4797,31,unemployed,single,secondary,no,582,yes,no,unknown,24,jun,548,2,-1,0,unknown,0
4798,31,technician,single,tertiary,no,22,yes,no,unknown,9,may,127,3,-1,0,unknown,0
4799,36,blue-collar,married,secondary,no,1049,yes,no,cellular,14,may,224,23,-1,0,unknown,0
4800,59,management,married,primary,no,474,no,no,unknown,21,aug,252,1,-1,0,unknown,0
4801,56,management,married,tertiary,no,616,no,no,cellular,6,feb,633,1,-1,0,failure,0
4802,45,technician,married,secondary,no,144,yes,yes,cellular,14,jul,857,4,-1,0,unknown,1
4803,90,retired,divorced,secondary,no,1,no,no,cellular,13,feb,428,3,-1,0,unknown,0
4804,37,blue-collar,married,primary,no,106,yes,no,cellular,25,aug,56,1,392,13,failure,0
4805,52,housemaid,married,secondary,no,3923,yes,no,unknown,14,may,373,3,-1,0,unknown,0
4806,30,technician,single,secondary,no,276,no,yes,cellular,25,aug,1545,5,-1,0,unknown,1
4807,35,management,married,tertiary,no,58948,yes,no,unknown,2,jun,230,3,-1,0,unknown,0
4808,55,admin.,married,secondary,no,602,no,no,cellular,4,feb,390,2,150,22,failure,0
4809,32,self-employed,divorced,tertiary,no,3271,no,no,cellular,4,may,9,3,-1,0,unknown,0
4810,33,blue-collar,married,secondary,no,1240,yes,no,cellular,12,apr,844,1,209,0,unknown,0
4811,39,blue-collar,single,secondary,no,649,yes,no,telephone,15,apr,923,1,-1,0,unknown,0
4812,59,entrepreneur,married,primary,no,1939,no,no,cellular,23,apr,172,1,91,0,unknown,0
4813,25,admin.,single,secondary,no,285,no,no,cellular,3,jul,193,3,-1,0,unknown,0
4814,33,blue-collar,married,secondary,no,379,yes,yes,cellular,16,jan,263,25,-1,0,unknown,0
4815,31,blue-collar,married,secondary,no,1406,yes,yes,cellular,13,apr,670,2,-1,0,unknown,0
4816,28,services,married,primary,no,198,no,no,unknown,4,feb,976,2,-1,0,unknown,0
4817,45,admin.,married,unknown,no,5511,yes,no,cellular,2,jul,272,3,-1,0,unknown,0
4818,33,unknown,married,unknown,no,133,no,no,cellular,4,may,218,1,-1,0,unknown,0
4819,49,blue-collar,married,primary,no,129,yes,no,cellular,15,may,611,23,-1,0,unknown,0
4820,31,management,single,tertiary,no,147,no,yes,cellular,9,mar,469,1,181,2,other,0
4821,42,management,married,tertiary,no,13719,yes,no,cellular,8,may,158,2,295,1,success,0
4822,33,retired,married,secondary,no,1495,no,yes,cellular,25,oct,389,1,195,4,other,0
4823,33,retired,divorced,primary,no,639,no,no,telephone,18,may,353,3,-1,0,unknown,0
4824,31,entrepreneur,single,secondary,no,0,no,no,telephone,13,nov,378,1,-1,0,unknown,0
