,status,duration,credit_history,purpose,amount,savings,employment_duration,installment_rate,personal_status_sex,other_debtors,present_residence,property,age,other_installment_plans,housing,number_credits,job,people_liable,telephone,foreign_worker,credit_risk
1199,1,18,no credits taken/all credits paid back duly,radio/television,1217,unknown/no savings account,2,0,female : single,none,1,unknown / no property,25,none,rent,1,unskilled - resident,0 to 2,yes (under customer name),no,1
1200,1,18,all credits at this bank paid back duly,radio/television,1217,unknown/no savings account,2,0,female : single,none,1,unknown / no property,47,none,rent,1,unskilled - resident,3 or more,yes (under customer name),no,1
1201,1,18,all credits at this bank paid back duly,radio/television,1217,... >= 1000 DM,2,0,female : single,none,1,unknown / no property,47,none,rent,1,unskilled - resident,0 to 2,yes (under customer name),no,1
1202,0,24,no credits taken/all credits paid back duly,furniture/equipment,2397,500 <= ... < 1000 DM,4,1,male : married/widowed,none,2,building soc. savings agr./life insurance,35,bank,rent,3-Feb,unskilled - resident,0 to 2,yes (under customer name),no,1
1203,0,5,no credits taken/all credits paid back duly,furniture/equipment,2397,100 <= ... <  500 DM,4,1,male : married/widowed,none,2,building soc. savings agr./life insurance,52,bank,rent,3-Feb,skilled employee/official,0 to 2,yes (under customer name),no,1
1204,0,24,no credits taken/all credits paid back duly,furniture/equipment,2397,100 <= ... <  500 DM,4,1,male : married/widowed,none,2,building soc. savings agr./life insurance,64,bank,for free,3-Feb,skilled employee/official,0 to 2,yes (under customer name),no,0
1205,2,15,all credits at this bank paid back duly,retraining,6416,unknown/no savings account,4,0,female : non-single or male : single,none,1,real estate,59,none,for free,1,skilled employee/official,0 to 2,no,no,1
1206,2,48,critical account/other credits elsewhere,retraining,6416,... >= 1000 DM,4,0,female : non-single or male : single,none,1,real estate,59,none,rent,1,skilled employee/official,0 to 2,no,no,1
1207,2,8,no credits taken/all credits paid back duly,retraining,6416,unknown/no savings account,4,0,female : non-single or male : single,none,1,real estate,59,none,for free,1,skilled employee/official,0 to 2,no,no,1
1208,1,18,no credits taken/all credits paid back duly,car (used),750,unknown/no savings account,0,0,female : non-single or male : single,none,3,unknown / no property,27,none,rent,1,unemployed/unskilled - non-resident,0 to 2,no,yes,1
1209,1,18,no credits taken/all credits paid back duly,repairs,750,unknown/no savings account,0,0,female : non-single or male : single,none,3,unknown / no property,27,none,rent,1,unemployed/unskilled - non-resident,0 to 2,yes (under customer name),no,1
1210,1,18,no credits taken/all credits paid back duly,repairs,750,unknown/no savings account,0,0,female : non-single or male : single,none,3,unknown / no property,27,none,rent,1,unemployed/unskilled - non-resident,0 to 2,no,yes,1
1211,1,4,all credits at this bank paid back duly,domestic appliances,1190,unknown/no savings account,0,2,female : non-single or male : single,none,0,real estate,38,none,own,5-Apr,unemployed/unskilled - non-resident,3 or more,no,no,1
1212,2,18,all credits at this bank paid back duly,others,1190,unknown/no savings account,0,2,female : non-single or male : single,none,0,real estate,55,none,own,5-Apr,unemployed/unskilled - non-resident,3 or more,no,no,1
1213,2,18,all credits at this bank paid back duly,domestic appliances,1190,unknown/no savings account,0,2,female : non-single or male : single,none,0,real estate,43,none,own,5-Apr,unemployed/unskilled - non-resident,3 or more,no,no,1
