,age,workclass,fnlwgt,education-num,marital-status,relationship,race,sex,capital-gain,capital-loss,hours-per-week,income
50644,62,Private,110586,10,Widowed,Unmarried,White,Female,88446,0,40,1
50645,62,Local-gov,110586,10,Widowed,Unmarried,White,Female,89804,0,40,1
50646,29,Private,128604,9,Married-civ-spouse,Husband,Asian-Pac-Islander,Male,42434,0,40,1
50647,29,Private,128604,9,Married-civ-spouse,Husband,Asian-Pac-Islander,Male,77292,0,40,1
50648,24,Local-gov,38707,13,Widowed,Own-child,White,Male,62995,0,20,1
50649,24,Local-gov,38707,13,Never-married,Own-child,White,Male,16515,0,20,1
50650,65,Local-gov,146454,14,Married-civ-spouse,Husband,White,Male,41596,1648,4,1
50651,65,Local-gov,146454,14,Married-civ-spouse,Husband,White,Male,76784,1648,4,1
50652,38,Private,122952,9,Separated,Unmarried,White,Female,0,3094,35,1
50653,38,Private,122952,11,Separated,Unmarried,White,Female,49314,0,35,1
50654,47,Private,275095,5,Widowed,Unmarried,White,Female,75104,0,50,1
50655,47,Private,275095,5,Widowed,Unmarried,White,Female,22698,0,50,1
50656,23,Private,157951,10,Never-married,Not-in-family,White,Male,64844,0,50,1
50657,23,Private,157951,10,Never-married,Not-in-family,White,Female,74122,0,50,1
50658,38,Private,89559,10,Separated,Unmarried,White,Female,0,3426,40,1
50659,38,Private,89559,10,Married-spouse-absent,Unmarried,White,Female,31672,0,40,1
50660,38,Private,217926,9,Married-civ-spouse,Husband,Black,Male,12280,0,47,1
50661,38,Self-emp-inc,217926,9,Married-civ-spouse,Husband,Black,Male,0,3691,40,1
50662,28,Private,137898,9,Divorced,Other-relative,White,Female,58697,0,35,1
50663,28,Private,137898,9,Divorced,Not-in-family,White,Female,72461,0,35,1
50664,61,Private,136109,7,Widowed,Not-in-family,White,Female,10984,353,45,1
50665,61,Private,136109,7,Widowed,Not-in-family,White,Female,24478,3329,45,1
50666,40,State-gov,55294,2,Married-civ-spouse,Husband,White,Male,0,0,40,0
50667,40,Federal-gov,55294,13,Married-civ-spouse,Husband,White,Male,0,0,40,0
50668,51,Private,154342,14,Married-civ-spouse,Other-relative,White,Male,4527,0,45,0
50669,51,Federal-gov,154342,14,Married-civ-spouse,Husband,White,Male,4720,0,45,0
50670,47,Private,202959,11,Never-married,Not-in-family,White,Female,48879,0,40,1
50671,24,Private,202959,11,Never-married,Not-in-family,White,Female,90237,0,40,1
50672,44,Private,235786,10,Married-civ-spouse,Husband,White,Male,3015,3943,45,0
50673,44,Private,235786,10,Married-civ-spouse,Own-child,White,Male,1418,0,45,0
50674,20,Private,258430,10,Never-married,Own-child,White,Female,79339,0,55,1
50675,20,Private,258430,10,Never-married,Own-child,Asian-Pac-Islander,Female,66079,0,19,0
50676,40,Private,284303,10,Never-married,Wife,White,Female,7688,0,9,0
50677,40,Private,284303,10,Married-AF-spouse,Other-relative,White,Female,7688,0,40,0
50678,44,Private,146908,15,Married-civ-spouse,Husband,White,Male,0,0,40,1
50679,44,Without-pay,146908,9,Married-civ-spouse,Husband,White,Male,0,0,53,1
50680,18,Private,188616,7,Never-married,Own-child,White,Male,23877,0,88,1
50681,65,Private,188616,7,Never-married,Own-child,White,Male,32174,0,15,1
50682,19,Private,310483,8,Never-married,Own-child,White,Male,51155,0,13,1
50683,19,Private,310483,8,Never-married,Own-child,White,Male,23835,597,25,1
50684,47,Private,264244,9,Married-spouse-absent,Not-in-family,White,Female,35561,0,40,1
50685,47,Private,264244,9,Married-spouse-absent,Not-in-family,Black,Female,72178,944,40,1
50686,27,Private,29904,13,Never-married,Not-in-family,White,Female,17873,0,40,1
50687,27,Private,29904,13,Never-married,Not-in-family,White,Female,32130,0,40,1
50688,90,Private,76878,9,Married-civ-spouse,Unmarried,White,Male,5178,0,40,0
50689,36,Private,76878,9,Married-civ-spouse,Unmarried,White,Male,5178,0,18,0
50690,62,Local-gov,71467,14,Married-civ-spouse,Husband,White,Male,0,4175,40,1
50691,62,Self-emp-not-inc,71467,14,Married-civ-spouse,Husband,White,Male,77126,0,40,1
50692,37,Private,37997,8,Divorced,Not-in-family,White,Male,0,2236,84,0
50693,41,Without-pay,37997,8,Divorced,Wife,White,Male,0,0,84,0
50694,28,Private,230503,10,Never-married,Unmarried,White,Female,41807,0,40,1
50695,28,State-gov,230503,10,Never-married,Unmarried,White,Female,72943,0,40,1
50696,27,Private,244566,6,Married-civ-spouse,Not-in-family,White,Male,60591,0,40,1
50697,27,Private,244566,6,Married-civ-spouse,Husband,White,Male,64733,0,40,1
50698,65,Self-emp-not-inc,355978,10,Divorced,Husband,White,Male,0,0,60,0
50699,45,Self-emp-not-inc,355978,9,Married-civ-spouse,Not-in-family,White,Male,0,0,60,0
50700,19,Private,472807,2,Never-married,Other-relative,White,Male,86633,0,52,1
50701,27,Private,472807,2,Never-married,Other-relative,White,Male,15070,0,52,1
50702,27,Private,341672,10,Never-married,Husband,Asian-Pac-Islander,Male,14006,0,40,1
50703,27,Private,341672,10,Never-married,Other-relative,Asian-Pac-Islander,Male,31563,0,96,1
50704,31,Private,244147,9,Widowed,Unmarried,White,Male,35315,0,55,1
50705,31,Private,244147,9,Divorced,Unmarried,White,Male,76032,0,61,1
50706,19,Private,186717,10,Divorced,Own-child,White,Male,81459,0,40,1
50707,19,Private,186717,10,Never-married,Own-child,White,Male,87176,0,40,1
50708,23,State-gov,423453,9,Never-married,Own-child,Black,Female,15446,0,16,1
50709,23,Self-emp-inc,423453,9,Never-married,Own-child,Black,Female,96219,0,16,1
50710,27,Private,241306,11,Married-civ-spouse,Not-in-family,White,Male,0,0,40,0
50711,26,Private,241306,11,Married-civ-spouse,Husband,White,Female,0,0,40,0
50712,23,Private,86065,8,Never-married,Not-in-family,White,Female,23081,0,30,1
50713,23,Private,86065,15,Never-married,Not-in-family,White,Female,59807,0,30,1
50714,20,Private,133352,10,Never-married,Own-child,Asian-Pac-Islander,Female,56984,0,40,1
50715,20,Private,133352,10,Separated,Own-child,Asian-Pac-Islander,Female,90196,0,40,1
50716,51,Private,182944,9,Widowed,Unmarried,Black,Female,86094,0,40,1
50717,51,Private,182944,9,Widowed,Unmarried,Black,Female,36638,0,40,1
50718,44,Private,133986,10,Married-spouse-absent,Unmarried,Asian-Pac-Islander,Female,26213,0,40,1
50719,44,Private,133986,10,Married-spouse-absent,Not-in-family,White,Female,29321,0,40,1
50720,24,Private,194604,13,Never-married,Own-child,White,Female,66667,0,15,1
50721,24,Private,194604,13,Never-married,Own-child,White,Female,36017,0,15,1
50722,42,State-gov,119008,12,Divorced,Not-in-family,Black,Female,66748,1974,40,1
50723,42,State-gov,119008,12,Divorced,Not-in-family,Black,Male,0,2840,40,1
50724,54,Private,93449,9,Married-civ-spouse,Husband,Asian-Pac-Islander,Male,37437,0,60,1
50725,47,Private,93449,9,Married-civ-spouse,Husband,Asian-Pac-Islander,Male,16455,0,60,1
50726,42,Private,125461,13,Never-married,Unmarried,White,Male,0,3567,40,1
50727,42,Self-emp-not-inc,125461,13,Never-married,Unmarried,White,Male,0,3461,40,1
50728,78,Private,261799,11,Married-civ-spouse,Husband,Amer-Indian-Eskimo,Male,0,0,45,0
50729,52,Private,261799,11,Married-civ-spouse,Husband,Black,Male,0,0,78,0
50730,32,Self-emp-not-inc,182691,9,Never-married,Unmarried,White,Male,57134,0,15,1
50731,32,Self-emp-not-inc,182691,9,Never-married,Unmarried,White,Male,91297,0,60,1
50732,36,Private,411797,2,Never-married,Own-child,White,Female,0,1855,35,0
50733,36,Private,411797,13,Never-married,Own-child,White,Female,0,4011,17,0
50734,52,Private,200853,5,Divorced,Not-in-family,White,Female,74809,0,60,1
