,age,workclass,fnlwgt,education-num,marital-status,relationship,race,sex,capital-gain,capital-loss,hours-per-week,income
56,33,Private,110978,10,Married-civ-spouse,Other-relative,Other,Female,0,2408,40,1
57,47,Private,265266,13,Married-civ-spouse,Husband,White,Male,0,442,40,0
58,23,Private,227856,13,Never-married,Wife,White,Male,7298,0,60,0
59,31,Private,101352,13,Married-civ-spouse,Husband,White,Female,0,0,40,1
60,40,Private,160369,14,Married-civ-spouse,Husband,White,Male,0,377,40,0
61,57,Private,142076,9,Divorced,Other-relative,White,Male,4386,0,40,0
62,45,Private,268525,13,Never-married,Not-in-family,White,Male,0,394,50,1
63,47,State-gov,199512,13,Married-civ-spouse,Husband,White,Male,0,1623,40,0
64,33,Private,232475,9,Married-civ-spouse,Husband,White,Male,0,2144,40,0
65,30,State-gov,185590,13,Married-civ-spouse,Wife,White,Female,0,0,40,1
66,30,Self-emp-inc,105339,13,Never-married,Other-relative,White,Male,7298,0,60,0
67,34,Private,36006,13,Divorced,Husband,White,Male,0,0,45,0
68,60,Private,43235,13,Never-married,Husband,White,Male,0,720,50,0
69,50,Private,281590,13,Divorced,Unmarried,Other,Female,0,0,40,0
70,23,Private,455379,14,Married-civ-spouse,Husband,White,Male,0,0,60,0
71,30,Private,170562,9,Married-civ-spouse,Husband,White,Male,0,1433,60,0
72,40,Private,36006,11,Married-civ-spouse,Husband,Asian-Pac-Islander,Male,0,1543,40,0
