,age,workclass,fnlwgt,education-num,marital-status,relationship,race,sex,capital-loss,hours-per-week,income
89,46,Private,265266,13,Never-married,Husband,Asian-Pac-Islander,Male,1902,40,0
90,34,Private,209768,9,Married-civ-spouse,Husband,White,Male,0,45,0
91,53,State-gov,281590,9,Divorced,Wife,White,Female,0,40,0
92,30,Private,207937,15,Divorced,Not-in-family,Other,Male,0,44,0
93,25,Private,299908,10,Married-civ-spouse,Not-in-family,Black,Female,800,40,0
94,54,Private,105253,9,Married-civ-spouse,Husband,White,Female,0,55,0
95,47,State-gov,199512,9,Married-civ-spouse,Husband,White,Male,1800,40,0
96,52,Private,170562,9,Married-civ-spouse,Husband,Other,Male,0,45,0
97,50,Private,146325,9,Divorced,Husband,White,Female,0,44,0
98,34,Private,198693,15,Never-married,Not-in-family,White,Male,0,40,1
99,31,Private,101352,13,Married-civ-spouse,Wife,White,Female,0,40,1
100,40,Private,72887,11,Married-civ-spouse,Own-child,Asian-Pac-Islander,Male,0,30,0
101,30,State-gov,185590,13,Married-civ-spouse,Wife,White,Female,0,40,1
102,44,Local-gov,101352,10,Married-civ-spouse,Husband,White,Male,0,40,0
103,41,State-gov,124520,14,Married-civ-spouse,Own-child,Black,Male,0,40,0
104,50,Private,269095,13,Divorced,Other-relative,White,Female,659,40,0
105,31,State-gov,116677,13,Married-civ-spouse,Wife,White,Male,0,40,1
106,37,Private,71592,15,Married-civ-spouse,Other-relative,Other,Female,0,17,1
107,55,Private,209768,6,Married-civ-spouse,Husband,White,Male,0,60,0
108,33,Private,110978,10,Married-civ-spouse,Other-relative,Other,Female,2254,40,1
109,57,Private,299908,9,Married-civ-spouse,Husband,White,Male,707,40,0
110,33,Private,232475,9,Married-civ-spouse,Husband,Black,Male,0,30,0
111,40,Private,160369,14,Married-civ-spouse,Other-relative,White,Male,1610,45,0
112,45,Private,36006,13,Divorced,Other-relative,White,Male,0,45,0
113,23,Private,232475,14,Married-civ-spouse,Husband,White,Male,0,60,0
114,30,Private,372181,10,Divorced,Unmarried,White,Female,0,40,0
115,46,Private,105253,14,Married-civ-spouse,Husband,White,Male,1653,50,0
116,41,Private,43235,13,Married-civ-spouse,Husband,White,Male,0,30,0
117,60,Self-emp-inc,105339,9,Married-civ-spouse,Husband,White,Male,521,60,0
118,50,Private,268525,13,Never-married,Not-in-family,Black,Male,0,50,1
