,age,workclass,fnlwgt,education-num,marital-status,relationship,race,sex,capital-loss,hours-per-week,income
18992,42,Private,124692,4,Married-civ-spouse,Husband,White,Female,0,40,0
18993,84,Self-emp-inc,146103,13,Married-civ-spouse,Husband,White,Male,0,2,0
18994,22,Private,106422,9,Married-civ-spouse,Wife,Amer-Indian-Eskimo,Female,1485,37,0
18995,56,Local-gov,116878,2,Married-civ-spouse,Husband,White,Male,0,40,0
18996,21,State-gov,231472,16,Married-civ-spouse,Husband,White,Male,0,30,0
18997,24,Self-emp-inc,100669,10,Never-married,Not-in-family,Asian-Pac-Islander,Male,2923,30,1
18998,47,Local-gov,197656,7,Married-civ-spouse,Husband,White,Male,0,40,0
18999,42,Federal-gov,108183,14,Married-civ-spouse,Not-in-family,Asian-Pac-Islander,Male,394,40,0
19000,53,Private,295896,11,Married-civ-spouse,Husband,Asian-Pac-Islander,Male,0,45,1
19001,60,Self-emp-not-inc,251923,16,Married-civ-spouse,Husband,White,Male,0,40,1
19002,42,Federal-gov,340917,14,Never-married,Other-relative,White,Female,0,60,0
19003,73,Self-emp-not-inc,167501,10,Married-civ-spouse,Wife,White,Female,0,10,0
19004,62,Private,43819,10,Married-spouse-absent,Not-in-family,White,Female,0,39,0
19005,73,State-gov,160402,13,Married-civ-spouse,Husband,White,Male,0,55,0
19006,60,Private,250552,9,Married-civ-spouse,Husband,White,Male,3496,40,0
19007,34,Private,238342,13,Married-civ-spouse,Husband,White,Male,0,42,0
19008,36,Private,187983,13,Married-civ-spouse,Wife,Amer-Indian-Eskimo,Female,0,21,1
19009,44,Federal-gov,113597,10,Widowed,Husband,Amer-Indian-Eskimo,Male,0,55,0
19010,40,Private,77313,2,Separated,Not-in-family,White,Female,0,60,0
19011,53,Self-emp-not-inc,169112,13,Married-civ-spouse,Husband,White,Male,1637,40,0
19012,39,Private,168138,12,Divorced,Unmarried,Black,Female,3068,35,1
19013,24,Self-emp-not-inc,31606,6,Married-civ-spouse,Other-relative,White,Female,0,50,0
19014,18,State-gov,111483,13,Married-civ-spouse,Husband,White,Male,0,40,0
19015,19,Private,205643,15,Married-civ-spouse,Husband,Amer-Indian-Eskimo,Male,0,45,0
19016,50,Private,169078,9,Married-civ-spouse,Not-in-family,White,Male,0,40,0
19017,39,State-gov,343646,5,Divorced,Not-in-family,Black,Male,0,40,0
19018,40,Local-gov,183096,5,Married-civ-spouse,Own-child,Amer-Indian-Eskimo,Female,0,40,0
19019,41,Private,84610,3,Married-civ-spouse,Husband,White,Male,1902,60,0
19020,32,Private,122159,9,Never-married,Not-in-family,White,Male,0,15,0
19021,41,Private,32763,6,Never-married,Own-child,White,Male,3006,15,0
19022,28,Private,30771,10,Married-AF-spouse,Unmarried,Black,Female,3515,40,1
19023,29,Private,271579,13,Never-married,Not-in-family,White,Male,0,62,1
19024,48,Private,54759,9,Divorced,Unmarried,Black,Female,3245,38,1
19025,50,Private,108933,16,Married-civ-spouse,Husband,White,Female,0,40,1
19026,61,Federal-gov,287031,3,Married-civ-spouse,Husband,White,Male,0,50,0
19027,40,Private,177027,5,Married-civ-spouse,Wife,Asian-Pac-Islander,Female,0,52,0
19028,55,Local-gov,107308,14,Married-civ-spouse,Not-in-family,White,Male,1110,40,0
19029,38,Private,341943,9,Divorced,Unmarried,White,Female,2960,40,1
19030,40,Private,344060,9,Married-civ-spouse,Husband,White,Male,0,40,0
19031,40,Self-emp-not-inc,57233,11,Married-civ-spouse,Not-in-family,White,Female,0,40,0
19032,44,Private,328581,13,Married-spouse-absent,Husband,White,Male,0,25,0
19033,75,Private,159732,10,Married-civ-spouse,Husband,White,Male,0,60,1
19034,41,Self-emp-inc,214247,2,Married-civ-spouse,Husband,White,Male,2415,38,0
19035,38,Private,279315,9,Never-married,Unmarried,Black,Male,3622,40,1
19036,51,Local-gov,255412,13,Married-civ-spouse,Husband,White,Male,0,9,0
19037,34,Private,172032,10,Never-married,Not-in-family,White,Male,0,7,0
19038,38,State-gov,312528,13,Married-civ-spouse,Husband,White,Male,2298,37,1
19039,43,State-gov,424094,16,Never-married,Not-in-family,White,Female,3320,40,1
19040,45,Private,304283,2,Married-civ-spouse,Husband,White,Male,1977,40,0
19041,70,Private,79387,10,Never-married,Not-in-family,White,Female,0,40,1
19042,49,Self-emp-not-inc,175622,1,Married-AF-spouse,Husband,White,Male,0,40,0
19043,29,Private,157612,13,Never-married,Not-in-family,White,Female,3746,45,1
19044,40,Self-emp-not-inc,233802,5,Married-civ-spouse,Husband,White,Male,0,40,0
19045,35,Private,34335,11,Married-AF-spouse,Husband,White,Male,0,52,0
19046,52,Self-emp-not-inc,104501,10,Married-civ-spouse,Own-child,Asian-Pac-Islander,Male,0,60,0
19047,62,Private,189219,12,Never-married,Not-in-family,White,Female,3032,8,1
19048,42,State-gov,160369,9,Never-married,Not-in-family,White,Male,0,69,0
19049,47,Private,184169,8,Married-AF-spouse,Unmarried,White,Female,0,40,0
19050,30,Self-emp-inc,149368,9,Divorced,Unmarried,White,Male,2522,30,1
19051,58,Private,164018,13,Married-civ-spouse,Wife,White,Male,0,50,1
19052,49,Private,296849,10,Widowed,Husband,White,Male,0,40,0
19053,51,Self-emp-not-inc,311631,2,Married-civ-spouse,Other-relative,White,Male,0,40,0
19054,50,State-gov,198681,10,Widowed,Husband,White,Male,0,70,0
19055,36,Private,137253,10,Married-civ-spouse,Not-in-family,Black,Female,0,40,0
19056,50,Private,179717,13,Divorced,Not-in-family,White,Female,1564,60,0
19057,74,Private,110977,16,Never-married,Not-in-family,White,Male,0,40,0
19058,60,Self-emp-inc,336188,1,Married-civ-spouse,Husband,Amer-Indian-Eskimo,Male,2415,80,0
19059,35,Private,226528,9,Married-spouse-absent,Not-in-family,Black,Male,0,60,0
19060,56,Private,127264,10,Married-civ-spouse,Husband,White,Male,2442,34,0
19061,50,Without-pay,177858,9,Widowed,Own-child,White,Female,1887,40,0
19062,88,Private,216999,9,Married-civ-spouse,Husband,White,Male,2312,45,1
19063,42,Private,243921,9,Never-married,Own-child,White,Male,2912,40,1
19064,17,Self-emp-not-inc,145175,13,Married-civ-spouse,Husband,White,Male,0,42,0
19065,46,Private,138626,16,Married-civ-spouse,Husband,Black,Male,0,40,1
19066,40,Self-emp-inc,214781,2,Married-civ-spouse,Husband,White,Male,337,65,0
19067,49,Private,161637,10,Married-civ-spouse,Husband,White,Male,0,40,0
19068,34,Private,175856,14,Never-married,Not-in-family,White,Female,0,40,0
19069,40,Private,154713,9,Married-civ-spouse,Husband,White,Male,0,40,1
19070,66,Private,36984,13,Never-married,Not-in-family,White,Female,3445,50,1
19071,27,Federal-gov,209085,11,Never-married,Husband,White,Male,0,44,0
19072,38,Private,91039,13,Married-spouse-absent,Husband,White,Male,0,17,0
19073,28,State-gov,229272,9,Divorced,Husband,Black,Male,0,40,0
19074,30,Private,337001,1,Married-civ-spouse,Husband,White,Male,0,45,0
19075,56,Self-emp-inc,204816,9,Married-civ-spouse,Husband,White,Male,0,13,0
19076,49,Private,393715,8,Married-civ-spouse,Husband,White,Male,0,50,0
19077,55,Local-gov,193895,9,Divorced,Unmarried,White,Female,2922,38,1
19078,63,Private,197182,12,Never-married,Not-in-family,White,Female,3748,40,1
19079,38,Private,194538,11,Married-civ-spouse,Unmarried,White,Male,0,7,0
19080,25,Private,169583,13,Married-AF-spouse,Wife,White,Female,0,40,0
19081,78,Private,146711,8,Married-civ-spouse,Husband,White,Male,0,50,0
19082,35,Private,212195,9,Married-civ-spouse,Wife,White,Male,1592,35,0
19083,31,State-gov,227864,9,Married-civ-spouse,Husband,Black,Male,2754,57,1
19084,54,Self-emp-not-inc,308279,13,Married-civ-spouse,Husband,Black,Male,0,21,0
19085,44,Private,107433,10,Married-AF-spouse,Husband,White,Male,1391,55,0
19086,52,Local-gov,89705,2,Married-civ-spouse,Unmarried,White,Male,0,40,0
19087,50,Private,167886,2,Married-civ-spouse,Husband,White,Male,1382,40,0
19088,38,Private,29702,13,Never-married,Wife,White,Male,0,45,0
19089,50,Local-gov,192213,9,Married-civ-spouse,Husband,White,Male,0,44,0
19090,33,Self-emp-not-inc,295621,4,Married-civ-spouse,Husband,Black,Male,90,25,0
19091,40,Private,98168,10,Married-civ-spouse,Not-in-family,Amer-Indian-Eskimo,Male,0,40,0
19092,36,Private,136450,9,Married-civ-spouse,Husband,Asian-Pac-Islander,Male,0,40,0
19093,49,Self-emp-not-inc,181307,6,Married-civ-spouse,Husband,White,Male,0,48,0
19094,46,Private,222011,10,Widowed,Not-in-family,White,Male,2915,50,1
19095,50,Private,339954,9,Separated,Husband,White,Male,0,40,0
19096,49,Self-emp-inc,38819,9,Married-civ-spouse,Husband,White,Male,0,34,0
19097,49,Private,277946,6,Married-civ-spouse,Other-relative,White,Male,0,50,0
19098,35,Private,101073,10,Married-civ-spouse,Husband,White,Male,3318,45,0
19099,70,Local-gov,111712,15,Married-civ-spouse,Husband,White,Male,0,80,1
19100,42,Self-emp-not-inc,341204,9,Divorced,Other-relative,White,Female,2899,40,1
19101,37,Private,298539,9,Married-civ-spouse,Husband,Asian-Pac-Islander,Male,1902,10,0
19102,46,Federal-gov,83610,13,Married-spouse-absent,Wife,White,Male,0,40,0
19103,29,Federal-gov,142712,10,Married-civ-spouse,Husband,White,Male,0,61,0
19104,67,Private,300275,9,Never-married,Not-in-family,White,Male,3007,40,1
19105,50,Private,133963,13,Widowed,Not-in-family,White,Female,1977,40,0
19106,54,Private,193047,9,Married-civ-spouse,Husband,White,Male,3115,40,0
19107,60,Private,565313,10,Never-married,Own-child,Black,Male,3372,80,1
19108,45,Private,101977,10,Married-civ-spouse,Husband,White,Male,2920,45,1
19109,30,State-gov,157778,10,Married-civ-spouse,Wife,White,Male,0,25,0
19110,36,Federal-gov,219814,15,Married-civ-spouse,Husband,White,Male,0,35,1
19111,27,Private,172256,9,Married-civ-spouse,Husband,White,Male,0,40,1
19112,47,Private,119891,10,Married-civ-spouse,Husband,White,Male,0,10,0
19113,38,Private,138069,10,Married-civ-spouse,Husband,White,Male,0,40,0
19114,41,Self-emp-not-inc,168462,1,Married-civ-spouse,Husband,White,Male,0,40,0
19115,36,Self-emp-not-inc,223881,8,Married-civ-spouse,Husband,White,Male,0,60,0
19116,42,Private,205100,10,Divorced,Not-in-family,Other,Female,0,45,0
19117,64,Local-gov,184813,9,Divorced,Not-in-family,White,Female,0,14,1
19118,33,Private,168981,2,Never-married,Unmarried,White,Female,2937,24,1
19119,42,Private,188331,12,Married-civ-spouse,Wife,White,Female,0,58,0
19120,31,Private,467579,6,Married-civ-spouse,Husband,Black,Male,3522,40,0
19121,30,Private,218729,5,Married-civ-spouse,Husband,White,Male,0,32,0
19122,45,Private,259412,15,Widowed,Other-relative,White,Male,0,50,0
19123,45,Private,31339,13,Married-civ-spouse,Not-in-family,White,Male,0,7,0
19124,43,Self-emp-inc,147110,10,Separated,Husband,White,Male,0,40,0
19125,50,Self-emp-inc,160107,6,Married-civ-spouse,Husband,White,Male,1511,55,0
19126,46,Private,39764,9,Never-married,Own-child,White,Male,3213,40,1
19127,51,Private,268147,11,Never-married,Unmarried,White,Female,3374,60,1
19128,49,Private,120629,13,Widowed,Unmarried,Black,Female,0,60,0
