,age,workclass,fnlwgt,education-num,marital-status,relationship,race,sex,capital-gain,capital-loss,hours-per-week,income
37979,76,Private,198841,14,Married-civ-spouse,Husband,White,Male,2568,0,45,0
37980,39,Private,198841,14,Married-civ-spouse,Husband,White,Male,3886,0,45,0
37981,26,Private,139992,13,Never-married,Not-in-family,White,Female,91220,0,40,1
37982,26,Private,139992,13,Never-married,Not-in-family,White,Female,69617,0,40,1
37983,51,Private,355954,12,Married-civ-spouse,Other-relative,White,Male,0,0,60,0
37984,19,Private,355954,10,Divorced,Husband,White,Male,0,0,60,0
37985,31,Private,473133,14,Divorced,Husband,Other,Male,5178,0,40,0
37986,31,Private,473133,14,Married-spouse-absent,Husband,White,Male,1127,0,40,0
37987,24,Private,322674,12,Never-married,Not-in-family,White,Male,56823,0,48,1
37988,24,Private,322674,12,Never-married,Not-in-family,White,Male,37899,1117,48,1
37989,43,Private,154076,2,Married-civ-spouse,Husband,Asian-Pac-Islander,Male,0,0,40,0
37990,43,Local-gov,154076,10,Married-civ-spouse,Husband,White,Male,0,0,12,0
37991,59,Self-emp-inc,107287,6,Widowed,Unmarried,White,Female,0,696,50,0
37992,59,Private,107287,6,Married-civ-spouse,Unmarried,White,Female,0,2559,50,0
37993,42,Private,136986,9,Separated,Husband,Black,Male,0,0,35,0
37994,42,Private,136986,9,Married-civ-spouse,Other-relative,White,Male,0,0,35,0
37995,37,Local-gov,191364,12,Never-married,Other-relative,White,Male,0,0,40,0
37996,17,Local-gov,191364,12,Married-civ-spouse,Husband,White,Male,0,0,48,0
37997,51,Private,229259,13,Married-civ-spouse,Husband,White,Male,0,0,14,0
37998,51,Private,229259,9,Married-civ-spouse,Husband,White,Male,0,0,45,0
37999,25,Private,255647,9,Married-civ-spouse,Wife,White,Female,0,3009,46,1
38000,25,Private,255647,9,Married-civ-spouse,Wife,White,Female,50274,0,25,1
38001,57,Private,36006,13,Married-civ-spouse,Husband,White,Male,0,0,97,0
38002,45,Private,36006,13,Divorced,Husband,White,Male,0,0,36,0
38003,39,Private,254211,9,Married-civ-spouse,Husband,White,Male,0,0,33,0
38004,39,Private,243409,9,Married-civ-spouse,Husband,Asian-Pac-Islander,Male,0,117,60,0
38005,24,Federal-gov,60783,11,Married-civ-spouse,Husband,White,Male,0,0,70,0
38006,24,Private,60783,6,Never-married,Husband,White,Male,0,0,70,0
38007,33,Self-emp-not-inc,266674,10,Never-married,Husband,White,Male,7298,0,25,0
38008,33,Self-emp-not-inc,266674,10,Never-married,Other-relative,White,Male,7298,0,56,0
38009,48,Private,36503,10,Married-spouse-absent,Husband,Asian-Pac-Islander,Male,0,0,40,0
38010,48,Private,36503,1,Married-civ-spouse,Husband,White,Male,0,2707,40,0
38011,45,Private,185366,13,Married-civ-spouse,Husband,White,Male,0,0,50,0
38012,45,Private,35969,13,Married-civ-spouse,Husband,White,Male,0,0,41,0
38013,34,Self-emp-inc,737315,9,Married-civ-spouse,Husband,White,Male,0,0,65,0
38014,34,Private,737315,15,Widowed,Other-relative,White,Male,0,0,65,0
38015,26,Private,82622,16,Married-civ-spouse,Husband,White,Male,0,0,40,0
38016,65,Private,82622,10,Married-civ-spouse,Husband,White,Female,0,0,40,0
38017,56,Private,387844,9,Married-civ-spouse,Wife,White,Male,0,0,40,0
38018,56,Private,244580,9,Married-civ-spouse,Husband,White,Male,0,2789,40,0
38019,27,Private,298635,14,Married-civ-spouse,Other-relative,Asian-Pac-Islander,Female,0,0,40,0
38020,27,Private,298635,14,Married-civ-spouse,Husband,Black,Male,0,0,42,0
38021,51,Self-emp-inc,170086,13,Married-civ-spouse,Husband,White,Male,0,0,20,0
38022,51,Self-emp-not-inc,170086,13,Married-civ-spouse,Husband,White,Male,0,1595,45,0
38023,21,Private,146454,10,Married-civ-spouse,Husband,White,Male,5556,2130,40,0
38024,66,Private,146454,10,Married-spouse-absent,Wife,White,Male,5556,0,40,0
38025,55,Private,102058,13,Married-civ-spouse,Own-child,Amer-Indian-Eskimo,Male,0,0,50,0
38026,55,Private,102058,7,Married-civ-spouse,Husband,White,Male,0,0,50,0
38027,45,Private,125437,13,Divorced,Unmarried,White,Male,0,0,40,0
38028,48,Private,205424,13,Divorced,Other-relative,White,Male,0,0,12,0
38029,28,State-gov,445824,14,Separated,Wife,White,Female,0,0,78,0
38030,28,Without-pay,445824,14,Divorced,Wife,White,Female,0,0,50,0
38031,37,Private,189922,12,Married-civ-spouse,Husband,White,Male,0,2078,30,0
38032,37,Private,189922,12,Married-civ-spouse,Husband,White,Male,0,1774,41,0
38033,22,Private,233495,15,Divorced,Not-in-family,White,Female,55767,0,40,1
38034,22,Private,233495,5,Separated,Not-in-family,White,Female,54711,0,40,1
38035,47,Self-emp-inc,423222,15,Married-civ-spouse,Husband,White,Male,0,0,9,0
38036,66,Private,423222,1,Married-civ-spouse,Husband,White,Male,0,0,45,0
38037,41,Private,359696,13,Married-civ-spouse,Husband,White,Female,3249,0,60,0
38038,41,Private,359696,13,Separated,Husband,White,Male,2109,0,60,0
38039,60,Self-emp-not-inc,282660,4,Married-civ-spouse,Wife,White,Male,20185,0,40,1
38040,60,Self-emp-not-inc,282660,4,Married-civ-spouse,Husband,White,Male,67281,0,40,1
38041,22,Local-gov,211798,11,Never-married,Own-child,White,Male,62927,0,10,1
38042,22,State-gov,211798,11,Never-married,Own-child,White,Male,67466,0,72,1
38043,34,Private,84119,9,Never-married,Other-relative,White,Male,93976,0,40,1
