,age,workclass,fnlwgt,education-num,marital-status,relationship,race,sex,capital-gain,capital-loss,hours-per-week,income
21494,55,Private,193568,13,Widowed,Not-in-family,White,Male,0,0,40,1
21495,55,Private,193568,15,Widowed,Not-in-family,White,Male,0,0,40,1
21496,44,Private,765214,3,Separated,Not-in-family,White,Female,0,2559,40,0
21497,44,Private,765214,7,Separated,Not-in-family,White,Female,0,2559,40,0
21498,51,Private,186303,6,Married-civ-spouse,Husband,White,Male,0,0,40,0
21499,51,Private,186303,3,Married-civ-spouse,Husband,White,Male,0,0,40,0
21500,38,Private,29702,2,Married-civ-spouse,Husband,White,Female,0,0,45,0
21501,38,Private,29702,9,Married-civ-spouse,Husband,White,Male,0,0,45,0
21502,57,Local-gov,258641,1,Never-married,Not-in-family,White,Female,0,0,40,0
21503,57,Local-gov,258641,10,Never-married,Not-in-family,White,Female,0,0,40,0
21504,26,Local-gov,314798,9,Never-married,Not-in-family,White,Female,0,0,60,0
21505,26,Local-gov,314798,13,Never-married,Not-in-family,White,Female,0,0,60,0
21506,33,Private,94235,9,Never-married,Own-child,White,Female,0,0,42,0
21507,33,Private,94235,2,Never-married,Own-child,White,Female,0,0,42,0
21508,50,Local-gov,100480,4,Married-civ-spouse,Husband,White,Female,0,0,60,0
21509,50,Local-gov,100480,7,Married-civ-spouse,Husband,White,Male,0,0,60,0
21510,31,Private,19302,8,Married-civ-spouse,Husband,White,Female,0,0,40,0
21511,31,Private,19302,7,Married-civ-spouse,Husband,White,Male,0,0,40,0
21512,38,Private,137707,7,Married-civ-spouse,Wife,White,Male,0,0,40,0
21513,38,Private,137707,4,Married-civ-spouse,Wife,White,Female,0,0,40,0
21514,47,Federal-gov,655066,7,Married-civ-spouse,Husband,Other,Female,0,0,40,0
21515,47,Federal-gov,655066,5,Married-civ-spouse,Husband,Other,Male,0,0,40,0
21516,44,Private,262233,13,Divorced,Unmarried,White,Male,0,0,47,1
21517,32,Private,348460,13,Married-civ-spouse,Husband,White,Male,0,0,50,1
21518,32,Private,348460,16,Married-civ-spouse,Husband,White,Male,0,0,50,1
21519,57,Private,335605,2,Married-civ-spouse,Husband,White,Female,0,0,40,0
21520,57,Private,335605,2,Married-civ-spouse,Husband,White,Male,0,0,40,0
21521,41,Self-emp-not-inc,375574,6,Married-civ-spouse,Husband,White,Female,0,0,60,0
21522,41,Self-emp-not-inc,375574,4,Married-civ-spouse,Husband,White,Female,0,0,60,0
21523,50,Private,313321,16,Divorced,Not-in-family,White,Male,0,0,40,0
21524,45,Private,185385,8,Married-civ-spouse,Husband,White,Female,0,0,47,0
21525,45,Private,185385,7,Married-civ-spouse,Husband,White,Male,0,0,47,0
21526,39,Local-gov,187385,8,Married-civ-spouse,Wife,White,Female,0,0,28,0
21527,39,Local-gov,187385,13,Married-civ-spouse,Wife,White,Male,0,0,28,0
21528,38,Private,108293,6,Married-civ-spouse,Wife,White,Male,0,0,45,0
21529,38,Private,108293,9,Married-civ-spouse,Wife,White,Female,0,0,45,0
21530,48,Private,55237,9,Married-civ-spouse,Husband,White,Female,0,0,45,0
21531,48,Private,55237,6,Married-civ-spouse,Husband,White,Female,0,0,45,0
21532,27,Private,183511,10,Married-civ-spouse,Husband,White,Male,0,0,40,1
21533,35,Private,160120,10,Married-civ-spouse,Husband,Asian-Pac-Islander,Female,0,0,40,0
21534,35,Private,160120,4,Married-civ-spouse,Husband,Asian-Pac-Islander,Male,0,0,40,0
21535,37,Private,379522,8,Married-civ-spouse,Husband,White,Male,0,0,55,0
21536,37,Private,379522,6,Married-civ-spouse,Husband,White,Female,0,0,55,0
21537,36,Private,114366,13,Married-civ-spouse,Husband,White,Female,0,0,50,1
21538,36,Private,114366,14,Married-civ-spouse,Husband,White,Male,0,0,50,1
21539,49,Private,165152,8,Married-civ-spouse,Husband,White,Male,0,0,48,0
21540,49,Private,165152,3,Married-civ-spouse,Husband,White,Male,0,0,48,0
21541,40,Private,63503,6,Married-civ-spouse,Husband,White,Female,0,0,40,0
21542,40,Private,63503,8,Married-civ-spouse,Husband,White,Male,0,0,40,0
21543,57,Self-emp-inc,125000,6,Married-civ-spouse,Husband,White,Female,0,0,35,0
21544,57,Self-emp-inc,125000,9,Married-civ-spouse,Husband,White,Female,0,0,35,0
21545,61,Private,355645,11,Married-civ-spouse,Husband,Black,Female,0,0,40,0
21546,61,Private,355645,16,Married-civ-spouse,Husband,Black,Female,0,0,40,1
21547,47,Private,264052,3,Married-civ-spouse,Husband,White,Male,0,0,50,0
21548,47,Private,264052,7,Married-civ-spouse,Husband,White,Male,0,0,50,0
21549,57,Private,375502,8,Married-civ-spouse,Husband,White,Male,0,0,55,0
21550,57,Private,375502,8,Married-civ-spouse,Husband,White,Female,0,0,55,0
21551,30,Self-emp-not-inc,143078,6,Divorced,Not-in-family,White,Female,0,2444,55,0
21552,30,Self-emp-not-inc,143078,8,Divorced,Not-in-family,White,Female,0,2444,55,0
21553,44,Self-emp-not-inc,156687,14,Married-civ-spouse,Husband,Asian-Pac-Islander,Male,0,0,42,1
