,age,workclass,fnlwgt,education-num,marital-status,relationship,race,sex,capital-gain,capital-loss,hours-per-week,income
10409,38,Private,455379,1,Married-civ-spouse,Husband,White,Male,0,0,60,0
10410,38,Private,455379,7,Married-civ-spouse,Husband,White,Male,0,0,60,0
10411,54,Private,229272,13,Married-civ-spouse,Husband,Black,Male,0,0,40,0
10412,54,Private,229272,3,Married-civ-spouse,Husband,Black,Male,0,0,40,0
10413,78,Self-emp-inc,188044,3,Married-civ-spouse,Husband,White,Male,0,2392,40,0
10414,78,Self-emp-inc,188044,5,Married-civ-spouse,Husband,White,Male,0,2392,40,0
10415,65,Local-gov,200764,4,Divorced,Not-in-family,White,Female,0,0,16,0
10416,65,Local-gov,200764,5,Divorced,Not-in-family,White,Female,0,0,16,0
10417,38,Private,396595,1,Married-civ-spouse,Husband,Asian-Pac-Islander,Male,0,0,40,0
10418,38,Private,396595,8,Married-civ-spouse,Husband,Asian-Pac-Islander,Male,0,0,40,0
10419,48,State-gov,224752,1,Married-civ-spouse,Wife,White,Female,0,0,40,0
10420,48,State-gov,224752,5,Married-civ-spouse,Wife,White,Female,0,0,40,0
10421,41,Federal-gov,153132,9,Married-civ-spouse,Husband,White,Male,0,0,38,0
10422,41,Federal-gov,153132,7,Married-civ-spouse,Husband,White,Male,0,0,38,0
10423,40,Private,510072,8,Married-civ-spouse,Husband,White,Male,0,0,55,0
10424,40,Private,510072,7,Married-civ-spouse,Husband,White,Male,0,0,55,0
10425,59,Self-emp-not-inc,211678,16,Married-civ-spouse,Husband,White,Male,0,0,15,1
10426,46,Local-gov,124071,2,Divorced,Unmarried,White,Female,0,0,65,0
10427,46,Local-gov,124071,5,Divorced,Unmarried,White,Female,0,0,65,0
10428,45,Private,102559,4,Married-civ-spouse,Husband,White,Male,0,0,40,0
10429,45,Private,102559,1,Married-civ-spouse,Husband,White,Male,0,0,40,0
10430,32,Federal-gov,177855,13,Married-civ-spouse,Husband,White,Male,0,0,55,0
10431,32,Federal-gov,177855,14,Married-civ-spouse,Husband,White,Male,0,0,55,0
10432,42,Self-emp-not-inc,120539,6,Married-civ-spouse,Husband,White,Male,0,0,50,0
10433,42,Self-emp-not-inc,120539,7,Married-civ-spouse,Husband,White,Male,0,0,50,0
10434,44,Federal-gov,259307,8,Married-civ-spouse,Husband,White,Male,0,0,40,0
10435,44,Federal-gov,259307,6,Married-civ-spouse,Husband,White,Male,0,0,40,0
10436,59,Private,268840,2,Married-civ-spouse,Other-relative,White,Female,0,0,16,0
10437,59,Private,268840,5,Married-civ-spouse,Other-relative,White,Female,0,0,16,0
10438,35,Local-gov,191779,6,Married-civ-spouse,Husband,White,Male,0,0,40,0
