,age,workclass,fnlwgt,education-num,marital-status,relationship,race,sex,capital-gain,capital-loss,hours-per-week,income
79,33,Private,110978,13,Divorced,Other-relative,Other,Female,14990,0,40,1
80,46,Private,110978,10,Divorced,Other-relative,Other,Female,13935,0,40,1
81,33,Private,265266,13,Never-married,Husband,White,Male,0,1902,40,0
82,46,Private,265266,13,Never-married,Own-child,White,Male,0,1902,40,0
83,55,Private,227856,13,Married-civ-spouse,Husband,White,Male,3727,516,60,0
84,55,Private,43235,13,Married-civ-spouse,Husband,White,Male,3896,0,60,0
85,31,Private,101352,13,Never-married,Own-child,White,Male,11784,0,40,1
86,31,Private,101352,13,Never-married,Own-child,White,Female,14917,0,40,1
87,40,Private,160369,9,Married-civ-spouse,Husband,White,Male,0,943,45,0
88,40,Private,160369,11,Married-civ-spouse,Husband,White,Male,0,794,45,0
89,34,Private,209768,13,Married-civ-spouse,Husband,White,Male,3238,0,40,0
90,50,Private,209768,13,Married-civ-spouse,Husband,White,Male,3919,0,60,0
91,57,Private,142076,9,Married-civ-spouse,Unmarried,White,Male,4386,2311,40,0
92,57,State-gov,232475,9,Married-civ-spouse,Husband,White,Male,4386,0,40,0
93,23,Private,268525,13,Never-married,Own-child,White,Male,8780,0,50,1
94,23,Private,268525,13,Never-married,Not-in-family,White,Male,11182,0,50,1
95,47,State-gov,142076,13,Married-civ-spouse,Unmarried,White,Male,0,0,40,0
96,47,State-gov,199512,13,Divorced,Husband,Other,Male,0,0,40,0
97,33,Private,232475,9,Divorced,Husband,White,Male,1620,0,40,0
98,33,Private,232475,9,Married-civ-spouse,Husband,White,Male,4618,603,40,0
99,53,State-gov,43235,9,Married-civ-spouse,Wife,White,Female,5051,0,40,0
100,30,State-gov,281590,9,Married-civ-spouse,Wife,White,Female,4995,0,40,0
101,30,State-gov,185590,11,Never-married,Own-child,White,Female,10652,0,40,1
102,30,State-gov,185590,13,Never-married,Own-child,White,Female,8831,0,40,1
103,60,Self-emp-inc,105339,13,Married-civ-spouse,Husband,White,Male,3952,0,60,0
104,45,Self-emp-inc,105339,13,Married-civ-spouse,Husband,White,Male,3519,0,60,0
105,23,Private,36006,13,Married-civ-spouse,Husband,White,Male,0,0,45,0
106,45,Private,36006,9,Married-civ-spouse,Unmarried,White,Male,0,0,45,0
107,60,Private,43235,13,Married-civ-spouse,Husband,Other,Male,0,1604,50,0
108,60,Private,110978,13,Married-civ-spouse,Husband,Other,Male,0,0,50,0
109,50,Self-emp-inc,269095,13,Married-civ-spouse,Unmarried,White,Female,0,0,40,0
110,50,Private,269095,13,Divorced,Wife,White,Female,0,1426,40,0
111,30,Private,207937,15,Divorced,Unmarried,White,Male,6145,0,50,0
112,30,Private,207937,15,Divorced,Not-in-family,White,Male,2725,0,50,0
113,38,Private,455379,11,Married-civ-spouse,Husband,White,Male,0,171,60,0
114,52,Private,170562,14,Married-civ-spouse,Husband,White,Male,0,0,60,0
115,52,Private,170562,9,Married-civ-spouse,Husband,White,Male,0,2249,60,0
116,52,Private,170562,9,Married-civ-spouse,Husband,Asian-Pac-Islander,Male,0,0,45,0
117,40,Private,199512,11,Married-civ-spouse,Unmarried,Asian-Pac-Islander,Male,0,0,40,0
118,40,Private,72887,11,Never-married,Husband,Other,Male,0,0,40,0
