,age,workclass,fnlwgt,education-num,marital-status,relationship,race,sex,capital-gain,capital-loss,hours-per-week,income
14043,50,Private,106422,9,Married-civ-spouse,Wife,Black,Male,0,1485,37,0
14044,56,Private,116878,3,Married-civ-spouse,Husband,White,Female,0,0,40,0
14045,47,Local-gov,102628,10,Married-civ-spouse,Husband,White,Female,0,0,40,0
14046,60,Private,250552,9,Married-civ-spouse,Husband,White,Female,0,0,40,0
14047,36,Private,187983,13,Married-civ-spouse,Wife,White,Male,0,0,40,1
14048,40,Private,77313,13,Never-married,Not-in-family,White,Male,0,0,60,0
14049,24,Self-emp-not-inc,31606,13,Married-civ-spouse,Other-relative,White,Male,0,0,20,0
14050,39,State-gov,343646,13,Divorced,Not-in-family,White,Female,0,0,40,0
14051,40,Local-gov,183096,5,Married-civ-spouse,Wife,White,Male,0,0,40,0
14052,32,Private,176185,9,Never-married,Not-in-family,White,Female,4787,0,40,0
14053,40,Self-emp-not-inc,57233,11,Married-civ-spouse,Husband,White,Female,0,0,40,0
14054,34,Private,295922,10,Never-married,Not-in-family,White,Female,0,0,40,0
14055,40,Self-emp-not-inc,155106,5,Married-civ-spouse,Husband,White,Female,0,0,40,0
14056,52,Self-emp-not-inc,104501,10,Married-civ-spouse,Husband,White,Female,0,0,60,0
14057,42,State-gov,160369,9,Never-married,Not-in-family,White,Female,0,0,40,0
14058,52,Private,110977,16,Never-married,Not-in-family,White,Female,0,0,40,0
14059,34,Private,190385,14,Never-married,Not-in-family,White,Male,0,0,40,0
14060,27,Private,209085,11,Married-civ-spouse,Husband,White,Female,0,0,44,0
14061,56,Private,204816,9,Married-civ-spouse,Husband,White,Female,0,0,55,0
14062,35,Private,212195,9,Married-civ-spouse,Wife,White,Male,0,0,35,0
14063,50,Private,146325,9,Married-civ-spouse,Husband,White,Female,0,0,44,0
14064,40,Private,96509,10,Married-civ-spouse,Husband,Amer-Indian-Eskimo,Female,0,0,40,0
14065,36,Private,131192,9,Married-civ-spouse,Husband,White,Female,0,0,40,0
14066,50,Private,339954,9,Married-civ-spouse,Husband,White,Female,0,0,40,0
14067,29,Federal-gov,142712,10,Married-civ-spouse,Husband,White,Female,0,0,40,0
14068,46,Private,193047,9,Married-civ-spouse,Husband,White,Female,0,0,40,0
14069,30,Private,157778,10,Married-civ-spouse,Husband,White,Female,0,0,25,0
14070,51,Private,205100,10,Divorced,Not-in-family,White,Male,0,0,45,0
14071,30,Private,236543,5,Married-civ-spouse,Husband,White,Female,0,0,32,0
14072,37,Private,178100,14,Never-married,Not-in-family,White,Male,0,0,40,0
14073,30,Private,213722,15,Never-married,Not-in-family,White,Female,0,0,50,0
