,age,workclass,fnlwgt,education-num,marital-status,relationship,race,sex,capital-gain,capital-loss,hours-per-week,income
25323,42,Private,124692,13,Never-married,Husband,White,Male,0,0,40,0
25324,42,Private,124692,14,Married-civ-spouse,Other-relative,White,Male,179,0,40,0
25325,36,Self-emp-inc,146103,13,Married-civ-spouse,Husband,White,Female,0,0,45,0
25326,57,Self-emp-inc,146103,13,Married-civ-spouse,Husband,White,Female,0,0,9,0
25327,50,Private,106422,9,Married-civ-spouse,Wife,Black,Male,0,2039,37,0
25328,31,Private,106422,9,Married-civ-spouse,Wife,Black,Female,0,1485,37,0
25329,56,Private,116878,3,Married-civ-spouse,Not-in-family,White,Male,0,0,22,0
25330,56,Self-emp-inc,116878,3,Married-civ-spouse,Husband,Other,Male,0,0,40,0
25331,53,State-gov,231472,9,Married-civ-spouse,Husband,White,Male,0,0,21,0
25332,38,State-gov,231472,10,Married-civ-spouse,Husband,White,Male,0,0,40,0
25333,24,Private,100669,10,Never-married,Own-child,White,Male,45426,0,30,1
25334,24,Private,410114,10,Never-married,Own-child,Asian-Pac-Islander,Male,31915,0,30,1
25335,47,Local-gov,102628,10,Married-civ-spouse,Husband,Amer-Indian-Eskimo,Male,0,736,40,0
25336,47,Local-gov,102628,9,Married-civ-spouse,Husband,Black,Male,0,0,40,0
25337,42,Federal-gov,108183,3,Married-civ-spouse,Husband,Asian-Pac-Islander,Male,0,3304,40,0
25338,42,Federal-gov,108183,1,Married-civ-spouse,Husband,Asian-Pac-Islander,Male,0,3418,40,0
25339,53,Private,295896,15,Married-civ-spouse,Own-child,White,Male,0,0,45,1
25340,53,Private,295896,7,Married-civ-spouse,Husband,White,Male,32640,0,45,1
25341,60,Self-emp-not-inc,282660,4,Married-civ-spouse,Husband,White,Female,97677,0,40,1
25342,60,Self-emp-not-inc,282660,4,Married-civ-spouse,Husband,White,Female,20172,0,40,1
25343,59,Federal-gov,170230,14,Never-married,Not-in-family,White,Female,1128,0,60,0
25344,42,Federal-gov,170230,14,Never-married,Not-in-family,White,Female,4522,0,26,0
25345,63,Self-emp-not-inc,167501,10,Married-spouse-absent,Wife,White,Female,2023,0,10,0
25346,63,Self-emp-not-inc,167501,7,Married-civ-spouse,Wife,White,Female,736,0,10,0
25347,62,Private,122246,10,Never-married,Not-in-family,White,Female,1830,0,39,0
25348,62,Private,122246,10,Never-married,Not-in-family,White,Female,220,1291,39,0
25349,75,State-gov,160402,13,Married-civ-spouse,Husband,White,Male,0,0,98,0
25350,37,State-gov,160402,11,Married-civ-spouse,Husband,Amer-Indian-Eskimo,Male,0,0,55,0
25351,60,Private,250552,9,Married-civ-spouse,Unmarried,White,Male,0,1024,40,0
25352,60,Federal-gov,203637,9,Married-civ-spouse,Husband,White,Male,0,0,40,0
25353,38,Federal-gov,238342,13,Married-civ-spouse,Husband,White,Male,2695,0,45,0
