,age,workclass,fnlwgt,education-num,marital-status,relationship,race,sex,capital-gain,capital-loss,hours-per-week,income
25323,42,Private,124692,14,Married-civ-spouse,Husband,Other,Male,0,0,76,0
25324,42,Private,124692,10,Married-civ-spouse,Husband,White,Female,0,0,40,0
25325,38,Self-emp-inc,146103,13,Divorced,Husband,White,Male,0,0,45,0
25326,57,Self-emp-inc,94652,13,Married-civ-spouse,Husband,White,Male,0,0,24,0
25327,50,Private,28145,9,Divorced,Wife,Black,Female,0,1485,37,0
25328,35,Private,106422,9,Never-married,Wife,Black,Female,0,1485,37,0
25329,56,Local-gov,116878,3,Married-civ-spouse,Husband,Black,Male,0,0,40,0
25330,56,Without-pay,116878,3,Married-civ-spouse,Husband,Other,Male,0,0,40,0
25331,53,Federal-gov,231472,1,Married-civ-spouse,Husband,White,Male,0,0,40,0
25332,53,State-gov,231472,1,Married-civ-spouse,Husband,White,Male,0,0,40,0
25333,24,Private,100669,10,Never-married,Own-child,Asian-Pac-Islander,Male,48241,0,3,1
25334,24,Private,100669,10,Never-married,Own-child,Asian-Pac-Islander,Male,9056,3578,30,1
25335,47,Local-gov,102628,10,Married-civ-spouse,Husband,White,Male,0,0,5,0
25336,47,Local-gov,152414,10,Married-civ-spouse,Husband,White,Male,0,0,5,0
25337,42,Federal-gov,108183,14,Widowed,Husband,Asian-Pac-Islander,Male,0,33,40,0
25338,42,Federal-gov,108183,5,Married-civ-spouse,Husband,Asian-Pac-Islander,Male,0,1902,23,0
25339,53,Private,224203,7,Married-civ-spouse,Husband,White,Male,36659,0,45,1
25340,53,Private,295896,7,Married-civ-spouse,Husband,White,Male,40019,0,45,1
25341,60,Self-emp-not-inc,282660,4,Married-civ-spouse,Husband,White,Male,49323,1189,40,1
25342,60,Self-emp-not-inc,282660,4,Married-civ-spouse,Husband,White,Male,14809,0,40,1
25343,42,Federal-gov,170230,14,Never-married,Not-in-family,White,Male,3335,0,60,0
25344,42,Federal-gov,170230,14,Never-married,Not-in-family,White,Female,6527,0,60,0
25345,63,Self-emp-not-inc,167501,10,Separated,Wife,White,Female,1230,0,10,0
25346,63,Self-emp-not-inc,167501,16,Married-civ-spouse,Wife,White,Female,4087,0,10,0
25347,62,Private,122246,10,Never-married,Not-in-family,White,Female,785,0,39,0
25348,62,Private,122246,10,Never-married,Not-in-family,White,Female,4325,0,62,0
