,age,workclass,fnlwgt,education-num,marital-status,relationship,race,sex,capital-gain,capital-loss,hours-per-week,income
18992,42,Private,124692,14,Married-civ-spouse,Other-relative,White,Male,0,0,27,0
18993,57,Local-gov,268234,13,Married-civ-spouse,Husband,White,Male,0,0,45,0
18994,50,Private,408531,9,Married-AF-spouse,Wife,Black,Female,0,1485,37,0
18995,52,Private,116878,3,Married-civ-spouse,Husband,White,Female,0,0,40,0
18996,53,State-gov,231472,10,Married-spouse-absent,Husband,White,Male,0,0,40,0
18997,24,Private,100669,10,Never-married,Own-child,Other,Male,72991,0,30,1
18998,47,Local-gov,102628,4,Married-civ-spouse,Husband,White,Female,0,0,40,0
18999,42,Federal-gov,108183,14,Married-civ-spouse,Unmarried,Asian-Pac-Islander,Male,0,567,40,0
19000,53,Private,295896,15,Married-civ-spouse,Husband,White,Male,0,0,45,1
19001,60,Self-emp-not-inc,282660,4,Married-civ-spouse,Husband,White,Male,0,3357,86,0
19002,42,Federal-gov,170230,14,Never-married,Not-in-family,White,Female,3676,0,60,0
19003,63,Self-emp-not-inc,167501,10,Married-civ-spouse,Wife,White,Female,922,0,10,0
19004,62,Private,122246,10,Never-married,Not-in-family,White,Female,6101,50,39,0
19005,37,State-gov,160402,13,Married-civ-spouse,Own-child,White,Male,0,0,44,0
19006,60,Self-emp-not-inc,250552,9,Married-civ-spouse,Husband,Amer-Indian-Eskimo,Male,0,0,40,0
19007,38,Federal-gov,238342,13,Married-civ-spouse,Husband,Black,Male,3899,0,42,0
19008,36,Private,187983,14,Married-civ-spouse,Wife,White,Female,61050,0,40,1
19009,42,Federal-gov,113597,10,Married-civ-spouse,Not-in-family,White,Male,0,0,55,0
19010,40,Self-emp-not-inc,77313,13,Never-married,Not-in-family,White,Female,0,0,21,0
19011,53,State-gov,169112,13,Married-civ-spouse,Husband,White,Male,0,590,40,0
19012,39,Private,216129,12,Divorced,Other-relative,Black,Female,46517,0,35,1
19013,49,Self-emp-not-inc,31606,13,Married-civ-spouse,Other-relative,White,Female,0,0,52,0
19014,40,Private,111483,13,Separated,Husband,White,Male,1787,0,40,0
19015,62,Private,86912,15,Married-civ-spouse,Husband,White,Male,0,0,22,0
19016,50,Federal-gov,169078,9,Married-civ-spouse,Husband,White,Male,4386,309,72,0
19017,39,State-gov,343646,13,Divorced,Not-in-family,White,Male,0,1051,32,0
19018,40,Local-gov,183096,5,Widowed,Wife,White,Female,0,0,51,0
19019,21,Private,84610,2,Married-civ-spouse,Husband,White,Male,0,1902,60,0
19020,17,Private,176185,9,Never-married,Not-in-family,White,Male,4787,0,40,0
19021,17,Private,32763,6,Never-married,Own-child,White,Male,69297,0,15,1
19022,28,Private,30771,10,Never-married,Unmarried,Black,Female,54498,0,40,1
