,age,workclass,fnlwgt,education-num,marital-status,relationship,race,sex,capital-gain,capital-loss,hours-per-week,income
67654,62,Private,110586,10,Widowed,Unmarried,Other,Female,94183,0,40,1
67655,62,Private,110586,10,Widowed,Unmarried,White,Female,53488,0,40,1
67656,29,Private,128604,9,Married-civ-spouse,Husband,Black,Male,43579,0,40,1
67657,29,Private,128604,9,Married-civ-spouse,Husband,Asian-Pac-Islander,Male,25259,0,40,1
67658,24,Local-gov,38707,13,Never-married,Own-child,White,Male,19812,0,20,1
67659,24,Local-gov,38707,13,Never-married,Own-child,White,Male,32699,0,20,1
67660,65,Local-gov,146454,14,Married-civ-spouse,Husband,White,Male,0,1868,4,1
67661,65,Local-gov,146454,14,Married-civ-spouse,Unmarried,White,Male,0,2619,4,1
67662,38,Without-pay,122952,9,Separated,Unmarried,White,Female,8501,0,35,1
67663,38,Private,122952,9,Separated,Unmarried,White,Female,9255,1254,35,1
67664,74,Private,275095,5,Widowed,Unmarried,White,Female,80605,0,50,1
67665,47,Private,275095,5,Widowed,Unmarried,White,Female,40911,0,50,1
67666,23,Private,157951,10,Never-married,Not-in-family,White,Female,72515,0,50,1
67667,23,Private,157951,16,Never-married,Not-in-family,White,Female,81398,0,50,1
67668,38,Federal-gov,89559,10,Separated,Unmarried,White,Female,25898,0,40,1
67669,38,Private,89559,10,Separated,Unmarried,White,Female,13375,0,40,1
67670,38,Private,217926,9,Married-civ-spouse,Husband,Black,Male,64096,0,56,1
67671,38,Private,217926,9,Married-civ-spouse,Husband,Black,Male,74162,0,40,1
67672,28,Private,137898,9,Divorced,Not-in-family,White,Female,94720,0,35,1
67673,28,Private,137898,9,Divorced,Not-in-family,White,Female,98300,0,35,1
67674,61,Private,136109,7,Widowed,Not-in-family,White,Female,28370,0,45,1
67675,61,Private,136109,7,Separated,Not-in-family,White,Female,32440,0,45,1
67676,40,Self-emp-inc,55294,13,Married-civ-spouse,Husband,White,Male,0,0,27,0
67677,40,State-gov,55294,12,Married-civ-spouse,Not-in-family,White,Male,0,0,40,0
67678,51,Private,154342,14,Married-civ-spouse,Husband,White,Male,3537,0,78,0
67679,51,Private,154342,14,Married-civ-spouse,Husband,White,Male,3719,0,45,0
67680,24,Self-emp-inc,202959,11,Never-married,Not-in-family,White,Female,97153,0,40,1
67681,24,Private,202959,11,Married-AF-spouse,Not-in-family,White,Female,83870,0,40,1
67682,44,State-gov,235786,10,Married-civ-spouse,Husband,White,Male,4629,0,45,0
67683,67,Private,235786,10,Married-civ-spouse,Husband,White,Male,2708,0,45,0
67684,20,Private,258430,10,Never-married,Own-child,White,Female,73211,0,19,1
67685,20,Private,258430,10,Never-married,Own-child,White,Male,25223,0,19,1
67686,80,Private,284303,10,Never-married,Wife,White,Female,7688,0,40,0
67687,40,Private,284303,10,Married-civ-spouse,Wife,White,Female,4703,0,40,0
67688,44,Private,146908,9,Married-civ-spouse,Husband,White,Male,69645,0,40,1
