,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
12206,46,admin.,single,tertiary,no,849,yes,no,unknown,5,jun,508,5,-1,0,unknown,0
12207,71,retired,married,secondary,no,2850,no,no,cellular,17,feb,145,24,-1,0,unknown,0
12208,28,technician,single,tertiary,no,15533,no,no,cellular,2,jun,10,2,113,21,success,0
12209,36,housemaid,single,secondary,no,1015,yes,no,cellular,18,may,182,1,347,2,success,0
12210,67,blue-collar,married,primary,no,23491,no,no,cellular,11,jan,499,2,91,3,failure,0
12211,33,blue-collar,married,primary,no,-191,yes,yes,unknown,9,mar,1290,4,-1,0,unknown,0
12212,38,unemployed,married,secondary,no,36061,yes,yes,cellular,30,jan,1129,1,-1,0,unknown,1
12213,64,management,married,tertiary,no,3951,no,no,unknown,28,jan,134,1,91,1,other,0
12214,25,student,single,secondary,no,2975,no,no,cellular,2,sep,207,2,-1,0,success,0
12215,33,management,single,unknown,no,6513,yes,no,cellular,11,jan,170,1,343,1,other,0
12216,18,technician,married,tertiary,no,876,no,no,cellular,27,oct,98,3,541,3,success,0
12217,77,retired,married,secondary,yes,820,no,no,telephone,21,oct,330,2,181,4,failure,0
12218,28,management,single,secondary,no,66498,no,no,cellular,15,may,485,1,88,1,other,0
12219,54,management,married,tertiary,no,-449,yes,yes,cellular,14,may,691,1,-1,0,unknown,0
12220,31,management,married,tertiary,no,325,yes,no,unknown,18,jul,1139,2,-1,22,unknown,0
12221,21,student,single,primary,no,8278,no,yes,cellular,29,sep,445,1,-1,0,unknown,0
12222,25,student,single,unknown,no,722,yes,no,telephone,21,apr,623,2,-1,0,unknown,0
12223,33,blue-collar,single,primary,no,12198,yes,yes,cellular,18,may,178,1,-1,0,unknown,0
12224,56,management,married,tertiary,no,12356,yes,no,cellular,26,may,410,23,22,5,other,0
12225,36,blue-collar,married,secondary,no,324,yes,yes,unknown,16,jul,799,1,-1,0,unknown,0
12226,46,blue-collar,married,secondary,no,668,yes,no,telephone,15,may,1263,2,-1,7,unknown,0
12227,38,services,married,secondary,no,24848,yes,no,cellular,30,apr,146,1,176,1,success,0
12228,24,admin.,single,secondary,no,1295,no,no,cellular,21,aug,280,1,-1,0,unknown,0
12229,27,student,single,secondary,no,213,no,no,cellular,27,jul,378,1,-1,0,unknown,0
12230,57,entrepreneur,divorced,secondary,no,-37,no,no,cellular,5,may,877,1,-1,0,unknown,1
12231,35,management,married,tertiary,no,1906,yes,no,cellular,16,apr,1681,1,148,5,other,1
12232,34,admin.,single,secondary,no,2729,yes,no,cellular,18,nov,115,1,-1,0,unknown,0
12233,29,admin.,divorced,secondary,yes,6675,no,yes,cellular,9,jul,426,3,-1,0,unknown,0
12234,41,management,divorced,tertiary,no,74960,yes,yes,cellular,26,mar,117,2,-1,0,unknown,0
12235,47,student,single,secondary,no,507,yes,no,cellular,22,jul,560,2,-1,0,unknown,0
12236,26,blue-collar,single,secondary,no,5005,no,yes,telephone,9,apr,117,1,-1,0,unknown,0
12237,30,technician,single,unknown,no,2544,no,no,cellular,27,apr,108,2,-1,0,unknown,0
12238,60,blue-collar,married,primary,no,5,no,no,unknown,29,oct,401,17,-1,0,unknown,0
12239,24,retired,married,primary,no,656,yes,no,unknown,16,may,697,1,-1,0,unknown,0
12240,30,blue-collar,married,secondary,no,61,yes,yes,cellular,5,may,525,3,-1,0,unknown,0
12241,18,student,single,unknown,no,56150,no,no,cellular,25,aug,130,2,-1,0,unknown,0
12242,60,management,married,tertiary,no,5990,yes,no,cellular,6,may,500,3,366,0,unknown,0
12243,34,services,single,secondary,no,1157,yes,no,unknown,21,may,3183,2,-1,0,unknown,1
12244,40,admin.,single,secondary,no,2854,yes,no,cellular,18,nov,354,36,782,1,failure,1
12245,53,technician,married,tertiary,no,16214,no,no,cellular,17,nov,890,1,-1,0,unknown,0
12246,42,technician,married,secondary,no,10204,yes,no,cellular,18,jan,91,1,67,9,success,0
12247,47,management,divorced,tertiary,no,12026,yes,no,unknown,3,oct,251,1,-1,0,unknown,0
12248,36,unknown,divorced,secondary,no,56661,no,no,cellular,14,aug,186,1,-1,0,unknown,0
12249,60,retired,married,primary,no,324,no,no,cellular,11,aug,133,1,308,6,other,0
12250,57,unemployed,married,secondary,no,3754,no,no,unknown,5,feb,1063,2,-1,0,unknown,0
12251,30,technician,married,secondary,no,3929,yes,no,cellular,20,nov,566,1,-1,0,unknown,0
12252,44,management,married,tertiary,no,1791,no,no,cellular,11,feb,71,1,190,40,failure,0
12253,57,admin.,married,secondary,no,93,no,no,unknown,9,jun,1052,2,-1,0,unknown,0
12254,50,technician,divorced,unknown,no,2794,no,no,cellular,12,aug,437,2,-1,0,unknown,0
12255,39,blue-collar,married,secondary,no,1307,yes,no,telephone,31,oct,158,1,-1,6,other,0
12256,33,blue-collar,single,primary,no,557,yes,no,cellular,17,apr,1971,2,460,2,success,0
12257,37,management,married,tertiary,no,65204,no,no,cellular,27,aug,1033,4,-1,0,unknown,0
12258,40,technician,divorced,secondary,no,311,no,no,cellular,6,aug,325,2,-1,0,unknown,0
12259,29,services,single,unknown,no,196,yes,no,cellular,30,jan,726,29,-1,0,unknown,0
12260,64,management,married,tertiary,no,4688,yes,no,cellular,21,jan,200,1,-1,0,unknown,0
12261,41,entrepreneur,married,secondary,no,8491,yes,no,unknown,18,nov,486,1,-1,0,unknown,0
12262,28,blue-collar,single,secondary,no,-46,yes,no,cellular,2,mar,91,1,89,6,failure,0
12263,38,entrepreneur,single,secondary,no,2543,no,no,unknown,11,nov,357,3,93,5,unknown,0
12264,26,blue-collar,married,secondary,no,311,yes,no,cellular,7,mar,798,2,-1,0,unknown,0
12265,46,management,married,tertiary,no,189,yes,no,cellular,17,nov,1975,1,-1,0,success,1
12266,42,management,married,secondary,no,1519,no,no,cellular,19,oct,69,1,92,1,success,0
12267,33,management,single,tertiary,no,44681,no,no,cellular,12,aug,156,1,-1,0,unknown,0
12268,33,management,divorced,tertiary,no,2885,yes,no,cellular,5,aug,1051,25,-1,0,unknown,0
12269,24,management,married,secondary,no,544,no,no,unknown,12,jun,95,7,357,2,failure,0
12270,41,management,married,secondary,no,456,yes,no,unknown,1,aug,734,4,-1,0,unknown,0
12271,77,technician,married,secondary,no,683,no,no,unknown,20,jun,882,2,-1,0,unknown,1
12272,38,technician,married,secondary,no,1919,no,no,cellular,4,aug,377,1,-1,0,unknown,0
12273,54,technician,married,secondary,no,2102,yes,no,cellular,5,apr,547,22,331,2,failure,0
12274,66,self-employed,married,tertiary,no,9196,no,no,telephone,12,jan,411,36,-1,0,unknown,0
12275,33,management,married,secondary,no,336,no,no,cellular,15,apr,179,3,272,0,unknown,0
12276,30,admin.,single,primary,no,255,no,no,telephone,27,jan,143,1,-1,0,unknown,0
12277,58,management,married,tertiary,no,537,yes,no,cellular,7,aug,216,1,-1,0,unknown,0
12278,37,management,single,tertiary,no,455,yes,no,cellular,13,aug,408,6,-1,0,unknown,0
12279,26,management,single,tertiary,no,222,no,no,cellular,8,apr,192,1,334,1,failure,0
12280,37,technician,married,tertiary,no,512,no,no,cellular,9,jul,1409,4,-1,0,unknown,0
12281,29,management,married,tertiary,no,8103,no,no,cellular,28,aug,473,3,-1,10,unknown,0
12282,45,management,divorced,secondary,no,46325,yes,no,unknown,4,jun,633,1,-1,0,unknown,0
12283,58,management,married,tertiary,no,0,no,no,cellular,28,sep,358,2,-1,0,other,0
12284,65,retired,married,primary,no,31589,no,no,cellular,22,oct,229,1,-1,0,unknown,0
12285,41,technician,single,tertiary,no,1646,yes,no,cellular,4,feb,102,1,184,6,success,0
12286,45,management,single,tertiary,no,483,no,no,cellular,23,jun,95,10,265,11,other,0
12287,33,management,single,tertiary,no,0,yes,no,unknown,14,may,585,1,-1,0,unknown,0
12288,23,services,divorced,secondary,no,870,no,no,cellular,6,jul,316,29,-1,0,unknown,0
12289,66,retired,divorced,primary,no,482,yes,no,cellular,2,jul,260,2,-1,0,unknown,0
12290,38,retired,single,tertiary,no,1704,no,no,cellular,1,sep,522,1,-1,0,unknown,1
12291,79,management,divorced,tertiary,no,1297,no,yes,cellular,11,aug,716,3,-1,0,unknown,0
12292,63,technician,married,secondary,no,48166,yes,no,telephone,14,aug,276,2,-1,0,unknown,0
12293,45,technician,married,secondary,no,144,yes,yes,cellular,14,jul,1030,4,-1,0,unknown,1
12294,35,services,single,secondary,no,544,yes,no,cellular,7,may,1628,1,435,2,failure,1
12295,69,unemployed,married,tertiary,no,247,no,no,cellular,22,apr,138,2,-1,0,unknown,0
12296,60,retired,married,tertiary,no,2557,yes,yes,telephone,2,feb,415,1,-1,0,unknown,0
12297,40,management,married,tertiary,no,1598,yes,yes,cellular,6,may,328,8,344,3,failure,0
12298,69,retired,married,unknown,yes,426,no,no,telephone,10,sep,41,2,185,2,success,0
12299,52,admin.,divorced,unknown,no,-2322,no,no,cellular,24,feb,242,2,-1,0,unknown,0
12300,83,management,single,tertiary,no,551,no,no,cellular,29,oct,124,20,-1,0,unknown,0
12301,34,unemployed,single,secondary,no,847,no,no,cellular,2,jun,684,2,-1,26,unknown,1
12302,42,services,married,secondary,no,54648,yes,no,cellular,13,may,1642,4,-1,0,unknown,1
12303,78,retired,married,unknown,no,4807,no,no,telephone,22,aug,1002,4,-1,0,unknown,0
