,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
8135,49,admin.,married,secondary,no,10250,yes,no,telephone,24,oct,97,7,-1,0,other,0
8136,47,entrepreneur,married,tertiary,no,0,no,yes,cellular,16,feb,261,2,518,0,unknown,0
8137,67,housemaid,married,secondary,no,5275,no,no,cellular,13,aug,568,4,-1,0,unknown,0
8138,33,blue-collar,single,tertiary,no,700,no,no,unknown,9,feb,126,1,88,1,unknown,0
8139,53,retired,married,primary,no,243,no,no,cellular,26,jul,275,1,180,2,unknown,0
8140,46,services,married,secondary,no,74,yes,no,unknown,15,may,1597,4,-1,0,unknown,0
8141,30,management,married,tertiary,no,4328,no,yes,cellular,30,aug,262,3,189,11,other,0
8142,34,management,divorced,tertiary,no,-1407,no,no,cellular,10,feb,314,2,156,4,other,0
8143,90,management,single,tertiary,no,104,yes,no,cellular,6,may,606,3,-1,0,unknown,0
8144,68,admin.,married,secondary,no,8304,no,no,cellular,1,jun,201,1,-1,0,unknown,0
8145,31,management,single,secondary,no,202,yes,no,cellular,8,jul,167,1,163,1,failure,0
8146,35,blue-collar,single,unknown,no,484,no,no,cellular,25,jul,344,1,87,0,failure,0
8147,36,management,married,tertiary,no,35046,yes,no,cellular,1,sep,212,1,-1,0,unknown,0
8148,36,self-employed,married,tertiary,no,1690,no,no,cellular,3,nov,217,1,334,2,failure,0
8149,54,admin.,married,secondary,no,34948,no,no,unknown,3,jul,409,2,-1,0,unknown,0
8150,43,blue-collar,single,primary,no,58225,no,yes,cellular,9,jul,1242,1,-1,0,unknown,0
8151,33,entrepreneur,single,secondary,no,498,no,no,cellular,12,aug,338,2,104,1,unknown,0
8152,23,self-employed,single,tertiary,no,1129,no,no,unknown,28,may,806,1,-1,0,unknown,0
8153,54,technician,married,secondary,no,2102,yes,no,cellular,5,apr,547,1,278,2,failure,0
8154,59,entrepreneur,married,secondary,yes,496,no,no,cellular,22,oct,83,3,183,1,success,0
8155,32,technician,single,secondary,yes,116,no,no,cellular,20,aug,718,2,-1,0,unknown,0
8156,26,blue-collar,married,secondary,no,-11,yes,yes,cellular,17,jul,396,17,-1,0,unknown,0
8157,35,management,divorced,tertiary,no,704,no,no,cellular,21,dec,164,1,-1,0,unknown,0
8158,25,blue-collar,single,secondary,no,509,no,no,cellular,5,mar,143,1,-1,0,unknown,0
8159,80,technician,single,tertiary,no,11862,no,no,cellular,13,feb,119,22,-1,0,unknown,0
8160,73,retired,married,primary,no,542,no,yes,cellular,12,oct,355,1,180,5,failure,0
8161,60,retired,married,secondary,no,597,no,no,cellular,15,jul,470,1,-1,0,unknown,0
8162,42,management,divorced,tertiary,no,4,yes,no,cellular,8,may,88,2,295,1,success,0
8163,78,retired,divorced,secondary,no,3417,no,no,telephone,12,may,309,1,181,1,failure,0
8164,31,management,single,tertiary,no,3384,no,no,unknown,16,sep,143,1,104,2,success,0
8165,48,blue-collar,married,secondary,no,480,yes,no,unknown,15,dec,830,1,352,2,failure,0
8166,70,housemaid,single,primary,no,1311,no,yes,cellular,11,aug,651,1,-1,0,unknown,0
8167,28,admin.,married,secondary,no,127,no,no,unknown,16,sep,1334,2,-1,0,unknown,0
8168,35,management,single,tertiary,no,62,yes,no,cellular,20,apr,213,3,197,0,unknown,0
8169,26,blue-collar,single,secondary,no,5005,no,yes,cellular,3,apr,117,1,301,17,unknown,0
8170,40,management,married,secondary,no,406,yes,no,telephone,12,jun,577,13,-1,0,unknown,0
8171,31,blue-collar,divorced,secondary,no,1406,yes,yes,unknown,13,apr,1091,2,-1,0,unknown,0
8172,58,unknown,married,unknown,no,1547,no,yes,telephone,5,aug,251,4,-1,0,unknown,0
8173,31,self-employed,single,primary,no,1815,yes,no,telephone,9,feb,1541,1,-1,0,unknown,0
8174,29,blue-collar,single,tertiary,no,30344,no,no,cellular,4,dec,271,2,-1,0,unknown,0
8175,30,management,single,tertiary,no,147,no,no,cellular,1,jun,730,1,-1,0,unknown,1
8176,38,entrepreneur,married,secondary,no,593,yes,yes,cellular,24,jul,534,24,-1,0,unknown,0
8177,33,self-employed,married,tertiary,no,1278,no,no,cellular,6,oct,349,1,-1,0,unknown,0
8178,28,management,single,tertiary,no,730,yes,no,telephone,3,mar,631,1,280,0,unknown,0
8179,37,technician,single,secondary,no,29,yes,no,unknown,3,jul,1205,2,-1,0,unknown,1
8180,34,blue-collar,married,secondary,no,320,yes,no,cellular,22,nov,413,1,323,3,success,0
8181,34,services,married,secondary,no,28436,no,no,cellular,30,apr,103,1,-1,0,unknown,0
8182,60,management,divorced,secondary,no,0,yes,no,cellular,5,aug,603,7,-1,0,unknown,0
8183,48,retired,married,primary,no,3644,yes,yes,telephone,31,jul,562,9,-1,0,unknown,0
8184,31,management,single,tertiary,no,3384,no,no,cellular,22,nov,247,3,187,3,unknown,0
8185,76,retired,married,primary,no,1488,no,no,cellular,13,nov,122,1,92,14,success,0
8186,36,management,single,tertiary,no,490,no,yes,cellular,18,aug,207,8,98,1,failure,0
8187,47,admin.,married,secondary,no,290,no,no,cellular,22,jul,25,2,-1,0,unknown,0
8188,32,self-employed,married,tertiary,no,658,yes,no,cellular,27,mar,1182,1,-1,0,unknown,0
8189,80,technician,married,tertiary,no,757,no,no,cellular,10,feb,154,1,-1,0,other,0
8190,35,entrepreneur,married,secondary,no,313,yes,no,cellular,15,jul,1628,1,-1,0,unknown,1
8191,50,technician,married,secondary,no,1811,no,no,cellular,8,jun,541,4,-1,0,unknown,1
8192,60,technician,married,secondary,no,259,no,yes,cellular,6,jul,396,1,386,2,failure,0
8193,62,self-employed,divorced,tertiary,no,6,yes,no,cellular,13,oct,216,1,261,4,failure,0
