,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
8135,49,admin.,married,secondary,no,10250,yes,no,telephone,24,feb,97,1,-1,0,unknown,0
8136,47,entrepreneur,married,tertiary,no,0,no,no,cellular,16,jan,261,1,-1,0,unknown,0
8137,67,housemaid,divorced,secondary,no,5275,no,no,cellular,13,aug,92,10,-1,0,unknown,0
8138,33,blue-collar,single,tertiary,no,700,no,yes,cellular,9,feb,126,1,180,1,success,0
8139,82,retired,married,primary,no,40431,no,no,cellular,26,jul,32,1,180,2,success,0
8140,46,services,married,secondary,no,74,yes,no,unknown,31,may,1258,4,-1,0,unknown,1
8141,30,management,divorced,tertiary,no,4328,yes,no,cellular,30,apr,262,3,189,11,other,0
8142,34,blue-collar,divorced,tertiary,no,2885,no,no,cellular,10,feb,314,2,357,4,other,0
8143,38,management,single,tertiary,no,104,yes,yes,cellular,6,may,606,3,-1,0,unknown,0
8144,55,admin.,married,secondary,no,8304,no,no,cellular,1,may,209,1,-1,0,unknown,0
8145,31,management,single,secondary,no,202,yes,no,cellular,31,nov,167,1,62,1,failure,0
8146,35,blue-collar,single,unknown,no,8667,no,no,cellular,14,jul,344,1,87,3,failure,0
8147,36,entrepreneur,married,tertiary,no,1113,no,no,unknown,1,sep,212,1,-1,0,unknown,0
8148,36,self-employed,married,tertiary,no,506,no,no,cellular,29,may,217,1,70,2,failure,0
8149,54,admin.,married,secondary,no,12748,no,no,cellular,11,jul,409,2,-1,0,unknown,0
8150,43,blue-collar,single,primary,no,0,no,no,unknown,9,nov,1242,1,-1,0,unknown,0
8151,33,blue-collar,single,unknown,no,498,no,no,cellular,12,aug,338,2,104,1,failure,0
8152,23,entrepreneur,single,tertiary,no,1129,no,no,unknown,28,may,806,1,-1,0,unknown,0
8153,54,technician,married,secondary,no,2102,yes,no,cellular,5,aug,547,1,246,2,failure,0
8154,59,entrepreneur,married,secondary,no,496,no,no,cellular,22,oct,19,3,183,1,success,0
8155,32,technician,single,primary,no,26845,yes,no,cellular,20,aug,718,2,-1,0,unknown,0
8156,26,blue-collar,married,primary,no,-11,yes,yes,cellular,17,jul,466,3,-1,0,unknown,0
8157,35,management,single,tertiary,no,704,no,no,cellular,21,apr,164,1,112,0,unknown,0
8158,25,retired,single,secondary,no,509,no,no,cellular,5,feb,418,1,-1,0,unknown,0
8159,26,technician,single,tertiary,no,-1145,no,no,cellular,13,feb,119,1,-1,0,unknown,0
8160,24,retired,married,primary,no,542,yes,no,cellular,26,oct,355,1,180,5,failure,0
8161,60,housemaid,married,secondary,no,31787,no,no,cellular,15,jul,981,1,-1,0,unknown,0
8162,42,management,married,tertiary,no,4,yes,no,cellular,8,may,83,2,295,1,success,0
8163,78,retired,married,secondary,no,3417,no,no,cellular,12,may,309,1,181,1,other,0
8164,31,management,single,tertiary,no,3384,no,no,cellular,16,sep,153,1,104,2,other,0
8165,48,unknown,married,secondary,no,480,yes,no,telephone,15,may,830,1,352,2,failure,0
8166,70,housemaid,divorced,secondary,no,1311,no,yes,cellular,11,aug,651,1,-1,0,unknown,0
8167,28,admin.,single,secondary,no,127,no,no,cellular,27,sep,136,2,-1,0,unknown,0
8168,35,management,single,tertiary,no,62,yes,no,cellular,20,apr,213,3,341,0,unknown,0
8169,26,blue-collar,single,secondary,no,5005,no,yes,cellular,3,jun,117,1,-1,0,unknown,0
8170,40,services,married,secondary,no,406,yes,no,unknown,12,jun,577,2,-1,0,unknown,0
8171,31,blue-collar,married,secondary,no,1406,yes,yes,cellular,13,apr,693,2,-1,0,unknown,0
8172,58,unknown,married,unknown,no,1547,no,no,unknown,5,aug,309,4,-1,0,unknown,0
8173,31,self-employed,single,tertiary,no,1815,yes,no,telephone,9,feb,15,1,-1,0,unknown,0
8174,41,management,single,tertiary,no,1445,no,no,cellular,4,feb,271,2,-1,0,unknown,0
8175,30,management,single,tertiary,no,147,yes,no,cellular,1,jun,696,1,-1,0,unknown,1
8176,38,entrepreneur,married,secondary,no,593,yes,yes,cellular,24,jul,740,24,-1,0,unknown,0
8177,33,self-employed,married,tertiary,no,32665,no,no,cellular,6,oct,79,1,-1,0,unknown,0
8178,28,management,married,tertiary,no,730,yes,no,cellular,3,oct,631,1,-1,0,unknown,0
8179,37,technician,single,tertiary,no,29,no,no,unknown,3,apr,269,2,-1,0,unknown,1
8180,34,blue-collar,married,secondary,no,320,yes,no,cellular,12,nov,147,5,92,3,success,0
8181,34,services,married,secondary,no,1337,no,no,unknown,30,dec,442,1,-1,0,unknown,0
8182,60,management,divorced,secondary,no,0,no,no,cellular,5,aug,330,9,-1,0,unknown,0
8183,48,admin.,single,primary,no,3644,no,yes,telephone,31,jul,1039,9,-1,0,unknown,0
8184,31,management,single,tertiary,no,3384,no,no,cellular,22,mar,70,3,187,3,success,0
8185,76,retired,married,primary,no,3324,no,yes,cellular,13,nov,122,1,92,3,unknown,0
8186,36,management,single,tertiary,no,490,no,no,cellular,28,aug,207,8,98,3,unknown,0
8187,47,admin.,divorced,secondary,no,290,yes,no,cellular,22,jul,480,2,-1,0,unknown,0
8188,32,self-employed,single,tertiary,no,658,yes,no,telephone,27,aug,283,1,-1,0,unknown,0
8189,42,technician,married,tertiary,no,74477,no,no,cellular,10,feb,154,9,-1,0,unknown,0
8190,35,entrepreneur,married,secondary,no,313,no,no,cellular,15,jul,479,1,761,0,unknown,1
8191,50,technician,married,secondary,no,1811,no,no,cellular,8,jun,486,4,-1,0,unknown,1
8192,60,technician,married,secondary,no,259,no,no,cellular,6,jul,62,1,386,2,success,0
8193,19,self-employed,divorced,tertiary,no,6,yes,no,cellular,13,oct,216,1,183,4,failure,0
8194,59,housemaid,married,tertiary,no,0,no,no,unknown,13,nov,494,1,-1,11,unknown,0
8195,27,services,single,primary,no,54,yes,no,unknown,28,may,543,2,-1,12,unknown,0
8196,36,unknown,single,secondary,no,1511,yes,no,cellular,16,nov,270,1,-1,0,unknown,0
8197,32,technician,single,secondary,no,-114,no,no,cellular,12,aug,770,2,-1,0,unknown,1
8198,33,management,married,tertiary,no,2599,no,no,unknown,30,dec,1373,2,-1,0,unknown,0
8199,41,technician,single,secondary,no,501,yes,no,unknown,19,may,579,5,-1,22,unknown,0
8200,34,services,single,secondary,no,8132,yes,no,unknown,20,jun,1389,1,-1,0,unknown,1
8201,63,management,divorced,tertiary,no,146,yes,no,cellular,6,aug,720,2,-1,0,unknown,0
8202,55,blue-collar,married,secondary,no,-2989,yes,no,cellular,18,may,565,1,-1,0,unknown,0
8203,40,services,married,secondary,no,643,yes,no,cellular,17,apr,1064,2,256,1,failure,1
8204,81,management,divorced,tertiary,no,1257,no,no,cellular,5,aug,15,1,-1,0,unknown,0
8205,48,management,married,tertiary,no,17964,yes,no,cellular,1,jan,120,1,98,5,success,0
8206,43,self-employed,single,secondary,no,3173,no,no,unknown,15,nov,746,1,-1,0,unknown,0
8207,28,admin.,married,unknown,no,1595,no,no,cellular,9,sep,103,1,254,4,success,0
8208,35,technician,single,tertiary,no,670,no,no,cellular,13,apr,278,4,44,2,failure,0
8209,54,management,divorced,tertiary,no,2171,yes,yes,telephone,18,nov,93,1,-1,0,unknown,0
8210,26,blue-collar,single,tertiary,no,401,no,no,cellular,5,may,499,2,-1,0,unknown,0
8211,34,blue-collar,married,secondary,no,1464,yes,no,cellular,28,apr,207,23,130,5,other,0
