,age,workclass,fnlwgt,education-num,marital-status,relationship,race,sex,capital-gain,capital-loss,hours-per-week,income
47999,41,Private,226608,10,Married-civ-spouse,Husband,White,Male,85709,0,40,1
48000,41,Private,27012,2,Married-civ-spouse,Husband,White,Male,39747,0,40,1
48001,31,Private,326862,10,Divorced,Own-child,Black,Male,59342,550,40,1
48002,31,Private,326862,2,Divorced,Own-child,Black,Male,49928,0,40,1
48003,36,Private,110013,14,Never-married,Not-in-family,White,Female,0,3219,40,1
48004,36,Private,110013,14,Never-married,Not-in-family,White,Female,15783,3422,40,1
48005,49,Federal-gov,229737,15,Married-civ-spouse,Own-child,White,Male,3719,0,37,0
48006,49,Self-emp-inc,229737,15,Married-civ-spouse,Other-relative,White,Male,3860,0,19,0
48007,19,Private,175820,7,Never-married,Own-child,White,Male,50513,0,25,1
48008,35,Private,175820,7,Never-married,Own-child,White,Male,14279,0,25,1
48009,41,Private,93793,5,Married-civ-spouse,Own-child,White,Male,0,0,38,0
48010,41,Private,93793,14,Separated,Own-child,White,Male,0,0,38,0
48011,43,Self-emp-not-inc,272165,5,Married-civ-spouse,Husband,White,Male,87533,0,40,1
48012,43,Self-emp-not-inc,272165,5,Married-civ-spouse,Husband,White,Male,66647,0,40,1
48013,33,Private,207937,9,Never-married,Not-in-family,White,Male,13593,1092,40,1
48014,33,Private,207937,9,Never-married,Not-in-family,White,Male,51044,1092,40,1
48015,20,Private,163003,9,Never-married,Unmarried,Asian-Pac-Islander,Female,67441,0,15,1
48016,20,Private,163003,9,Married-civ-spouse,Unmarried,Asian-Pac-Islander,Female,92259,0,15,1
48017,60,Self-emp-not-inc,184362,9,Married-civ-spouse,Wife,White,Female,9468,0,25,1
48018,60,Self-emp-not-inc,184362,9,Married-civ-spouse,Wife,White,Female,85322,0,25,1
48019,35,Private,340428,12,Never-married,Not-in-family,White,Female,76604,0,35,1
48020,35,Federal-gov,340428,12,Never-married,Not-in-family,White,Female,0,3487,35,1
48021,51,Private,302146,7,Never-married,Not-in-family,Black,Female,31401,332,40,1
48022,51,Private,302146,7,Never-married,Not-in-family,Black,Female,11407,0,40,1
48023,41,Private,126076,10,Divorced,Not-in-family,White,Female,92735,0,50,1
48024,41,Private,126076,2,Divorced,Not-in-family,White,Female,91714,0,50,1
48025,40,Without-pay,291300,7,Married-civ-spouse,Husband,White,Male,91242,0,40,1
48026,40,Private,291300,7,Married-civ-spouse,Husband,White,Male,0,3765,89,0
48027,21,Private,256356,7,Never-married,Other-relative,White,Female,52603,0,40,1
48028,21,Private,153805,7,Never-married,Other-relative,White,Female,53972,0,40,1
48029,65,Self-emp-not-inc,178878,9,Married-civ-spouse,Husband,White,Male,0,3488,48,1
48030,65,Local-gov,178878,9,Married-civ-spouse,Husband,White,Male,35315,0,48,1
48031,22,Self-emp-inc,153536,13,Never-married,Own-child,White,Male,23917,0,40,1
48032,22,Federal-gov,171041,13,Never-married,Own-child,White,Male,28974,0,40,1
48033,44,Local-gov,101967,14,Married-civ-spouse,Wife,White,Female,49845,0,40,1
48034,44,Local-gov,101967,14,Never-married,Wife,White,Female,78026,0,40,1
48035,19,Private,501144,10,Never-married,Other-relative,Black,Female,87263,0,40,1
48036,19,Private,501144,10,Married-AF-spouse,Wife,Black,Female,0,0,40,1
48037,19,Private,184759,9,Never-married,Not-in-family,White,Female,37388,0,26,1
48038,19,Private,184759,9,Never-married,Not-in-family,White,Female,89719,0,26,1
48039,31,Local-gov,253456,10,Married-civ-spouse,Not-in-family,White,Male,0,647,40,0
48040,31,Local-gov,253456,16,Married-civ-spouse,Husband,White,Male,0,1592,40,0
48041,40,Local-gov,55363,9,Married-civ-spouse,Husband,White,Male,39631,3198,40,1
48042,40,Local-gov,55363,9,Married-civ-spouse,Husband,White,Male,94028,0,40,1
48043,50,Private,168539,9,Married-civ-spouse,Husband,Asian-Pac-Islander,Male,0,0,40,0
48044,85,Private,168539,3,Married-civ-spouse,Husband,White,Male,0,0,40,0
48045,67,Private,366425,16,Divorced,Not-in-family,White,Female,1429,0,60,0
48046,67,Private,366425,6,Divorced,Not-in-family,White,Male,2254,0,60,0
48047,23,Private,53306,9,Never-married,Not-in-family,Black,Male,99244,0,30,1
48048,32,Private,53306,9,Never-married,Not-in-family,White,Male,53187,0,30,1
48049,55,Private,138594,7,Married-civ-spouse,Husband,Other,Male,0,0,56,0
48050,23,Private,138594,16,Married-civ-spouse,Husband,White,Male,0,0,56,0
48051,40,Private,254167,6,Separated,Own-child,White,Male,38215,1850,35,1
48052,40,State-gov,254167,6,Separated,Own-child,White,Male,61837,0,35,1
48053,26,Private,34402,13,Never-married,Not-in-family,White,Female,33869,0,45,1
48054,26,Private,34402,13,Never-married,Not-in-family,White,Male,23618,0,45,1
48055,33,Self-emp-inc,170769,9,Married-civ-spouse,Husband,White,Male,0,0,40,1
48056,33,Private,170769,9,Married-civ-spouse,Husband,White,Male,34202,0,40,1
48057,32,Private,100135,13,Separated,Unmarried,White,Female,0,2406,32,1
48058,32,Private,218490,13,Separated,Unmarried,White,Female,0,3763,32,1
48059,38,Federal-gov,37683,15,Never-married,Not-in-family,Asian-Pac-Islander,Female,2677,0,26,0
48060,38,Federal-gov,37683,15,Never-married,Own-child,Asian-Pac-Islander,Female,3150,0,57,0
