,age,workclass,fnlwgt,education-num,marital-status,relationship,race,sex,capital-gain,capital-loss,hours-per-week,income
39132,34,Private,174373,12,Married-civ-spouse,Husband,White,Female,0,0,40,0
39133,44,Private,174373,12,Married-civ-spouse,Husband,Black,Male,0,0,29,0
39134,44,Private,174373,12,Married-civ-spouse,Husband,Black,Male,0,636,40,0
39135,44,Private,174373,12,Married-civ-spouse,Husband,White,Male,0,2406,40,0
39136,44,State-gov,174373,12,Married-civ-spouse,Husband,White,Male,0,1214,40,0
39137,70,Private,187891,7,Married-civ-spouse,Husband,White,Male,69065,0,40,1
39138,70,Private,187891,7,Married-civ-spouse,Husband,White,Male,81149,0,40,1
39139,70,Private,187891,7,Married-civ-spouse,Husband,White,Male,0,2408,91,1
39140,70,Private,187891,13,Married-civ-spouse,Husband,White,Male,0,3713,40,1
39141,70,Private,187891,7,Married-civ-spouse,Husband,White,Male,25217,0,40,1
39142,17,Private,53611,8,Never-married,Own-child,White,Female,37906,0,68,1
39143,17,Private,53611,8,Never-married,Own-child,White,Female,80024,0,6,1
39144,17,Private,53611,8,Never-married,Own-child,White,Female,36754,0,6,1
39145,17,Private,53611,8,Never-married,Own-child,White,Female,68862,0,6,1
39146,17,Private,53611,8,Never-married,Own-child,White,Female,11794,0,6,1
39147,33,State-gov,291494,16,Widowed,Not-in-family,White,Male,0,0,50,0
39148,33,State-gov,291494,9,Married-civ-spouse,Husband,Amer-Indian-Eskimo,Male,0,0,50,0
39149,33,Federal-gov,291494,4,Married-civ-spouse,Husband,White,Male,0,0,50,0
39150,46,State-gov,291494,16,Married-civ-spouse,Husband,White,Male,0,0,22,0
39151,33,State-gov,291494,16,Divorced,Not-in-family,White,Male,0,0,50,0
39152,62,Private,254534,10,Married-civ-spouse,Own-child,White,Male,73592,0,40,1
39153,49,Private,254534,10,Married-civ-spouse,Husband,White,Male,12612,0,40,1
39154,25,Private,254534,10,Married-civ-spouse,Husband,White,Male,0,0,59,1
39155,62,State-gov,254534,10,Married-civ-spouse,Husband,White,Male,61324,0,40,1
39156,62,Private,254534,14,Married-civ-spouse,Husband,White,Male,0,0,40,1
39157,34,Private,175878,10,Never-married,Not-in-family,White,Male,74673,2608,40,1
39158,34,Private,175878,16,Married-civ-spouse,Not-in-family,White,Male,0,0,40,1
39159,34,Private,175878,10,Never-married,Own-child,White,Male,76965,0,40,1
39160,34,Private,175878,10,Never-married,Not-in-family,White,Male,49867,0,40,1
39161,34,Private,175878,10,Never-married,Not-in-family,White,Male,46284,0,40,1
39162,23,Local-gov,202284,13,Never-married,Own-child,White,Male,79819,0,20,1
39163,23,Private,202284,13,Never-married,Own-child,White,Male,16932,0,20,1
39164,23,Private,202284,13,Never-married,Own-child,White,Male,62268,0,20,1
39165,23,Private,202284,13,Never-married,Own-child,White,Male,23691,0,20,1
39166,23,Private,202284,13,Never-married,Own-child,White,Male,66053,0,20,1
39167,24,Private,137591,10,Never-married,Own-child,White,Male,28163,0,29,1
39168,24,Private,137591,10,Married-civ-spouse,Own-child,White,Male,38975,0,10,1
39169,24,Private,137591,10,Never-married,Own-child,White,Male,30512,0,10,1
39170,24,Private,137591,10,Married-spouse-absent,Own-child,White,Male,42717,0,10,1
39171,24,Private,137591,10,Never-married,Own-child,White,Male,96496,0,90,1
