,age,workclass,fnlwgt,education-num,marital-status,relationship,race,sex,capital-gain,capital-loss,hours-per-week,income
44316,62,Self-emp-not-inc,110586,10,Widowed,Unmarried,White,Female,87778,0,40,1
44317,29,Private,128604,9,Married-civ-spouse,Husband,Asian-Pac-Islander,Male,14360,0,40,1
44318,24,Local-gov,38707,13,Never-married,Own-child,White,Male,87023,0,20,1
44319,43,Local-gov,146454,14,Married-civ-spouse,Husband,White,Male,14169,1648,4,1
44320,38,Private,122952,9,Separated,Unmarried,White,Female,11224,0,35,1
44321,47,Private,275095,5,Widowed,Unmarried,White,Female,53668,1668,50,1
44322,23,Private,157951,10,Never-married,Not-in-family,White,Female,62260,1269,50,1
44323,38,Private,89559,10,Separated,Unmarried,White,Female,0,4271,40,1
44324,38,Private,217926,9,Married-civ-spouse,Husband,Black,Male,39685,0,40,1
44325,28,Private,137898,9,Divorced,Not-in-family,White,Female,61852,0,35,1
44326,61,Private,136109,7,Widowed,Wife,White,Female,15810,0,45,1
44327,40,State-gov,55294,13,Married-civ-spouse,Wife,White,Male,0,0,23,0
44328,51,Private,154342,14,Married-civ-spouse,Husband,White,Male,3508,0,45,0
44329,24,Private,202959,16,Never-married,Not-in-family,White,Female,26594,0,40,1
44330,44,Private,235786,10,Never-married,Husband,White,Female,7298,0,45,0
44331,20,Private,258430,10,Never-married,Wife,White,Female,75106,0,19,1
44332,40,Private,284303,10,Widowed,Wife,White,Female,2491,0,40,0
44333,44,Private,146908,9,Married-civ-spouse,Husband,Other,Male,63839,0,40,1
44334,18,Private,188616,7,Never-married,Own-child,White,Male,13954,0,15,1
44335,19,Private,310483,8,Never-married,Wife,White,Male,11039,0,25,1
44336,47,Private,264244,14,Married-spouse-absent,Not-in-family,Black,Female,93575,0,40,1
44337,27,Private,29904,13,Never-married,Not-in-family,White,Female,84578,3780,40,1
44338,36,Private,76878,9,Never-married,Husband,White,Male,5178,0,16,0
44339,62,Self-emp-not-inc,71467,14,Married-civ-spouse,Husband,White,Male,98658,0,40,1
44340,41,Private,37997,8,Widowed,Not-in-family,White,Male,0,0,84,0
44341,28,Private,230503,10,Never-married,Unmarried,White,Female,89811,0,40,1
44342,27,Private,244566,6,Married-civ-spouse,Husband,White,Female,83874,0,40,1
44343,45,Self-emp-not-inc,355978,10,Married-AF-spouse,Husband,Black,Male,0,0,60,0
44344,19,Private,472807,2,Never-married,Other-relative,White,Male,61827,0,52,1
44345,27,Private,341672,10,Never-married,Other-relative,Asian-Pac-Islander,Male,18007,0,40,1
44346,31,Private,244147,9,Divorced,Not-in-family,White,Male,48387,0,55,1
44347,19,Private,186717,4,Never-married,Own-child,White,Male,10747,0,40,1
44348,23,Local-gov,423453,9,Never-married,Own-child,Black,Female,10533,0,16,1
44349,35,Private,241306,11,Married-civ-spouse,Husband,White,Male,0,2011,40,0
44350,23,Private,86065,8,Never-married,Not-in-family,White,Female,66470,1560,30,1
44351,20,Private,133352,10,Never-married,Wife,Asian-Pac-Islander,Female,20867,0,40,1
44352,88,Private,182944,9,Widowed,Unmarried,Black,Female,67093,0,40,1
44353,44,Private,133986,10,Divorced,Unmarried,White,Female,0,3656,40,1
44354,24,Private,194604,13,Never-married,Own-child,White,Female,62804,0,15,1
44355,42,State-gov,119008,12,Divorced,Wife,Black,Female,78955,1974,40,1
44356,47,Private,93449,9,Married-civ-spouse,Husband,Asian-Pac-Islander,Male,0,1868,60,1
44357,42,Private,125461,13,Never-married,Unmarried,Black,Male,35037,0,40,1
44358,34,Private,261799,11,Married-civ-spouse,Husband,Black,Male,0,0,65,0
44359,32,Self-emp-inc,182691,9,Never-married,Unmarried,White,Male,0,3957,60,0
44360,36,Private,411797,8,Never-married,Unmarried,White,Female,0,0,35,0
44361,52,Federal-gov,200853,14,Divorced,Husband,White,Female,6849,0,60,1
44362,24,Self-emp-inc,142404,13,Never-married,Husband,White,Male,0,0,72,0
44363,42,Private,369131,1,Married-civ-spouse,Husband,White,Male,0,0,31,0
44364,63,Private,55946,9,Married-civ-spouse,Husband,White,Male,22359,0,40,1
44365,66,Federal-gov,224559,9,Married-civ-spouse,Other-relative,Black,Male,0,0,40,0
44366,20,Private,230113,10,Never-married,Own-child,White,Male,40542,0,28,1
44367,60,Private,125019,13,Divorced,Not-in-family,White,Female,5189,0,48,0
44368,46,Self-emp-not-inc,342907,9,Divorced,Husband,Black,Male,0,0,29,0
44369,19,Private,386378,10,Never-married,Own-child,Other,Male,20464,0,20,1
44370,37,Private,35429,9,Never-married,Unmarried,White,Male,36657,0,40,1
44371,90,Private,151835,15,Married-civ-spouse,Husband,White,Female,0,0,45,0
44372,44,Private,297991,12,Never-married,Not-in-family,Asian-Pac-Islander,Female,27139,0,50,1
44373,42,Private,190786,11,Married-civ-spouse,Husband,White,Male,0,1964,40,1
44374,45,Federal-gov,110884,13,Divorced,Husband,Asian-Pac-Islander,Male,0,0,38,0
44375,23,Private,370548,9,Married-civ-spouse,Husband,White,Male,99435,0,27,1
44376,57,State-gov,132145,14,Married-civ-spouse,Husband,White,Male,4364,0,45,0
44377,52,Private,236180,13,Married-spouse-absent,Not-in-family,White,Male,0,3887,50,1
44378,49,Private,219504,8,Divorced,Unmarried,Black,Male,0,0,76,0
44379,23,Private,300760,9,Divorced,Unmarried,White,Female,25248,0,50,1
44380,45,Private,217654,10,Married-civ-spouse,Not-in-family,White,Male,0,583,40,0
44381,69,Private,145964,10,Married-civ-spouse,Husband,White,Male,4141,0,60,0
44382,20,Private,117767,10,Never-married,Own-child,White,Male,57980,0,40,1
44383,68,Private,208893,10,Never-married,Not-in-family,White,Male,73324,0,10,1
44384,45,Private,252616,4,Married-civ-spouse,Husband,Asian-Pac-Islander,Female,8475,0,36,1
44385,31,Private,341672,10,Married-civ-spouse,Husband,Asian-Pac-Islander,Male,79322,654,50,1
44386,18,Local-gov,466325,7,Married-spouse-absent,Own-child,White,Male,97582,0,12,1
44387,34,Private,229731,9,Married-spouse-absent,Husband,White,Female,26946,0,35,1
44388,46,Private,142490,10,Divorced,Not-in-family,Black,Female,47273,0,40,1
44389,56,Self-emp-not-inc,108496,9,Married-civ-spouse,Husband,White,Male,29915,0,40,1
44390,29,Federal-gov,100764,13,Married-civ-spouse,Husband,White,Female,0,0,45,0
44391,60,Self-emp-not-inc,184362,9,Married-civ-spouse,Unmarried,White,Female,0,2553,25,1
44392,80,Private,157749,10,Married-civ-spouse,Husband,White,Male,0,0,60,0
44393,23,Private,203076,10,Never-married,Own-child,White,Male,54823,0,40,1
44394,40,Private,226027,9,Married-civ-spouse,Husband,White,Male,53462,0,20,1
44395,24,Private,188300,7,Never-married,Unmarried,Amer-Indian-Eskimo,Female,21282,0,40,1
44396,22,Private,214134,6,Never-married,Not-in-family,Amer-Indian-Eskimo,Male,33093,0,84,1
44397,48,Private,216292,14,Married-civ-spouse,Husband,White,Female,0,0,43,1
44398,31,Self-emp-inc,72744,6,Divorced,Unmarried,White,Male,32663,0,30,1
44399,45,Private,213734,13,Never-married,Not-in-family,White,Male,0,0,56,1
44400,43,Private,157473,9,Widowed,Not-in-family,White,Female,99265,0,40,1
44401,29,Private,30069,10,Never-married,Own-child,White,Female,19210,0,50,1
44402,38,Private,123031,9,Married-civ-spouse,Husband,Asian-Pac-Islander,Male,86717,0,48,1
44403,56,Private,345730,9,Married-civ-spouse,Husband,White,Male,0,0,53,1
44404,37,State-gov,348960,13,Married-civ-spouse,Husband,White,Male,4838,0,36,0
44405,27,Private,133770,13,Never-married,Not-in-family,Black,Male,83707,0,52,1
44406,51,Without-pay,381769,9,Married-civ-spouse,Husband,White,Male,17735,0,50,1
44407,74,Private,161387,9,Divorced,Not-in-family,White,Female,22513,0,16,1
44408,29,Self-emp-not-inc,241431,9,Never-married,Not-in-family,White,Male,0,2735,65,1
44409,34,Private,162814,9,Divorced,Not-in-family,Black,Male,24783,0,65,1
44410,49,Local-gov,67001,9,Married-civ-spouse,Husband,White,Male,72002,0,40,1
44411,26,Private,746432,9,Never-married,Own-child,Black,Male,18587,0,48,1
44412,53,Private,177727,9,Married-civ-spouse,Husband,White,Male,0,2833,40,0
44413,19,Private,162621,10,Never-married,Own-child,White,Male,62673,0,14,1
44414,55,State-gov,157639,10,Married-spouse-absent,Unmarried,White,Male,0,0,40,0
44415,34,Private,326232,4,Divorced,Not-in-family,White,Male,29826,0,48,1
44416,42,Private,45156,10,Married-civ-spouse,Husband,White,Male,0,2206,40,0
44417,28,Private,107411,9,Never-married,Not-in-family,White,Male,11916,0,45,1
