,age,workclass,fnlwgt,education-num,marital-status,relationship,race,sex,capital-gain,capital-loss,hours-per-week,income
35,47,Private,269095,13,Married-civ-spouse,Husband,White,Male,0,0,40,0
36,46,Private,265266,9,Married-civ-spouse,Husband,White,Male,0,591,40,0
37,30,State-gov,185590,13,Never-married,Husband,White,Female,14369,0,40,1
38,33,Private,170562,9,Divorced,Husband,White,Male,0,0,40,0
39,53,State-gov,281590,9,Married-civ-spouse,Husband,White,Female,2262,0,40,0
40,38,Private,455379,14,Never-married,Husband,White,Male,0,0,45,0
41,23,Private,281590,13,Never-married,Not-in-family,White,Male,10508,0,50,1
42,30,Private,36006,13,Married-civ-spouse,Own-child,White,Male,0,0,45,0
43,50,Private,269095,13,Divorced,Not-in-family,White,Female,0,817,40,0
44,55,Private,227856,13,Married-civ-spouse,Husband,White,Male,3300,0,60,0
45,57,Private,142076,9,Married-civ-spouse,Husband,White,Male,4386,0,60,0
46,52,Private,170562,9,Divorced,Husband,White,Male,0,0,60,0
