,age,workclass,fnlwgt,education-num,marital-status,relationship,race,sex,capital-gain,capital-loss,hours-per-week,income
1104,23,Private,211345,10,Married-civ-spouse,Own-child,White,Female,41975,0,40,1
1105,41,Self-emp-not-inc,66632,10,Divorced,Wife,White,Male,26495,0,40,1
1106,35,Private,138441,9,Married-civ-spouse,Husband,White,Female,0,0,40,0
1107,24,Self-emp-inc,198282,11,Married-civ-spouse,Husband,White,Male,0,0,60,0
1108,50,Private,193748,7,Married-civ-spouse,Own-child,White,Male,31684,0,15,1
1109,50,Private,175804,13,Widowed,Husband,White,Female,0,0,40,0
1110,32,Private,239824,13,Never-married,Not-in-family,Asian-Pac-Islander,Male,9636,0,40,1
1111,36,Self-emp-inc,174938,13,Married-civ-spouse,Other-relative,White,Male,0,1887,50,0
1112,53,Private,170050,10,Separated,Not-in-family,White,Male,95858,0,40,1
1113,43,Private,125833,13,Married-civ-spouse,Husband,Asian-Pac-Islander,Male,0,2015,40,1
1114,19,Private,62419,13,Married-civ-spouse,Husband,White,Male,38213,0,35,0
1115,32,Private,103573,10,Married-civ-spouse,Husband,White,Male,44551,0,35,1
1116,38,Private,99065,13,Widowed,Not-in-family,Black,Female,0,0,50,0
1117,42,Private,68469,9,Married-civ-spouse,Husband,Black,Male,72750,0,40,1
1118,37,Self-emp-not-inc,181553,10,Divorced,Not-in-family,White,Male,95804,0,50,1
1119,57,Local-gov,261584,10,Separated,Not-in-family,Black,Male,23342,0,40,1
1120,38,Federal-gov,104236,12,Divorced,Wife,White,Female,84878,0,40,1
1121,32,Private,50753,9,Married-civ-spouse,Husband,White,Male,67558,1869,40,1
1122,35,State-gov,211115,10,Married-civ-spouse,Not-in-family,Black,Male,12746,0,40,1
1123,44,Private,138845,9,Married-civ-spouse,Husband,White,Male,21670,0,45,1
1124,27,Private,54472,10,Married-spouse-absent,Not-in-family,White,Female,85287,0,50,1
1125,65,Self-emp-inc,437161,9,Married-civ-spouse,Unmarried,Black,Female,11325,0,40,1
1126,53,Private,126060,13,Never-married,Not-in-family,White,Female,77284,0,40,1
1127,17,Private,261278,13,Married-civ-spouse,Wife,Asian-Pac-Islander,Female,5178,0,20,0
1128,53,Self-emp-not-inc,263925,11,Married-civ-spouse,Husband,White,Male,0,490,40,0
1129,53,Self-emp-not-inc,88506,13,Never-married,Husband,White,Male,72625,0,40,0
1130,50,Local-gov,169078,9,Married-civ-spouse,Husband,White,Female,4386,0,40,0
1131,39,Private,176756,10,Married-civ-spouse,Husband,White,Male,0,0,40,1
1132,31,Private,59083,10,Married-civ-spouse,Husband,White,Male,0,2332,50,1
1133,43,Private,302041,13,Never-married,Not-in-family,Black,Female,32420,0,40,1
1134,28,Self-emp-inc,115705,10,Never-married,Not-in-family,White,Male,15135,0,50,1
1135,36,Private,282484,10,Never-married,Wife,White,Female,40869,0,40,1
1136,34,Local-gov,117963,13,Married-civ-spouse,Unmarried,White,Male,0,647,40,0
1137,36,Local-gov,110791,12,Separated,Unmarried,White,Female,85680,0,40,1
1138,62,State-gov,438711,10,Married-civ-spouse,Wife,Black,Female,20995,0,40,1
1139,25,Local-gov,311551,14,Married-civ-spouse,Husband,White,Female,7688,0,50,0
1140,36,Private,323573,9,Married-civ-spouse,Own-child,White,Female,19745,0,20,1
1141,46,Local-gov,88564,10,Married-civ-spouse,Husband,White,Male,53228,0,40,1
1142,47,Private,102308,9,Married-civ-spouse,Husband,White,Female,0,0,40,0
1143,27,Private,238859,11,Separated,Not-in-family,White,Male,9740,0,40,0
1144,26,Private,295055,14,Never-married,Not-in-family,Black,Male,74166,0,40,1
1145,24,Private,200973,10,Married-civ-spouse,Not-in-family,White,Female,31517,0,40,1
1146,29,Private,79481,10,Separated,Not-in-family,White,Female,69166,0,40,1
1147,40,Private,124692,11,Married-civ-spouse,Husband,White,Male,0,865,40,0
1148,21,Private,191243,10,Married-civ-spouse,Own-child,White,Male,25039,0,40,1
1149,21,Private,228326,9,Never-married,Husband,White,Male,95349,0,40,0
1150,26,Private,58371,9,Married-civ-spouse,Own-child,White,Male,35528,0,40,1
1151,38,Private,102938,13,Married-civ-spouse,Husband,White,Male,0,1340,15,1
1152,56,Private,130724,10,Married-civ-spouse,Own-child,Black,Male,54256,0,25,1
1153,40,Private,158958,9,Married-civ-spouse,Other-relative,Black,Female,95744,0,40,1
1154,44,State-gov,351228,9,Married-civ-spouse,Husband,White,Male,6338,0,40,1
1155,45,Private,191098,13,Married-civ-spouse,Husband,Asian-Pac-Islander,Male,62497,0,40,1
1156,25,Local-gov,348986,9,Married-civ-spouse,Other-relative,Black,Male,11031,0,40,0
1157,24,Private,228613,7,Married-civ-spouse,Unmarried,White,Female,86305,0,40,1
1158,20,Private,216563,10,Married-civ-spouse,Unmarried,White,Female,52375,0,20,1
1159,29,Private,31935,9,Divorced,Not-in-family,White,Male,52068,0,40,1
1160,34,Private,221324,9,Separated,Unmarried,Black,Female,53036,0,40,1
1161,49,Private,167868,9,Married-civ-spouse,Not-in-family,White,Female,32148,0,35,1
1162,36,Private,109133,10,Never-married,Wife,White,Male,52284,0,40,1
1163,28,Private,375482,13,Never-married,Other-relative,White,Male,49899,0,40,1
1164,33,Private,131776,13,Divorced,Unmarried,White,Female,87866,0,40,1
1165,42,Self-emp-inc,167581,13,Never-married,Other-relative,White,Female,25923,0,40,1
1166,33,Private,206017,10,Married-civ-spouse,Own-child,White,Female,49258,0,15,1
1167,62,Self-emp-inc,67001,10,Married-civ-spouse,Husband,White,Male,21683,0,50,1
