,age,workclass,fnlwgt,education-num,marital-status,relationship,race,sex,capital-gain,capital-loss,hours-per-week,income
2304,23,Private,211345,10,Never-married,Husband,White,Female,36186,0,40,1
2305,23,Private,211345,10,Never-married,Husband,White,Female,57058,0,40,1
2306,23,Private,211345,10,Never-married,Husband,White,Female,36788,0,40,1
2307,41,Federal-gov,66632,10,Divorced,Not-in-family,White,Male,62085,0,40,1
2308,41,Self-emp-not-inc,66632,14,Divorced,Not-in-family,White,Male,51846,0,40,1
2309,41,Self-emp-not-inc,66632,14,Divorced,Not-in-family,White,Male,37889,0,40,1
2310,29,Private,138441,13,Married-civ-spouse,Husband,Black,Male,0,0,40,0
2311,35,Private,138441,13,Married-civ-spouse,Other-relative,White,Male,0,1370,40,0
2312,35,Private,138441,13,Married-spouse-absent,Husband,White,Male,0,1385,40,0
2313,28,Self-emp-inc,198282,13,Married-civ-spouse,Unmarried,White,Male,0,0,60,0
2314,42,Self-emp-inc,198282,13,Married-civ-spouse,Not-in-family,White,Male,0,0,10,0
2315,42,Self-emp-inc,198282,13,Widowed,Own-child,White,Male,0,0,60,0
2316,17,Private,193748,7,Never-married,Husband,White,Male,90611,974,15,0
2317,17,Private,193748,9,Never-married,Husband,White,Male,98813,0,15,1
2318,17,Private,193748,14,Never-married,Husband,White,Male,64445,0,15,1
2319,50,Private,175804,4,Married-civ-spouse,Husband,White,Male,0,0,40,0
2320,50,Private,175804,13,Married-spouse-absent,Wife,White,Male,0,0,40,0
2321,50,Private,175804,13,Widowed,Unmarried,White,Male,0,0,40,0
2322,59,Private,239824,13,Never-married,Not-in-family,White,Male,71747,0,40,1
2323,32,Private,239824,13,Never-married,Not-in-family,White,Male,15016,0,40,1
2324,32,Private,239824,13,Never-married,Not-in-family,White,Male,37323,0,40,1
2325,36,Private,174938,7,Married-civ-spouse,Husband,White,Male,0,744,50,0
2326,36,Private,174938,13,Widowed,Husband,White,Male,0,1887,10,0
2327,36,Private,174938,13,Divorced,Husband,White,Male,0,1887,40,0
2328,53,Private,170050,5,Never-married,Not-in-family,White,Male,29511,0,40,1
2329,53,Private,170050,11,Never-married,Not-in-family,White,Male,74384,0,40,1
2330,53,Private,170050,10,Separated,Not-in-family,White,Male,72533,0,40,1
2331,43,Self-emp-not-inc,125833,13,Married-civ-spouse,Husband,Asian-Pac-Islander,Male,68608,0,40,1
2332,63,Private,125833,13,Married-civ-spouse,Husband,Asian-Pac-Islander,Female,0,0,40,1
2333,43,Federal-gov,125833,13,Married-civ-spouse,Husband,Asian-Pac-Islander,Male,0,1841,40,1
2334,19,Self-emp-not-inc,62419,9,Married-civ-spouse,Husband,White,Male,99930,0,35,1
2335,19,Private,62419,9,Married-civ-spouse,Husband,White,Male,18626,1643,35,1
2336,19,Private,62419,9,Widowed,Husband,White,Male,33867,0,35,1
2337,32,Private,103573,10,Married-civ-spouse,Husband,White,Male,62153,0,25,1
2338,32,Private,103573,10,Married-civ-spouse,Husband,White,Male,26613,0,40,1
2339,32,Private,103573,10,Married-civ-spouse,Husband,White,Male,35637,0,60,1
2340,38,Private,99065,13,Married-spouse-absent,Not-in-family,Other,Female,0,0,50,0
2341,38,Local-gov,99065,13,Never-married,Husband,White,Female,0,0,50,0
2342,61,Private,99065,6,Never-married,Not-in-family,White,Female,0,0,50,0
2343,42,Private,68469,9,Married-civ-spouse,Husband,White,Male,0,2407,35,1
2344,42,Private,68469,9,Married-civ-spouse,Husband,White,Male,78147,0,40,1
2345,42,Self-emp-inc,68469,9,Married-civ-spouse,Husband,White,Male,0,1874,40,1
2346,37,Self-emp-not-inc,181553,14,Divorced,Not-in-family,White,Male,88199,0,50,1
2347,37,Self-emp-not-inc,181553,9,Divorced,Not-in-family,White,Female,41810,0,50,0
2348,37,Self-emp-not-inc,181553,9,Divorced,Wife,White,Male,35771,0,50,1
2349,57,Local-gov,261584,10,Married-civ-spouse,Not-in-family,Black,Female,50960,0,40,1
2350,57,Local-gov,261584,10,Separated,Wife,Black,Female,71190,0,40,1
2351,57,Local-gov,261584,13,Married-civ-spouse,Not-in-family,Black,Female,0,0,40,1
2352,38,Federal-gov,104236,12,Married-civ-spouse,Unmarried,White,Female,53836,0,40,1
2353,38,Federal-gov,104236,12,Divorced,Husband,White,Female,94193,0,40,1
2354,38,Federal-gov,104236,12,Divorced,Wife,White,Female,39630,0,40,1
2355,32,Private,50753,9,Married-civ-spouse,Husband,Asian-Pac-Islander,Male,71763,0,40,1
2356,41,Private,50753,9,Married-civ-spouse,Husband,White,Male,0,2208,40,1
2357,54,Federal-gov,50753,9,Married-civ-spouse,Husband,White,Male,0,0,40,1
2358,35,State-gov,211115,10,Never-married,Not-in-family,White,Male,25897,0,40,1
2359,35,State-gov,211115,10,Never-married,Wife,Black,Male,29375,0,40,0
2360,35,State-gov,211115,13,Never-married,Not-in-family,Black,Male,67937,0,40,1
