,age,workclass,fnlwgt,education-num,marital-status,relationship,race,sex,capital-gain,capital-loss,hours-per-week,income
43332,44,Private,174373,12,Married-civ-spouse,Husband,Other,Male,0,0,40,0
43333,28,Private,174373,12,Married-civ-spouse,Husband,White,Male,0,0,40,0
43334,70,Private,187891,7,Married-civ-spouse,Husband,White,Male,0,3589,40,0
43335,36,Private,187891,12,Married-civ-spouse,Husband,White,Male,0,0,40,1
43336,17,Private,53611,8,Never-married,Own-child,White,Female,37136,3136,6,1
43337,17,Private,53611,10,Never-married,Own-child,White,Female,29707,0,6,1
43338,33,Self-emp-inc,291494,5,Married-civ-spouse,Husband,White,Male,0,0,50,0
43339,33,Federal-gov,291494,16,Married-civ-spouse,Husband,White,Male,0,0,78,0
43340,62,Private,254534,10,Married-civ-spouse,Husband,White,Female,0,2339,40,0
43341,62,Private,254534,5,Married-civ-spouse,Husband,White,Male,0,1947,40,1
43342,34,Private,175878,10,Never-married,Not-in-family,White,Male,19242,3170,40,1
43343,34,Private,175878,10,Never-married,Not-in-family,White,Male,11758,342,40,1
43344,43,Private,202284,13,Married-civ-spouse,Own-child,White,Male,0,0,20,1
43345,58,Private,202284,13,Never-married,Own-child,White,Male,75954,0,20,1
43346,24,Private,137591,10,Never-married,Own-child,White,Male,13260,0,10,1
43347,58,Private,137591,10,Never-married,Own-child,White,Male,32911,0,10,1
43348,31,Local-gov,295589,10,Widowed,Own-child,Black,Male,71811,0,40,1
43349,31,Local-gov,295589,10,Never-married,Own-child,Black,Male,64801,0,40,1
43350,56,Private,68684,13,Married-civ-spouse,Husband,White,Male,0,0,40,1
43351,53,Private,68684,9,Married-civ-spouse,Husband,White,Male,20436,0,40,1
43352,73,Private,159007,13,Married-spouse-absent,Other-relative,White,Female,10599,0,12,1
43353,33,Private,159007,13,Divorced,Other-relative,White,Female,0,2593,12,1
43354,77,Private,200246,11,Never-married,Not-in-family,White,Male,34976,0,40,1
43355,30,Local-gov,200246,11,Never-married,Not-in-family,White,Male,0,2507,40,1
43356,35,Private,283305,13,Never-married,Not-in-family,White,Female,60542,0,40,1
43357,35,Self-emp-inc,283305,13,Never-married,Not-in-family,White,Female,59466,0,40,1
43358,20,Private,471452,10,Never-married,Own-child,White,Male,34300,0,88,1
43359,20,Private,471452,10,Never-married,Wife,White,Male,31992,0,30,1
43360,52,State-gov,109600,8,Married-spouse-absent,Unmarried,White,Female,4787,0,44,0
43361,25,State-gov,109600,14,Separated,Unmarried,White,Female,4787,0,44,0
43362,53,Private,277772,9,Divorced,Unmarried,Black,Female,16048,0,40,1
43363,53,State-gov,277772,9,Divorced,Unmarried,Black,Female,59573,0,40,1
43364,35,Private,219902,9,Separated,Unmarried,Black,Female,64377,147,48,1
43365,35,Private,219902,9,Separated,Unmarried,White,Female,88094,0,48,1
43366,51,Private,231919,7,Married-civ-spouse,Husband,White,Male,90643,0,30,1
43367,51,Private,231919,7,Married-civ-spouse,Husband,White,Male,95211,0,45,1
43368,64,Private,183513,9,Never-married,Not-in-family,White,Female,19702,0,25,1
43369,64,Private,183513,9,Never-married,Not-in-family,White,Female,34525,0,70,1
43370,33,Private,112780,10,Never-married,Own-child,White,Female,35717,0,20,1
43371,19,Private,112780,10,Never-married,Own-child,Black,Female,53722,0,20,1
43372,76,Private,142506,13,Never-married,Unmarried,Black,Female,33537,0,35,1
43373,26,Private,142506,13,Never-married,Own-child,Black,Female,7933,0,35,1
43374,19,Private,201743,10,Never-married,Own-child,White,Female,22738,0,26,1
43375,19,Private,201743,10,Never-married,Own-child,White,Female,88453,0,26,1
43376,19,Private,188941,10,Married-civ-spouse,Husband,White,Male,74245,0,40,1
43377,27,Private,188941,10,Married-civ-spouse,Husband,White,Male,48116,0,92,1
43378,60,Private,225883,1,Widowed,Unmarried,White,Female,28008,0,27,1
43379,60,Private,225883,10,Widowed,Unmarried,White,Female,54653,0,28,1
43380,41,Local-gov,125268,13,Married-spouse-absent,Unmarried,Black,Female,48186,0,40,1
43381,41,Local-gov,125268,13,Married-civ-spouse,Unmarried,Black,Female,0,2958,40,1
43382,24,Private,109307,9,Never-married,Own-child,White,Female,58306,0,45,1
43383,24,Private,109307,9,Never-married,Own-child,White,Male,89292,0,45,1
43384,34,Private,236543,10,Never-married,Not-in-family,White,Female,52033,1590,40,1
43385,34,Private,236543,10,Separated,Not-in-family,White,Male,0,3508,40,1
43386,19,Private,303652,9,Never-married,Unmarried,White,Male,21004,0,30,1
43387,19,Private,303652,9,Never-married,Unmarried,White,Female,59440,0,67,1
43388,48,Private,158685,11,Divorced,Not-in-family,White,Female,13036,0,16,1
43389,48,Private,158685,9,Divorced,Not-in-family,White,Female,75090,0,16,1
