,A15,A14,A13,A12,A11,A10,A9,A8,A7,A6,A5,A4,A3,A2,A1,A16
360010,22737,228.0,g,f,0,f,t,0.5,h,d,g,u,13.0,29.25,b,1
360011,0,1631.0,g,f,0,f,t,0.04,v,m,p,y,0.04,31.83,b,1
360012,0,560.0,s,f,1,t,f,0.04,v,e,g,y,9.74,41.0,b,0
360013,20986,163.0,g,t,0,t,t,0.25,bb,w,g,u,1.75,34.25,b,1
360014,0,204.0,g,f,6,t,f,8.9,v,m,g,u,2.75,33.58,b,0
360015,83415,300.0,g,f,0,f,f,0.375,v,c,g,u,0.375,33.67,a,0
360016,82805,100.0,g,t,0,f,t,0.085,ff,ff,g,u,2.5,23.08,b,1
360017,64163,140.0,g,t,3,t,t,1.375,h,c,p,y,1.25,20.67,b,1
360018,5800,400.0,g,t,12,f,f,0.04,v,w,g,u,2.04,37.42,b,0
360019,17,0.0,s,t,0,f,t,1.25,h,k,p,y,12.5,26.17,b,1
