,age,workclass,fnlwgt,education-num,marital-status,relationship,race,sex,capital-gain,capital-loss,hours-per-week,income
27292,39,Private,174373,12,Married-civ-spouse,Husband,White,Male,0,3146,40,0
27293,44,Private,174373,12,Married-civ-spouse,Husband,White,Male,0,1755,40,0
27294,44,Private,174373,12,Divorced,Husband,White,Male,0,848,40,0
27295,44,Private,174373,12,Married-civ-spouse,Husband,White,Male,0,0,50,0
27296,44,Private,174373,12,Married-civ-spouse,Husband,White,Male,0,0,9,0
27297,44,Private,174373,11,Married-civ-spouse,Husband,White,Male,0,0,40,0
27298,90,Private,174373,12,Married-spouse-absent,Husband,White,Male,0,0,40,0
27299,44,Private,174373,8,Married-civ-spouse,Husband,White,Male,0,0,40,0
27300,44,Private,174373,12,Married-civ-spouse,Husband,White,Male,0,3072,40,0
27301,44,Private,174373,12,Married-civ-spouse,Husband,White,Female,0,0,92,0
27302,44,Private,174373,12,Married-civ-spouse,Unmarried,White,Male,0,0,31,0
27303,39,Private,174373,12,Widowed,Husband,White,Male,0,0,40,0
27304,44,Private,174373,3,Married-civ-spouse,Husband,White,Male,0,0,84,0
27305,75,Private,174373,12,Married-civ-spouse,Husband,White,Male,0,0,40,0
27306,44,Private,174373,12,Married-civ-spouse,Husband,White,Male,0,3002,40,0
27307,70,Without-pay,187891,7,Married-civ-spouse,Husband,White,Male,53815,0,40,1
27308,70,Private,187891,7,Married-spouse-absent,Husband,White,Male,0,3713,40,1
27309,45,Private,187891,7,Married-civ-spouse,Husband,White,Male,15012,0,40,1
27310,70,Private,187891,7,Married-civ-spouse,Husband,White,Male,56006,0,40,1
27311,70,Private,187891,12,Married-civ-spouse,Husband,White,Male,45728,0,40,1
27312,70,Private,187891,5,Married-civ-spouse,Husband,White,Male,27450,0,40,1
27313,70,Private,187891,7,Married-civ-spouse,Husband,Black,Male,82820,0,40,1
27314,70,Private,187891,7,Married-civ-spouse,Husband,White,Male,71297,0,40,1
27315,70,Private,187891,15,Married-civ-spouse,Husband,White,Male,74705,0,40,1
27316,70,Private,187891,7,Married-civ-spouse,Husband,White,Male,0,3171,40,1
27317,70,Private,187891,7,Married-civ-spouse,Husband,White,Male,94227,0,54,1
27318,70,Private,187891,7,Married-civ-spouse,Husband,White,Male,0,2282,40,1
27319,70,Private,187891,7,Married-civ-spouse,Husband,White,Male,91959,0,40,1
27320,70,Private,187891,7,Married-civ-spouse,Husband,White,Male,50293,0,40,1
27321,70,Private,187891,8,Married-civ-spouse,Husband,White,Male,87610,0,40,1
27322,17,Private,53611,8,Never-married,Own-child,White,Female,43948,3874,6,1
27323,17,Private,53611,8,Never-married,Own-child,Asian-Pac-Islander,Female,82491,0,6,1
27324,17,State-gov,53611,8,Never-married,Own-child,White,Female,58621,0,6,1
27325,17,Private,53611,8,Never-married,Own-child,White,Female,94669,3842,6,1
27326,17,Private,53611,8,Never-married,Own-child,Black,Female,29528,0,6,1
27327,61,Private,53611,8,Never-married,Own-child,White,Female,78463,0,6,1
27328,17,Private,53611,8,Never-married,Own-child,White,Female,75532,0,2,1
27329,17,State-gov,53611,8,Never-married,Own-child,White,Female,51822,0,6,0
27330,17,Private,53611,8,Never-married,Own-child,White,Female,28489,0,6,1
