,age,workclass,fnlwgt,education-num,marital-status,relationship,race,sex,capital-gain,capital-loss,hours-per-week,income
199965000,29,Self-emp-not-inc,283896,13,Married-civ-spouse,Husband,White,Male,0,0,50,0
199965001,67,Private,278130,11,Never-married,Not-in-family,White,Male,0,0,40,1
199965002,51,Private,279156,9,Married-civ-spouse,Husband,White,Female,3360,0,40,0
199965003,26,Private,247880,9,Married-civ-spouse,Husband,White,Male,0,0,50,0
199965004,35,Private,174571,14,Married-civ-spouse,Husband,Asian-Pac-Islander,Male,0,0,40,1
199965005,34,Private,160706,10,Married-civ-spouse,Wife,White,Female,4386,0,48,1
199965006,67,Self-emp-inc,411007,9,Widowed,Not-in-family,White,Female,1297,0,40,0
199965007,47,Private,140219,9,Never-married,Other-relative,White,Female,41665,0,40,1
199965008,39,Private,22494,13,Never-married,Not-in-family,White,Female,98903,0,40,1
199965009,33,Federal-gov,177945,9,Married-civ-spouse,Husband,Black,Male,71351,0,40,1
199965010,32,Private,79586,3,Married-AF-spouse,Husband,Asian-Pac-Islander,Male,0,0,40,0
199965011,33,Private,113364,8,Never-married,Not-in-family,White,Male,80887,0,45,1
199965012,24,Private,141003,10,Never-married,Own-child,White,Male,63111,0,73,1
199965013,64,Private,180624,12,Never-married,Other-relative,Asian-Pac-Islander,Female,18055,0,30,1
199965014,62,Self-emp-not-inc,26857,4,Widowed,Other-relative,White,Female,29831,0,35,1
199965015,36,Self-emp-inc,77146,13,Married-civ-spouse,Husband,White,Male,3722,230,45,0
199965016,51,Federal-gov,168660,12,Married-civ-spouse,Husband,White,Male,0,0,40,1
199965017,50,Self-emp-inc,302708,8,Divorced,Not-in-family,Asian-Pac-Islander,Male,7688,0,50,0
199965018,31,Private,212235,9,Never-married,Not-in-family,White,Male,0,3428,45,1
199965019,60,Local-gov,227232,9,Widowed,Unmarried,Amer-Indian-Eskimo,Female,80043,0,40,1
199965020,28,Private,236834,5,Never-married,Not-in-family,White,Female,37598,0,35,1
199965021,22,Local-gov,177475,13,Never-married,Not-in-family,White,Male,13981,0,40,1
199965022,51,Federal-gov,225065,1,Married-civ-spouse,Wife,White,Female,0,0,40,1
199965023,26,Private,188703,14,Never-married,Not-in-family,White,Female,81879,0,40,1
199965024,47,Private,161311,9,Divorced,Unmarried,White,Female,11532,0,30,1
199965025,23,Private,204629,14,Married-AF-spouse,Husband,White,Male,0,0,50,0
199965026,61,Private,87032,9,Widowed,Not-in-family,White,Female,0,2542,40,1
199965027,90,Private,52386,10,Never-married,Not-in-family,Asian-Pac-Islander,Male,82237,3258,35,1
199965028,31,Private,302679,9,Never-married,Not-in-family,White,Male,78497,0,91,1
199965029,36,Private,111128,10,Married-civ-spouse,Other-relative,White,Male,43523,0,45,1
199965030,46,State-gov,551962,9,Separated,Unmarried,White,Female,99960,0,50,1
199965031,55,Private,189528,7,Married-civ-spouse,Husband,White,Male,82206,0,60,1
199965032,33,Private,236013,12,Married-civ-spouse,Husband,White,Female,0,0,44,0
199965033,20,Private,185452,9,Never-married,Own-child,Asian-Pac-Islander,Female,63584,0,40,1
199965034,26,Private,167350,10,Married-civ-spouse,Husband,White,Male,9068,0,50,1
199965035,24,Private,103575,9,Married-civ-spouse,Husband,White,Male,38213,0,37,1
199965036,23,Private,111450,8,Never-married,Unmarried,Asian-Pac-Islander,Male,23431,0,38,1
199965037,53,Private,26698,9,Married-civ-spouse,Husband,White,Male,0,0,50,1
199965038,70,Self-emp-not-inc,177199,9,Married-civ-spouse,Husband,White,Male,9468,0,3,1
199965039,69,Private,177374,9,Widowed,Unmarried,White,Female,60544,0,12,1
199965040,50,Private,297551,9,Married-civ-spouse,Husband,White,Male,27538,0,52,1
199965041,22,Private,199266,9,Never-married,Not-in-family,White,Male,61083,0,45,1
199965042,58,Self-emp-not-inc,426263,10,Married-civ-spouse,Husband,White,Male,11801,0,32,1
199965043,30,Local-gov,99761,11,Divorced,Own-child,White,Female,19042,145,40,1
199965044,28,Private,93235,10,Never-married,Not-in-family,White,Male,73735,740,40,1
199965045,46,Federal-gov,125892,14,Married-civ-spouse,Other-relative,White,Male,1302,0,25,0
199965046,42,Self-emp-inc,45156,10,Married-civ-spouse,Husband,White,Male,0,0,40,0
199965047,40,Private,400061,2,Married-civ-spouse,Husband,Other,Male,0,0,40,0
199965048,58,Private,229716,10,Married-civ-spouse,Husband,White,Male,0,0,40,1
199965049,24,Private,76034,10,Married-civ-spouse,Not-in-family,White,Male,0,0,57,0
199965050,22,Private,100188,10,Never-married,Own-child,White,Female,46822,662,20,1
199965051,19,Private,81961,10,Never-married,Own-child,White,Male,33985,0,20,1
199965052,44,Private,523484,12,Married-civ-spouse,Husband,Black,Male,0,0,80,0
199965053,33,Private,117779,9,Divorced,Wife,White,Female,0,0,60,0
199965054,49,Private,105431,13,Divorced,Not-in-family,Black,Female,34735,0,40,1
199965055,33,Self-emp-not-inc,217304,16,Never-married,Not-in-family,Black,Male,0,0,40,1
199965056,25,Private,25249,10,Never-married,Not-in-family,White,Female,88832,1290,40,1
199965057,55,Private,197422,9,Widowed,Not-in-family,White,Male,7688,0,40,0
199965058,25,State-gov,120041,13,Never-married,Not-in-family,White,Female,90240,1051,40,1
199965059,19,Private,45766,10,Never-married,Not-in-family,White,Male,42879,0,45,1
