,age,workclass,fnlwgt,education-num,marital-status,relationship,race,sex,capital-gain,capital-loss,hours-per-week,income
215965400,44,Private,174373,12,Married-civ-spouse,Husband,White,Male,0,0,13,0
215965401,70,Private,187891,16,Married-civ-spouse,Husband,White,Female,0,0,40,1
215965402,17,Private,53611,8,Never-married,Own-child,White,Female,38894,0,22,1
215965403,33,State-gov,291494,16,Married-civ-spouse,Husband,Black,Male,0,0,14,0
215965404,62,Private,254534,10,Married-civ-spouse,Husband,White,Male,34974,0,40,1
215965405,34,Private,175878,10,Never-married,Not-in-family,White,Male,96964,0,67,1
215965406,23,Private,202284,13,Never-married,Own-child,White,Male,35199,0,20,1
215965407,24,Federal-gov,137591,10,Never-married,Own-child,White,Male,50435,0,10,1
215965408,31,Local-gov,295589,10,Never-married,Own-child,Amer-Indian-Eskimo,Male,68407,0,40,1
215965409,53,Private,68684,9,Married-civ-spouse,Husband,Asian-Pac-Islander,Male,0,3660,40,1
215965410,73,Private,159007,13,Divorced,Other-relative,White,Female,83403,0,12,1
215965411,30,Private,200246,11,Never-married,Not-in-family,White,Male,40840,0,40,1
215965412,31,Private,283305,13,Never-married,Not-in-family,White,Female,84899,0,40,1
215965413,38,Private,471452,10,Never-married,Own-child,White,Male,79970,0,30,1
215965414,29,Local-gov,109600,14,Married-spouse-absent,Unmarried,White,Female,4787,0,44,0
215965415,53,Private,277772,9,Divorced,Unmarried,Black,Female,76368,0,40,1
215965416,35,Private,219902,9,Separated,Unmarried,Amer-Indian-Eskimo,Female,80109,0,48,1
215965417,51,Private,231919,6,Married-civ-spouse,Husband,White,Male,59185,0,45,1
215965418,64,Private,183513,9,Never-married,Not-in-family,White,Female,0,3372,51,0
215965419,19,Private,112780,10,Never-married,Own-child,White,Female,47604,2961,20,1
215965420,26,Private,142506,13,Never-married,Unmarried,Black,Female,91197,0,56,1
215965421,19,Private,201743,10,Divorced,Own-child,White,Female,24636,0,26,1
215965422,27,Private,188941,10,Married-civ-spouse,Husband,White,Male,72808,0,40,1
215965423,60,Private,225883,10,Widowed,Unmarried,White,Female,50601,2746,27,1
215965424,41,Local-gov,125268,13,Never-married,Own-child,Black,Female,92924,0,40,1
215965425,24,Private,109307,9,Never-married,Wife,White,Male,16603,0,45,1
215965426,34,Private,236543,10,Never-married,Not-in-family,White,Male,84394,1590,40,1
215965427,19,Private,303652,9,Never-married,Unmarried,White,Female,74132,3137,30,1
215965428,50,Private,158685,9,Divorced,Not-in-family,White,Female,20471,0,16,1
215965429,39,Private,328466,7,Married-civ-spouse,Husband,White,Male,91175,0,70,1
215965430,37,Local-gov,85341,13,Married-civ-spouse,Husband,White,Male,0,0,45,1
215965431,41,State-gov,33474,13,Married-civ-spouse,Husband,White,Male,0,0,43,1
215965432,29,Private,77322,9,Never-married,Not-in-family,White,Female,18817,2461,32,1
215965433,28,Private,192591,13,Never-married,Not-in-family,White,Female,0,3035,45,1
215965434,63,Private,163809,10,Widowed,Unmarried,White,Female,89236,0,20,1
215965435,33,Private,243674,9,Separated,Not-in-family,White,Male,85309,0,46,1
215965436,47,Local-gov,183486,5,Married-civ-spouse,Wife,White,Female,0,0,50,0
215965437,23,Private,238917,3,Never-married,Other-relative,White,Male,43173,0,40,1
215965438,17,Private,206351,6,Married-civ-spouse,Husband,White,Male,70558,0,40,1
215965439,57,Private,101266,16,Married-civ-spouse,Husband,White,Male,0,0,40,1
215965440,29,Without-pay,195284,8,Divorced,Not-in-family,White,Female,0,0,60,0
215965441,63,Private,287277,9,Divorced,Not-in-family,White,Male,89621,0,40,1
215965442,36,Local-gov,101833,13,Separated,Not-in-family,Asian-Pac-Islander,Male,30349,0,40,1
215965443,37,Federal-gov,31670,13,Married-civ-spouse,Husband,White,Male,44919,0,40,1
215965444,46,Private,32825,9,Married-civ-spouse,Husband,White,Male,27474,0,60,1
215965445,27,Private,332187,13,Never-married,Not-in-family,White,Female,0,3569,99,0
215965446,41,Private,287037,10,Never-married,Not-in-family,White,Male,22842,0,40,1
215965447,21,State-gov,180690,9,Never-married,Own-child,White,Male,57316,0,40,1
215965448,53,Private,85423,10,Married-civ-spouse,Husband,White,Male,0,956,40,0
