,age,workclass,fnlwgt,education-num,marital-status,relationship,race,sex,capital-gain,capital-loss,hours-per-week,income
47,47,State-gov,199512,13,Married-civ-spouse,Husband,White,Male,0,1696,40,0
48,47,State-gov,199512,9,Married-civ-spouse,Not-in-family,White,Male,0,0,40,0
49,46,Private,265266,13,Never-married,Husband,White,Male,3946,1902,40,0
50,46,Private,265266,13,Married-civ-spouse,Husband,White,Male,0,1615,45,0
51,30,State-gov,185590,13,Never-married,Own-child,White,Female,14219,0,40,1
52,30,State-gov,185590,13,Never-married,Own-child,White,Female,13307,1605,40,1
53,52,Private,232475,9,Divorced,Husband,White,Male,0,0,40,0
54,33,State-gov,232475,9,Married-civ-spouse,Husband,White,Male,0,1342,40,0
55,53,State-gov,281590,9,Married-civ-spouse,Wife,White,Male,3213,0,40,0
56,53,Private,281590,9,Married-civ-spouse,Wife,White,Female,831,0,40,0
57,38,Private,455379,9,Married-civ-spouse,Husband,White,Male,3608,0,60,0
58,55,Private,455379,9,Married-civ-spouse,Husband,White,Male,0,0,60,0
59,23,Private,268525,13,Never-married,Not-in-family,White,Male,8899,0,50,1
60,55,Private,268525,13,Never-married,Not-in-family,White,Male,7831,0,50,1
61,45,Private,36006,13,Married-civ-spouse,Husband,White,Male,0,1642,45,0
62,45,Private,36006,13,Married-civ-spouse,Husband,White,Male,0,1729,45,0
63,50,Private,36006,13,Divorced,Unmarried,White,Male,0,0,40,0
64,50,Private,269095,13,Never-married,Unmarried,White,Female,0,1404,40,0
65,55,Private,227856,13,Never-married,Husband,White,Male,1628,0,60,0
66,23,Private,227856,13,Married-civ-spouse,Husband,White,Male,4184,0,60,0
67,57,Private,142076,9,Married-civ-spouse,Husband,White,Male,188,0,40,0
68,53,Private,142076,9,Divorced,Husband,White,Male,4386,0,40,0
69,52,Private,170562,9,Married-civ-spouse,Husband,White,Male,0,1620,40,0
70,52,Private,170562,9,Divorced,Husband,White,Male,0,1290,60,0
