,age,workclass,fnlwgt,education-num,marital-status,relationship,race,sex,capital-gain,capital-loss,hours-per-week,income
1604,23,Private,211345,10,Married-civ-spouse,Own-child,White,Female,57408,0,40,1
1605,23,Private,211345,10,Married-civ-spouse,Own-child,White,Female,86283,0,40,1
1606,41,Self-emp-not-inc,66632,10,Divorced,Not-in-family,White,Male,60500,0,40,0
1607,41,Private,66632,10,Divorced,Not-in-family,White,Male,64064,0,40,0
1608,35,Private,138441,8,Never-married,Husband,White,Male,0,0,40,0
1609,35,Self-emp-not-inc,138441,14,Married-civ-spouse,Husband,White,Male,0,0,40,0
1610,42,Self-emp-inc,198282,13,Married-civ-spouse,Own-child,White,Male,0,0,25,0
1611,24,Self-emp-inc,198282,13,Married-civ-spouse,Husband,White,Male,0,0,60,0
1612,49,Private,193748,7,Married-spouse-absent,Own-child,White,Male,89020,0,15,0
1613,17,Private,193748,7,Married-civ-spouse,Other-relative,White,Male,64891,0,15,0
1614,50,Private,175804,13,Married-civ-spouse,Not-in-family,White,Male,0,912,40,0
1615,50,Self-emp-not-inc,175804,13,Widowed,Husband,White,Male,0,0,40,0
1616,32,Private,239824,13,Never-married,Not-in-family,White,Male,14073,0,40,1
1617,32,Private,239824,13,Never-married,Not-in-family,White,Male,72315,0,40,1
1618,36,Private,174938,13,Married-civ-spouse,Not-in-family,White,Male,0,1748,50,0
1619,36,State-gov,174938,13,Married-civ-spouse,Own-child,White,Male,0,1887,50,0
1620,53,Private,170050,14,Never-married,Not-in-family,White,Male,55646,0,40,1
1621,53,Private,170050,10,Married-spouse-absent,Not-in-family,White,Male,97019,0,40,1
1622,43,Private,125833,13,Separated,Husband,Asian-Pac-Islander,Male,55661,0,40,1
1623,43,Local-gov,125833,13,Married-civ-spouse,Husband,Black,Male,0,0,40,1
1624,59,Private,62419,9,Married-civ-spouse,Husband,White,Male,0,0,35,1
1625,19,Private,62419,9,Married-civ-spouse,Husband,White,Male,33522,1967,35,1
1626,32,Private,103573,5,Married-civ-spouse,Husband,White,Male,83195,0,40,1
1627,32,Federal-gov,103573,10,Married-civ-spouse,Husband,White,Male,38241,0,40,1
1628,38,Private,99065,6,Never-married,Husband,White,Female,0,0,50,0
1629,38,Private,99065,13,Widowed,Not-in-family,White,Female,0,0,25,0
1630,42,Federal-gov,68469,9,Married-civ-spouse,Husband,White,Male,59646,0,40,1
1631,42,Private,68469,9,Married-civ-spouse,Husband,White,Male,0,2134,40,1
1632,37,State-gov,181553,9,Divorced,Not-in-family,White,Male,86383,0,50,1
1633,37,Self-emp-not-inc,181553,9,Divorced,Not-in-family,White,Female,96328,0,50,1
1634,57,Local-gov,261584,10,Separated,Husband,Black,Female,28459,0,40,1
1635,57,Local-gov,261584,10,Married-civ-spouse,Not-in-family,Black,Female,82605,0,40,1
1636,38,Federal-gov,104236,12,Divorced,Unmarried,White,Male,26353,0,40,1
1637,38,Federal-gov,104236,12,Married-civ-spouse,Unmarried,White,Female,86883,0,40,1
1638,32,Private,50753,9,Married-civ-spouse,Husband,White,Male,13437,0,40,1
1639,58,Private,50753,9,Married-civ-spouse,Husband,White,Male,0,0,40,1
1640,35,State-gov,211115,13,Never-married,Not-in-family,Black,Male,28084,0,40,1
1641,35,State-gov,211115,13,Never-married,Not-in-family,Black,Male,83405,0,40,1
1642,44,Private,138845,9,Married-civ-spouse,Other-relative,White,Male,53272,0,45,1
1643,33,Private,138845,9,Married-civ-spouse,Husband,White,Male,0,1870,45,1
1644,23,State-gov,54472,10,Married-spouse-absent,Not-in-family,White,Female,74865,0,50,0
1645,23,Private,54472,10,Married-civ-spouse,Not-in-family,White,Female,93883,0,50,1
1646,22,Self-emp-inc,437161,9,Separated,Unmarried,Black,Male,23361,0,40,1
1647,22,Self-emp-inc,437161,9,Married-spouse-absent,Unmarried,White,Female,88514,0,40,0
1648,27,Private,126060,13,Never-married,Not-in-family,White,Female,49607,0,40,1
1649,27,Private,126060,13,Never-married,Not-in-family,White,Female,67701,0,40,1
1650,32,Private,261278,13,Married-civ-spouse,Other-relative,Asian-Pac-Islander,Female,5178,0,40,0
1651,45,Private,261278,13,Married-civ-spouse,Husband,Asian-Pac-Islander,Female,5178,0,10,0
1652,53,Self-emp-not-inc,263925,13,Married-spouse-absent,Husband,Amer-Indian-Eskimo,Male,0,0,40,0
1653,53,Self-emp-not-inc,263925,9,Married-civ-spouse,Husband,White,Male,2220,0,40,0
1654,53,Self-emp-not-inc,88506,13,Never-married,Husband,White,Male,31821,0,40,0
1655,53,Self-emp-not-inc,88506,13,Married-civ-spouse,Husband,White,Male,0,1987,40,1
1656,36,Federal-gov,169078,9,Married-civ-spouse,Husband,White,Male,4386,0,50,0
1657,50,Federal-gov,169078,9,Married-civ-spouse,Other-relative,Asian-Pac-Islander,Male,4386,0,40,0
1658,26,Private,176756,10,Married-civ-spouse,Husband,White,Male,0,2126,40,1
1659,59,Private,176756,10,Married-civ-spouse,Husband,White,Male,0,0,40,1
1660,31,Private,59083,10,Never-married,Husband,White,Male,33827,1672,50,1
1661,31,Private,59083,10,Married-civ-spouse,Husband,White,Male,0,1915,50,1
1662,43,Private,302041,9,Married-civ-spouse,Not-in-family,Black,Female,18096,0,40,1
1663,43,Private,302041,9,Married-civ-spouse,Not-in-family,Black,Female,89525,0,40,1
1664,28,Self-emp-inc,115705,10,Never-married,Not-in-family,White,Male,12430,1667,50,1
1665,28,Self-emp-inc,115705,10,Never-married,Not-in-family,White,Male,13685,0,50,1
1666,39,Private,282484,10,Married-civ-spouse,Own-child,White,Female,61123,0,40,1
1667,21,Private,282484,10,Married-civ-spouse,Other-relative,White,Female,82709,0,40,1
1668,34,Self-emp-inc,117963,13,Married-civ-spouse,Unmarried,White,Male,0,0,40,0
1669,34,Local-gov,117963,13,Widowed,Husband,White,Male,0,0,16,0
1670,36,Local-gov,110791,12,Separated,Unmarried,White,Female,55317,0,40,1
1671,36,Local-gov,110791,12,Married-spouse-absent,Unmarried,White,Female,93019,0,40,1
1672,32,State-gov,438711,10,Married-civ-spouse,Wife,Black,Female,27653,0,40,1
1673,32,State-gov,438711,10,Married-civ-spouse,Wife,Black,Female,38704,0,40,1
1674,19,Local-gov,311551,14,Married-civ-spouse,Husband,White,Female,7688,0,50,0
1675,19,Local-gov,311551,14,Married-civ-spouse,Husband,White,Male,7688,0,15,0
1676,57,Private,323573,9,Never-married,Wife,White,Female,11575,0,20,0
1677,40,Private,323573,9,Never-married,Wife,White,Female,46932,0,20,0
1678,46,Local-gov,88564,10,Married-civ-spouse,Husband,Asian-Pac-Islander,Male,68355,0,40,1
1679,46,Local-gov,88564,10,Married-civ-spouse,Husband,White,Male,30519,0,40,1
1680,47,Private,102308,5,Married-civ-spouse,Husband,Other,Male,0,0,40,0
