,age,workclass,fnlwgt,education-num,marital-status,relationship,race,sex,capital-gain,capital-loss,hours-per-week,income
2204,23,Private,211345,10,Never-married,Husband,White,Female,64004,0,40,1
2205,23,Private,211345,10,Never-married,Husband,White,Female,99028,0,40,1
2206,41,State-gov,66632,10,Divorced,Not-in-family,White,Male,37791,0,40,0
2207,41,Self-emp-not-inc,66632,10,Widowed,Not-in-family,White,Male,32513,0,40,1
2208,35,Private,138441,13,Divorced,Not-in-family,White,Male,0,0,40,0
2209,35,Private,138441,9,Married-civ-spouse,Other-relative,White,Male,0,0,40,0
2210,25,Self-emp-inc,198282,13,Married-civ-spouse,Husband,White,Male,0,0,60,0
2211,42,Self-emp-inc,198282,13,Married-civ-spouse,Own-child,White,Female,0,0,60,0
2212,46,Private,193748,7,Never-married,Not-in-family,White,Male,89390,0,15,0
2213,17,Private,193748,7,Never-married,Not-in-family,White,Male,94875,0,40,1
2214,50,Private,175804,7,Married-civ-spouse,Unmarried,White,Male,0,0,40,0
2215,50,Private,175804,6,Married-civ-spouse,Husband,White,Male,0,0,40,0
2216,32,Private,239824,13,Never-married,Not-in-family,White,Male,67620,1708,40,1
2217,32,Private,239824,13,Never-married,Not-in-family,White,Male,87724,0,40,1
2218,36,Private,174938,13,Widowed,Husband,Other,Male,0,1887,50,0
2219,36,Private,174938,13,Divorced,Husband,White,Female,0,1887,50,0
2220,55,Private,170050,10,Never-married,Not-in-family,White,Male,26190,0,40,1
2221,53,Private,170050,10,Never-married,Not-in-family,White,Male,90997,0,40,1
2222,43,Private,125833,13,Married-civ-spouse,Husband,Asian-Pac-Islander,Male,0,1931,40,1
2223,43,Private,125833,13,Married-civ-spouse,Husband,Asian-Pac-Islander,Male,14663,1234,40,1
2224,19,Private,62419,9,Married-civ-spouse,Husband,White,Male,13882,0,35,1
2225,19,Local-gov,62419,9,Married-civ-spouse,Husband,White,Male,45823,0,35,1
2226,32,Private,103573,10,Married-civ-spouse,Husband,White,Male,0,1933,40,1
2227,32,Private,103573,5,Married-civ-spouse,Husband,White,Male,0,2411,40,1
2228,38,Private,99065,13,Divorced,Unmarried,White,Female,0,0,50,0
2229,38,Private,99065,4,Never-married,Not-in-family,White,Female,0,404,50,0
2230,42,Private,68469,9,Married-civ-spouse,Husband,White,Male,31422,0,40,1
2231,42,Private,68469,9,Married-civ-spouse,Husband,White,Male,19346,0,40,1
2232,37,Self-emp-not-inc,181553,9,Married-civ-spouse,Not-in-family,White,Male,11058,0,50,1
2233,37,Local-gov,181553,9,Divorced,Not-in-family,White,Male,65373,0,50,1
2234,57,Local-gov,261584,10,Separated,Wife,Black,Female,58096,0,40,1
2235,57,Local-gov,261584,10,Separated,Wife,Black,Female,41089,0,40,1
2236,38,Federal-gov,104236,12,Divorced,Wife,White,Female,73796,0,40,1
2237,38,Federal-gov,104236,12,Married-civ-spouse,Unmarried,White,Female,62293,0,40,1
2238,32,Private,50753,9,Married-civ-spouse,Husband,White,Male,96426,0,40,1
2239,32,Private,50753,9,Married-civ-spouse,Own-child,White,Male,18245,0,40,1
2240,35,State-gov,211115,10,Never-married,Not-in-family,White,Male,42103,0,40,1
2241,35,State-gov,211115,10,Never-married,Not-in-family,Asian-Pac-Islander,Male,63198,0,40,1
2242,44,Private,138845,9,Married-civ-spouse,Husband,White,Male,73679,0,45,1
2243,44,Private,138845,9,Divorced,Husband,White,Male,53708,0,45,1
2244,23,Private,54472,10,Married-spouse-absent,Husband,White,Female,60331,0,50,1
2245,49,Private,54472,10,Married-spouse-absent,Not-in-family,White,Female,67661,0,50,0
2246,22,Self-emp-inc,437161,14,Married-civ-spouse,Unmarried,Black,Female,55864,0,40,0
2247,56,Self-emp-inc,437161,13,Married-civ-spouse,Unmarried,Black,Female,0,0,40,1
2248,27,Private,126060,13,Widowed,Not-in-family,White,Female,78644,0,40,1
2249,27,Private,126060,13,Never-married,Wife,White,Female,62266,0,40,0
2250,45,Private,261278,4,Married-civ-spouse,Own-child,Asian-Pac-Islander,Female,5178,0,40,0
2251,45,Private,261278,7,Married-spouse-absent,Wife,Asian-Pac-Islander,Female,5178,0,40,0
2252,53,Self-emp-not-inc,263925,13,Married-spouse-absent,Husband,Other,Male,0,0,40,0
2253,44,Self-emp-not-inc,263925,13,Married-civ-spouse,Other-relative,White,Male,0,0,40,0
2254,53,Local-gov,88506,13,Married-civ-spouse,Husband,White,Male,0,666,40,1
2255,53,Self-emp-not-inc,88506,13,Married-civ-spouse,Husband,White,Male,29020,0,45,1
2256,20,Federal-gov,169078,9,Married-civ-spouse,Husband,White,Male,4386,2296,40,0
2257,50,Self-emp-not-inc,169078,9,Married-spouse-absent,Husband,White,Male,4386,0,40,0
2258,51,Private,176756,10,Married-civ-spouse,Husband,White,Male,40244,0,40,1
2259,26,Private,176756,10,Married-civ-spouse,Husband,White,Male,63576,0,10,1
2260,31,Private,59083,10,Married-civ-spouse,Husband,White,Male,49566,1672,50,1
2261,31,Private,59083,10,Married-civ-spouse,Husband,White,Male,82427,1695,50,1
2262,43,Private,302041,9,Never-married,Not-in-family,White,Female,70390,0,40,1
2263,43,Private,302041,9,Never-married,Not-in-family,Amer-Indian-Eskimo,Female,95009,0,40,0
2264,28,Self-emp-inc,115705,10,Never-married,Not-in-family,White,Male,22656,0,16,0
2265,28,Self-emp-inc,115705,10,Married-civ-spouse,Not-in-family,White,Male,23666,0,50,1
2266,21,Private,282484,10,Never-married,Husband,White,Female,11766,0,40,1
2267,21,Private,282484,10,Never-married,Husband,White,Female,53792,0,40,1
2268,21,Local-gov,117963,13,Married-civ-spouse,Husband,White,Male,0,0,40,0
2269,34,Local-gov,117963,13,Married-civ-spouse,Wife,White,Male,0,0,15,0
2270,36,Local-gov,110791,12,Separated,Wife,White,Female,18894,0,40,1
2271,36,Local-gov,110791,12,Married-civ-spouse,Unmarried,White,Female,59767,0,40,1
2272,32,State-gov,438711,10,Married-civ-spouse,Wife,Black,Female,17861,0,40,0
2273,32,State-gov,438711,10,Married-civ-spouse,Wife,Black,Female,16405,999,40,1
2274,50,Local-gov,311551,6,Never-married,Husband,White,Male,7688,0,50,0
2275,20,Local-gov,311551,14,Married-civ-spouse,Husband,White,Male,1614,0,50,0
2276,20,Private,323573,9,Never-married,Husband,White,Female,60876,0,20,1
2277,20,Private,323573,9,Never-married,Husband,White,Female,77990,0,20,1
