,age,workclass,fnlwgt,education-num,marital-status,relationship,race,sex,capital-gain,capital-loss,hours-per-week,income
43332,44,State-gov,174373,1,Married-civ-spouse,Husband,White,Male,0,0,40,0
43333,44,Private,174373,7,Married-civ-spouse,Husband,White,Female,0,0,40,0
43334,70,Private,187891,7,Married-civ-spouse,Husband,White,Male,0,3383,40,0
43335,70,Private,187891,7,Married-civ-spouse,Husband,Asian-Pac-Islander,Male,13326,0,40,1
43336,17,Private,53611,8,Never-married,Own-child,White,Female,80765,1448,6,1
43337,17,Private,53611,8,Never-married,Own-child,White,Female,95234,0,6,1
43338,33,State-gov,291494,16,Married-civ-spouse,Not-in-family,White,Male,0,0,1,0
43339,33,State-gov,291494,1,Married-civ-spouse,Husband,White,Male,0,0,79,0
43340,62,Private,254534,10,Married-civ-spouse,Husband,Amer-Indian-Eskimo,Male,28320,0,40,1
43341,49,Private,254534,16,Married-civ-spouse,Husband,White,Male,0,0,40,1
43342,34,Private,175878,10,Never-married,Not-in-family,White,Male,95734,0,40,1
43343,34,Private,175878,10,Never-married,Not-in-family,White,Male,54433,0,40,1
43344,23,Private,202284,13,Never-married,Own-child,White,Male,88872,0,20,1
43345,23,Federal-gov,202284,13,Never-married,Own-child,White,Male,69263,0,20,1
43346,24,Private,137591,10,Never-married,Own-child,White,Male,93893,0,10,1
43347,24,Federal-gov,137591,10,Never-married,Own-child,White,Male,26047,0,10,1
43348,31,Local-gov,295589,10,Never-married,Own-child,Black,Male,59895,0,76,1
43349,31,Local-gov,295589,10,Never-married,Own-child,Black,Male,38612,0,40,1
43350,53,Private,68684,9,Married-civ-spouse,Husband,Other,Male,57859,0,40,1
43351,53,Private,68684,8,Married-civ-spouse,Husband,White,Male,0,0,65,1
43352,73,Private,159007,13,Divorced,Other-relative,White,Female,74053,0,12,1
43353,73,Private,159007,7,Divorced,Other-relative,White,Female,53551,0,12,1
43354,30,Private,200246,11,Never-married,Not-in-family,White,Male,72027,1097,40,1
43355,30,Private,200246,11,Never-married,Not-in-family,White,Male,46892,0,40,1
43356,35,Local-gov,283305,13,Never-married,Not-in-family,White,Female,0,3316,40,1
43357,76,Private,283305,13,Never-married,Not-in-family,White,Female,76111,0,40,1
43358,20,Private,471452,10,Never-married,Own-child,White,Male,22486,0,30,1
43359,20,Private,471452,10,Never-married,Own-child,White,Male,15665,0,30,1
43360,52,State-gov,109600,9,Never-married,Unmarried,White,Female,4787,0,44,0
43361,52,State-gov,109600,14,Married-spouse-absent,Own-child,Other,Female,4787,0,44,0
43362,53,Private,277772,9,Divorced,Unmarried,Black,Male,42349,0,40,1
43363,53,Private,277772,9,Divorced,Unmarried,Black,Female,28762,0,89,1
43364,35,Private,219902,9,Separated,Unmarried,Black,Female,58780,0,48,1
43365,35,Private,219902,9,Separated,Unmarried,Black,Female,81326,0,48,1
43366,51,Private,231919,7,Married-AF-spouse,Husband,White,Male,89361,0,45,1
43367,51,Private,231919,7,Married-civ-spouse,Husband,White,Male,30340,0,45,1
