,A15,A14,A13,A12,A11,A10,A9,A8,A7,A6,A5,A4,A3,A2,A1,A16
15961200,0,228.0,g,f,25,f,t,0.5,h,d,g,u,13.0,29.25,b,1
15961201,0,228.0,g,f,0,f,t,9.2,h,d,g,u,13.0,29.25,b,1
15961202,0,228.0,g,f,23,f,t,0.5,h,d,g,u,13.0,29.25,b,1
15961203,0,0.0,g,f,11,f,t,0.04,v,m,p,y,0.04,31.83,b,1
15961204,0,0.0,g,f,0,f,t,0.04,v,m,g,y,0.04,31.83,b,1
15961205,0,0.0,g,f,61,f,t,0.04,v,m,p,y,0.04,31.83,b,1
15961206,0,560.0,g,t,1,t,f,0.04,v,e,g,u,0.04,41.0,b,0
15961207,0,560.0,s,f,1,t,f,0.04,v,e,g,u,16.02,41.0,b,0
15961208,0,560.0,s,f,1,t,f,11.2,v,e,g,u,0.04,73.18,b,0
15961209,86326,163.0,g,t,0,f,t,0.25,bb,w,g,u,1.75,34.25,b,1
15961210,16242,163.0,g,t,0,f,t,0.25,bb,w,g,u,1.75,34.25,b,1
15961211,78815,163.0,g,t,0,f,t,0.25,j,w,g,u,1.75,34.25,b,1
15961212,0,204.0,g,f,6,t,f,4.25,v,m,g,u,2.75,33.58,b,0
15961213,18689,204.0,g,f,6,t,f,4.25,v,m,g,u,2.75,33.58,b,0
15961214,0,1862.6,g,f,6,t,f,4.25,v,m,g,u,2.75,33.58,b,0
15961215,44,300.0,g,f,0,f,f,0.375,v,cc,g,u,12.74,33.67,a,0
15961216,44,300.0,g,f,0,f,f,0.375,v,cc,g,y,0.375,25.83,a,0
15961217,44,300.0,s,f,0,f,f,5.1,v,cc,g,u,0.375,33.67,a,0
15961218,4208,1066.4,g,t,0,f,t,0.085,ff,ff,g,u,2.5,23.08,b,1
15961219,4208,100.0,g,t,0,f,t,0.085,ff,ff,g,u,2.5,51.39,b,1
15961220,4208,100.0,g,t,0,f,t,0.085,dd,ff,g,u,2.5,23.08,b,1
15961221,93044,140.0,g,t,3,t,t,1.375,o,c,p,y,1.25,20.67,b,1
15961222,210,140.0,g,t,49,t,t,1.375,n,c,p,y,1.25,20.67,b,1
15961223,210,545.7,g,t,3,t,t,1.375,h,c,p,y,1.25,20.67,b,1
15961224,5800,400.0,g,t,18,f,f,0.04,v,w,g,u,2.04,37.42,b,0
15961225,5800,400.0,g,t,0,f,f,0.04,v,w,g,l,2.04,37.42,b,0
15961226,5800,400.0,g,t,0,f,f,0.04,v,w,g,u,4.97,37.42,b,0
15961227,50201,0.0,g,t,0,f,t,1.25,h,k,p,y,12.5,26.17,b,1
15961228,17,0.0,g,t,0,f,t,1.25,h,k,p,u,12.5,26.17,b,1
15961229,17,0.0,g,t,0,f,t,1.25,h,k,g,y,12.5,26.17,b,1
15961230,13212,0.0,g,t,0,f,f,0.0,z,e,p,y,15.0,28.08,a,0
15961231,13212,0.0,g,f,46,f,f,0.0,z,e,p,y,15.0,28.08,a,0
15961232,13212,0.0,g,f,0,f,f,10.7,z,e,p,y,15.0,28.08,a,0
15961233,87,120.0,g,f,0,f,t,0.125,dd,ff,g,y,11.84,23.58,a,0
15961234,38877,120.0,g,f,45,f,t,0.125,ff,ff,p,l,0.585,23.58,a,1
15961235,68862,120.0,g,f,0,f,t,0.125,ff,q,p,u,0.585,23.58,a,1
15961236,27259,260.0,g,f,2,t,f,0.25,v,cc,p,y,0.585,27.75,b,0
15961237,500,260.0,g,f,47,t,f,0.25,v,cc,p,y,0.585,27.75,b,0
15961238,52504,260.0,g,f,2,t,f,0.25,v,cc,p,y,0.585,27.75,b,0
15961239,456,0.0,g,f,11,t,f,2.0,v,r,g,u,1.0,36.0,a,0
15961240,456,0.0,g,f,11,t,f,2.0,v,cc,g,u,1.0,36.0,a,0
15961241,456,0.0,g,f,11,t,f,2.0,v,c,g,u,1.0,46.49,a,0
15961242,690,352.0,g,t,5,t,f,1.75,v,j,g,u,0.75,16.08,b,0
15961243,690,352.0,g,t,5,t,f,1.75,v,e,g,u,0.75,16.08,b,0
15961244,690,352.0,g,t,5,t,f,15.7,v,c,g,u,0.75,16.08,b,0
15961245,600,40.0,g,t,6,t,f,9.9,v,w,g,u,9.5,18.83,a,0
15961246,600,40.0,g,f,6,t,f,1.625,v,w,g,u,9.5,18.83,a,0
15961247,600,528.4,g,t,6,t,f,1.625,v,w,g,u,9.5,18.83,a,0
15961248,284,290.0,g,f,11,t,f,2.125,h,w,g,u,11.5,23.08,b,0
15961249,18390,290.0,g,t,11,t,f,2.125,h,w,g,u,11.5,23.08,b,0
15961250,284,290.0,g,t,11,t,f,2.125,h,w,g,u,11.5,45.77,b,0
