,age,workclass,fnlwgt,education-num,marital-status,relationship,race,sex,capital-gain,capital-loss,hours-per-week,income
27442,44,Private,174373,12,Married-civ-spouse,Husband,White,Male,0,0,19,0
27443,44,Private,174373,9,Married-civ-spouse,Husband,White,Male,0,1033,40,0
27444,44,Private,174373,12,Married-civ-spouse,Husband,White,Male,0,0,22,0
27445,84,Private,174373,12,Married-civ-spouse,Husband,White,Male,0,0,40,0
27446,44,Private,174373,8,Married-civ-spouse,Husband,Asian-Pac-Islander,Male,0,0,40,0
27447,44,Private,174373,12,Married-civ-spouse,Husband,White,Male,0,2823,40,0
27448,44,Private,174373,12,Married-civ-spouse,Husband,Other,Male,0,0,17,0
27449,82,Private,174373,12,Married-civ-spouse,Husband,White,Male,0,0,40,0
27450,44,Self-emp-inc,174373,12,Married-civ-spouse,Husband,White,Male,0,978,40,0
27451,66,Private,174373,12,Never-married,Husband,White,Male,0,0,40,0
27452,44,Private,174373,12,Married-civ-spouse,Husband,White,Male,0,2235,23,0
27453,22,Private,174373,12,Married-civ-spouse,Husband,White,Male,0,0,88,0
27454,73,Private,174373,12,Married-civ-spouse,Own-child,White,Male,0,0,40,0
27455,46,Private,174373,11,Married-civ-spouse,Husband,White,Male,0,0,40,0
27456,44,Without-pay,174373,12,Married-civ-spouse,Husband,White,Male,0,0,53,0
27457,44,Private,174373,12,Married-civ-spouse,Husband,Other,Male,0,2258,40,0
27458,44,Private,174373,10,Married-civ-spouse,Husband,White,Male,0,0,40,0
27459,44,Private,174373,13,Married-civ-spouse,Husband,Other,Male,0,0,40,0
27460,44,Private,174373,12,Married-civ-spouse,Own-child,White,Male,0,0,92,0
27461,44,Private,174373,12,Married-civ-spouse,Not-in-family,White,Male,0,0,1,0
27462,44,Private,174373,12,Married-civ-spouse,Husband,White,Male,0,0,32,0
27463,44,Private,174373,12,Married-civ-spouse,Husband,Amer-Indian-Eskimo,Male,0,1710,40,0
27464,43,Private,174373,12,Married-spouse-absent,Husband,White,Male,0,0,40,0
