,age,workclass,fnlwgt,education-num,marital-status,relationship,race,sex,capital-gain,capital-loss,hours-per-week,income
999985000,85,Private,174373,12,Married-civ-spouse,Husband,White,Male,0,1426,40,0
999985001,70,Private,187891,7,Married-civ-spouse,Husband,White,Female,53733,0,40,1
999985002,17,Private,53611,8,Never-married,Husband,White,Female,68762,0,6,1
999985003,33,State-gov,291494,16,Never-married,Husband,White,Male,0,0,72,0
999985004,84,Private,254534,10,Married-civ-spouse,Husband,White,Male,19759,0,40,1
999985005,34,Private,175878,10,Never-married,Not-in-family,White,Male,57075,0,36,1
999985006,23,Private,219267,13,Never-married,Own-child,White,Male,40591,0,20,1
999985007,24,Private,137591,10,Never-married,Own-child,White,Male,22164,0,10,1
999985008,31,Local-gov,295589,10,Never-married,Own-child,Black,Male,20530,0,40,1
999985009,53,Private,68684,9,Married-civ-spouse,Husband,White,Male,77388,0,40,1
999985010,73,Private,157569,13,Divorced,Other-relative,White,Female,36339,0,12,1
999985011,30,Private,200246,8,Never-married,Not-in-family,White,Male,58616,0,40,1
999985012,35,Private,283305,13,Never-married,Not-in-family,White,Female,0,2553,60,1
999985013,20,Private,121037,10,Never-married,Own-child,White,Male,54035,0,30,1
999985014,66,State-gov,109600,14,Married-spouse-absent,Unmarried,White,Female,4787,0,14,0
999985015,53,Private,277772,9,Divorced,Unmarried,Black,Female,50769,0,40,1
999985016,35,Private,219902,9,Separated,Unmarried,Black,Female,14132,0,48,1
999985017,51,Private,231919,7,Married-civ-spouse,Husband,White,Male,75585,229,45,1
999985018,64,Private,183513,9,Never-married,Not-in-family,White,Female,22530,0,40,1
999985019,19,Private,112780,10,Never-married,Own-child,Asian-Pac-Islander,Female,68950,0,20,1
999985020,26,Local-gov,142506,13,Never-married,Unmarried,Black,Female,84487,0,35,1
999985021,19,Federal-gov,201743,10,Never-married,Own-child,White,Female,40003,0,26,1
999985022,27,Private,188941,10,Married-civ-spouse,Husband,White,Male,28712,3049,40,1
999985023,60,Private,225883,10,Widowed,Unmarried,White,Female,27780,0,27,1
999985024,41,Local-gov,125268,13,Never-married,Unmarried,Black,Female,19621,484,40,1
999985025,24,Private,109307,9,Never-married,Own-child,White,Male,81253,0,45,1
999985026,34,Private,236543,10,Never-married,Not-in-family,Other,Male,61318,1590,40,1
999985027,19,Private,303652,9,Never-married,Unmarried,Amer-Indian-Eskimo,Female,22372,0,30,1
999985028,48,Private,158685,9,Divorced,Husband,White,Female,10600,0,16,1
999985029,51,Private,328466,7,Married-civ-spouse,Husband,White,Male,48737,0,70,1
999985030,48,Local-gov,85341,13,Married-civ-spouse,Husband,White,Male,41657,0,45,1
999985031,41,State-gov,33474,13,Widowed,Husband,White,Male,27057,0,50,1
999985032,29,Self-emp-inc,77322,9,Never-married,Not-in-family,White,Female,36656,0,32,1
999985033,28,Self-emp-inc,192591,13,Never-married,Not-in-family,White,Female,74424,0,45,1
999985034,63,Private,163809,10,Widowed,Not-in-family,White,Female,98112,3025,20,1
999985035,33,Private,243674,9,Separated,Not-in-family,White,Male,26043,0,46,1
999985036,47,Local-gov,183486,13,Married-civ-spouse,Husband,White,Female,0,0,88,0
999985037,23,Private,238917,3,Never-married,Other-relative,White,Male,93183,0,58,1
999985038,29,Private,206351,6,Married-civ-spouse,Husband,White,Male,61932,0,40,1
999985039,52,Private,101266,12,Married-civ-spouse,Husband,White,Female,0,0,40,1
999985040,29,Private,195284,16,Divorced,Not-in-family,Black,Male,0,0,60,0
999985041,63,Private,311269,9,Divorced,Not-in-family,White,Male,46757,0,40,1
999985042,36,Local-gov,101833,13,Separated,Not-in-family,White,Male,81441,0,40,1
999985043,37,Federal-gov,328947,13,Married-civ-spouse,Husband,White,Male,0,0,40,1
999985044,46,Private,291904,8,Married-civ-spouse,Husband,White,Male,0,0,60,1
999985045,27,Private,332187,13,Never-married,Not-in-family,White,Female,25211,0,65,1
999985046,41,Private,287037,1,Never-married,Not-in-family,White,Male,22854,0,40,1
999985047,21,Private,180690,9,Never-married,Other-relative,White,Male,62138,0,40,1
999985048,53,Private,85423,6,Married-civ-spouse,Unmarried,White,Male,0,0,40,0
999985049,36,Federal-gov,41624,6,Married-civ-spouse,Husband,White,Male,57106,0,70,1
999985050,22,Private,190297,13,Married-civ-spouse,Husband,White,Male,0,0,45,0
999985051,20,Private,55465,9,Divorced,Own-child,White,Male,83589,0,35,1
999985052,44,Local-gov,212665,10,Married-AF-spouse,Husband,Black,Male,0,2551,99,1
999985053,76,Private,26248,13,Married-civ-spouse,Husband,White,Male,0,0,30,0
999985054,49,Private,119182,9,Separated,Not-in-family,Black,Female,25331,465,35,1
999985055,44,Private,222703,4,Married-civ-spouse,Husband,Other,Male,41458,0,40,1
999985056,21,Private,221480,10,Never-married,Own-child,White,Female,9191,0,25,1
999985057,36,Private,68089,9,Never-married,Unmarried,Amer-Indian-Eskimo,Female,42498,0,40,1
999985058,38,Private,354739,11,Married-civ-spouse,Husband,Asian-Pac-Islander,Female,0,1637,36,0
999985059,24,Private,97676,10,Married-civ-spouse,Husband,White,Male,42396,0,40,1
999985060,30,Private,232356,13,Married-civ-spouse,Husband,White,Male,0,0,15,0
999985061,47,Private,185385,9,Married-civ-spouse,Husband,White,Male,86852,0,24,1
999985062,24,Private,327127,9,Never-married,Not-in-family,White,Female,91516,0,40,1
999985063,46,Private,117310,12,Widowed,Unmarried,Other,Female,61127,0,40,1
999985064,47,Self-emp-not-inc,202652,9,Married-civ-spouse,Husband,Amer-Indian-Eskimo,Male,0,0,50,0
999985065,27,Private,183511,9,Married-civ-spouse,Husband,White,Male,16931,2076,40,1
999985066,57,Private,62539,9,Divorced,Unmarried,White,Female,85050,1876,38,1
999985067,32,Private,190762,12,Divorced,Unmarried,White,Female,0,2633,40,1
999985068,60,Private,389254,9,Married-civ-spouse,Not-in-family,White,Male,0,0,55,0
999985069,38,Self-emp-inc,269318,10,Widowed,Unmarried,White,Male,7298,0,40,0
999985070,69,Self-emp-not-inc,69306,10,Married-civ-spouse,Wife,White,Female,51487,0,15,1
999985071,54,Private,83517,5,Never-married,Not-in-family,White,Male,17660,0,40,1
999985072,26,Private,248057,9,Separated,Unmarried,White,Male,74660,0,40,1
999985073,20,Private,57852,16,Never-married,Husband,White,Male,0,0,55,0
999985074,38,Self-emp-not-inc,116903,10,Divorced,Not-in-family,White,Male,31259,0,40,1
999985075,78,Self-emp-inc,213140,10,Married-civ-spouse,Not-in-family,White,Male,0,0,40,0
999985076,32,Private,107218,13,Never-married,Not-in-family,Asian-Pac-Islander,Male,15103,0,40,1
999985077,42,Private,398988,13,Never-married,Not-in-family,White,Male,69852,0,40,1
999985078,48,Private,322183,9,Married-civ-spouse,Husband,White,Male,0,1269,86,0
999985079,45,Private,306889,1,Married-civ-spouse,Wife,White,Female,0,0,40,0
999985080,32,Private,53260,9,Divorced,Unmarried,Other,Female,64205,0,28,1
999985081,31,Self-emp-not-inc,442429,9,Separated,Unmarried,White,Female,25138,0,40,1
999985082,27,Private,194690,5,Never-married,Own-child,White,Male,21195,0,50,1
999985083,27,Private,187450,13,Married-civ-spouse,Husband,White,Male,8041,2564,50,1
999985084,71,Self-emp-inc,340110,10,Married-civ-spouse,Unmarried,White,Male,0,0,50,0
999985085,24,Local-gov,115222,14,Never-married,Not-in-family,Black,Male,4363,0,40,0
999985086,42,Private,198422,10,Never-married,Own-child,White,Female,48837,0,40,1
999985087,59,Self-emp-inc,159048,9,Divorced,Not-in-family,White,Female,28809,0,40,1
999985088,23,Private,224954,6,Never-married,Own-child,White,Male,23177,0,25,1
999985089,85,Private,79619,13,Married-civ-spouse,Husband,White,Male,0,0,42,0
999985090,50,Private,40623,10,Divorced,Not-in-family,White,Female,51348,0,40,1
999985091,46,Private,194740,10,Married-civ-spouse,Husband,White,Male,0,0,55,1
999985092,28,Private,30070,13,Married-civ-spouse,Husband,Asian-Pac-Islander,Male,23760,0,50,1
999985093,46,Private,360096,13,Married-civ-spouse,Husband,White,Male,1042,1289,1,0
999985094,42,Without-pay,74334,14,Married-AF-spouse,Husband,Amer-Indian-Eskimo,Male,0,0,40,0
999985095,41,Private,206619,9,Separated,Not-in-family,White,Female,36510,0,40,1
999985096,41,Private,194360,14,Married-civ-spouse,Husband,White,Male,0,698,40,0
999985097,39,Private,30673,10,Divorced,Other-relative,Black,Male,0,0,50,0
999985098,63,Private,205246,9,Married-civ-spouse,Husband,Black,Male,35168,0,40,1
999985099,34,Private,302868,10,Divorced,Husband,White,Male,5178,0,40,0
999985100,32,Private,128567,10,Never-married,Own-child,White,Female,27232,0,38,1
999985101,45,Self-emp-not-inc,170148,13,Married-civ-spouse,Husband,White,Male,0,0,50,0
999985102,42,Private,276218,13,Divorced,Unmarried,White,Female,55225,2747,38,1
999985103,73,Private,212588,4,Married-civ-spouse,Husband,White,Male,0,0,50,0
999985104,90,Private,319422,10,Married-civ-spouse,Husband,White,Male,94077,0,60,1
999985105,40,Private,217120,6,Divorced,Husband,White,Male,0,2686,50,1
999985106,31,Private,87418,11,Married-civ-spouse,Husband,White,Male,11926,0,40,1
999985107,48,Self-emp-inc,216214,2,Married-civ-spouse,Unmarried,White,Male,3103,0,40,0
999985108,34,Private,176673,10,Never-married,Other-relative,Black,Female,60529,0,35,1
999985109,38,Private,110669,10,Married-civ-spouse,Husband,Black,Male,0,0,58,0
999985110,21,Private,243842,9,Married-civ-spouse,Husband,White,Male,35720,0,40,1
999985111,29,Private,149324,10,Married-civ-spouse,Husband,Other,Male,0,1485,40,0
999985112,43,Self-emp-inc,210013,10,Never-married,Not-in-family,White,Female,0,3263,50,0
999985113,21,Private,100462,11,Never-married,Own-child,Other,Female,26823,0,60,1
999985114,48,Private,204990,14,Never-married,Unmarried,Black,Female,57847,0,33,1
999985115,36,State-gov,180220,15,Married-civ-spouse,Husband,White,Male,0,2055,50,1
999985116,47,Private,113501,7,Married-AF-spouse,Wife,Black,Female,0,0,40,1
999985117,47,Private,119199,10,Divorced,Unmarried,White,Female,44305,0,40,1
999985118,23,Federal-gov,244480,10,Never-married,Unmarried,White,Female,91417,2614,15,1
999985119,43,Self-emp-not-inc,355856,13,Married-civ-spouse,Husband,Asian-Pac-Islander,Male,53260,127,50,1
999985120,47,State-gov,306473,12,Married-civ-spouse,Husband,White,Male,99305,0,40,1
999985121,55,Without-pay,176012,5,Married-civ-spouse,Wife,White,Female,0,1979,23,1
999985122,17,Private,142912,6,Never-married,Own-child,White,Male,85941,0,96,1
999985123,64,Federal-gov,161926,9,Married-civ-spouse,Husband,White,Male,6322,0,8,1
999985124,72,Self-emp-not-inc,207889,4,Married-civ-spouse,Husband,White,Male,72070,0,50,1
999985125,19,State-gov,67874,11,Married-civ-spouse,Husband,White,Male,0,1887,45,0
999985126,45,State-gov,320818,10,Married-spouse-absent,Other-relative,Black,Male,69187,1532,40,1
999985127,26,Private,180246,10,Married-civ-spouse,Husband,White,Male,2442,0,67,0
999985128,64,Private,237581,4,Married-civ-spouse,Husband,White,Male,0,1508,48,0
999985129,43,Private,443336,9,Married-civ-spouse,Unmarried,White,Female,0,0,36,0
999985130,44,Self-emp-not-inc,144125,13,Divorced,Not-in-family,White,Female,79383,0,40,1
999985131,45,State-gov,183710,5,Divorced,Not-in-family,White,Male,42813,0,48,1
999985132,51,Federal-gov,97934,2,Married-spouse-absent,Husband,White,Male,5178,0,40,0
999985133,41,Private,169823,9,Married-civ-spouse,Husband,White,Female,0,0,46,0
999985134,19,Local-gov,184207,10,Never-married,Not-in-family,White,Male,30324,0,40,1
999985135,20,Private,190661,6,Never-married,Unmarried,White,Male,62653,0,50,1
999985136,53,Self-emp-not-inc,188278,13,Married-civ-spouse,Husband,White,Male,0,0,55,1
999985137,53,Private,228752,11,Separated,Not-in-family,Black,Female,51516,0,40,1
999985138,22,Federal-gov,104443,10,Never-married,Own-child,Other,Female,48727,0,20,1
999985139,49,Self-emp-not-inc,99335,10,Married-civ-spouse,Husband,White,Male,71038,0,50,1
999985140,25,Private,203279,11,Married-civ-spouse,Unmarried,White,Male,0,0,56,0
999985141,78,Self-emp-not-inc,253267,3,Separated,Unmarried,White,Female,96623,0,35,1
999985142,32,Without-pay,196125,9,Married-civ-spouse,Husband,White,Male,0,0,40,0
999985143,57,Self-emp-not-inc,181435,7,Divorced,Unmarried,White,Male,4650,3447,50,1
999985144,31,Private,198103,9,Never-married,Own-child,White,Male,97459,0,8,1
999985145,49,Self-emp-inc,127111,9,Married-civ-spouse,Husband,White,Male,0,2880,50,1
999985146,37,Private,358753,7,Married-civ-spouse,Husband,White,Male,99907,3757,40,1
999985147,39,Private,367260,9,Divorced,Not-in-family,White,Male,92559,0,80,1
999985148,40,Local-gov,39581,15,Separated,Own-child,Black,Female,14235,0,40,1
999985149,75,Self-emp-not-inc,31428,9,Married-civ-spouse,Husband,White,Male,53506,0,40,1
999985150,51,Private,311974,2,Never-married,Other-relative,White,Male,50299,0,40,1
999985151,33,Private,200246,10,Married-spouse-absent,Not-in-family,White,Male,76229,55,40,1
999985152,35,Private,112264,9,Married-civ-spouse,Wife,White,Male,14426,0,50,1
999985153,43,Self-emp-not-inc,171351,12,Married-civ-spouse,Husband,White,Male,93479,0,20,1
999985154,59,Private,192671,7,Married-civ-spouse,Husband,White,Male,3319,0,20,0
999985155,62,Private,81534,10,Married-civ-spouse,Husband,Other,Male,0,0,62,0
999985156,35,Private,190895,10,Married-civ-spouse,Husband,Amer-Indian-Eskimo,Male,79568,0,60,1
999985157,54,Self-emp-not-inc,118365,6,Divorced,Not-in-family,Black,Female,78105,0,61,1
999985158,43,Private,301007,14,Married-civ-spouse,Husband,White,Male,3645,832,50,0
999985159,27,Self-emp-inc,190911,8,Never-married,Own-child,White,Male,22824,0,45,1
999985160,36,Local-gov,113443,14,Divorced,Not-in-family,White,Female,2860,0,33,0
999985161,23,Private,107882,13,Never-married,Own-child,White,Female,0,2441,50,1
999985162,68,State-gov,237735,9,Married-civ-spouse,Husband,White,Male,3103,0,40,0
999985163,17,Private,118792,7,Never-married,Own-child,White,Female,62947,0,9,1
999985164,36,Private,257691,4,Never-married,Not-in-family,White,Female,32876,0,20,1
999985165,26,Private,109457,6,Married-civ-spouse,Other-relative,White,Male,63130,0,61,1
999985166,36,Self-emp-inc,132879,8,Separated,Husband,White,Male,0,1887,40,0
999985167,30,Private,19302,10,Separated,Unmarried,White,Male,7688,0,40,0
999985168,34,Federal-gov,70466,11,Divorced,Not-in-family,White,Male,47846,0,40,1
999985169,44,State-gov,174675,9,Married-civ-spouse,Wife,White,Female,0,0,96,0
999985170,39,Private,122032,11,Never-married,Unmarried,White,Male,29894,0,40,1
999985171,48,State-gov,355645,14,Separated,Husband,White,Male,0,0,60,1
999985172,33,Private,37274,10,Married-civ-spouse,Husband,White,Male,77241,0,40,1
999985173,51,Federal-gov,163671,13,Married-civ-spouse,Husband,White,Male,0,1729,40,1
999985174,19,Private,119075,10,Never-married,Own-child,White,Male,88537,0,50,1
999985175,57,State-gov,273435,9,Married-civ-spouse,Husband,White,Male,0,0,40,1
999985176,47,Private,216093,9,Married-civ-spouse,Husband,White,Male,3105,0,40,0
999985177,46,Private,266337,11,Married-spouse-absent,Unmarried,White,Male,0,2863,40,1
999985178,42,Private,192569,15,Divorced,Unmarried,White,Female,0,695,39,0
999985179,39,Self-emp-inc,188069,11,Never-married,Husband,White,Female,0,0,60,0
999985180,73,Private,432565,11,Married-civ-spouse,Other-relative,White,Female,0,0,40,0
999985181,20,Private,162282,10,Never-married,Own-child,White,Male,85572,0,60,1
999985182,48,Private,121253,4,Married-spouse-absent,Other-relative,White,Female,0,2472,70,0
999985183,37,Self-emp-not-inc,202683,9,Married-civ-spouse,Husband,White,Male,97934,0,40,1
999985184,22,Private,385077,9,Never-married,Own-child,White,Male,44621,0,40,1
999985185,29,Private,201022,5,Married-civ-spouse,Wife,Black,Female,0,0,50,0
999985186,34,Private,32528,11,Married-spouse-absent,Unmarried,White,Female,50728,2531,40,1
999985187,47,Private,304133,10,Married-civ-spouse,Husband,White,Male,85088,1766,45,1
999985188,82,Private,294720,7,Never-married,Own-child,White,Male,26750,0,12,1
999985189,32,Private,175856,10,Married-civ-spouse,Husband,White,Male,75094,0,40,1
999985190,51,Private,158746,13,Married-civ-spouse,Husband,Other,Male,0,1709,60,0
999985191,61,Private,122246,8,Married-civ-spouse,Wife,White,Female,51536,0,40,1
999985192,37,State-gov,191779,10,Widowed,Husband,White,Male,7771,0,40,1
