,status,duration,credit_history,purpose,amount,savings,employment_duration,installment_rate,personal_status_sex,other_debtors,present_residence,property,age,other_installment_plans,housing,number_credits,job,people_liable,telephone,foreign_worker,credit_risk
639,0,24,no credits taken/all credits paid back duly,car (used),3345,unknown/no savings account,4,0,male : married/widowed,none,2,car or other,39,none,own,1,manager/self-empl./highly qualif. employee,0 to 2,yes (under customer name),no,1
640,1,24,no credits taken/all credits paid back duly,others,3345,unknown/no savings account,4,3,male : married/widowed,none,2,car or other,39,none,for free,1,manager/self-empl./highly qualif. employee,0 to 2,yes (under customer name),no,1
641,0,36,existing credits paid back duly till now,retraining,9572,500 <= ... < 1000 DM,3,3,male : divorced/separated,none,3,building soc. savings agr./life insurance,28,none,rent,3-Feb,skilled employee/official,0 to 2,no,no,1
642,0,8,existing credits paid back duly till now,retraining,9572,... >= 1000 DM,1,3,male : divorced/separated,none,3,building soc. savings agr./life insurance,28,none,rent,3-Feb,skilled employee/official,0 to 2,no,no,1
643,0,21,no credits taken/all credits paid back duly,vacation,15383,unknown/no savings account,2,3,male : married/widowed,none,1,building soc. savings agr./life insurance,51,none,own,1,skilled employee/official,0 to 2,no,no,0
644,0,24,critical account/other credits elsewhere,repairs,12145,unknown/no savings account,2,3,male : married/widowed,none,1,car or other,26,none,rent,1,skilled employee/official,0 to 2,no,no,0
645,0,6,no credits taken/all credits paid back duly,car (used),4611,unknown/no savings account,4,3,female : non-single or male : single,none,0,car or other,32,bank,rent,1,skilled employee/official,0 to 2,no,no,1
646,3,6,no credits taken/all credits paid back duly,car (used),4611,unknown/no savings account,1,3,female : non-single or male : single,none,0,real estate,32,none,rent,1,skilled employee/official,0 to 2,no,no,1
647,1,48,all credits at this bank paid back duly,car (new),1738,unknown/no savings account,4,0,male : married/widowed,none,0,real estate,46,none,own,3-Feb,skilled employee/official,0 to 2,yes (under customer name),yes,0
648,1,48,all credits at this bank paid back duly,car (new),6331,unknown/no savings account,0,0,male : married/widowed,none,0,real estate,46,none,own,3-Feb,skilled employee/official,3 or more,yes (under customer name),no,1
649,1,6,all credits at this bank paid back duly,car (used),3384,unknown/no savings account,2,3,male : divorced/separated,none,0,unknown / no property,44,bank,for free,1,skilled employee/official,0 to 2,yes (under customer name),no,1
650,3,6,all credits at this bank paid back duly,car (used),3384,unknown/no savings account,2,3,male : divorced/separated,none,0,unknown / no property,44,none,own,1,manager/self-empl./highly qualif. employee,0 to 2,yes (under customer name),no,1
