,status,duration,credit_history,purpose,amount,savings,employment_duration,installment_rate,personal_status_sex,other_debtors,present_residence,property,age,other_installment_plans,housing,number_credits,job,people_liable,telephone,foreign_worker,credit
1899,2,12,critical account/other credits elsewhere,others,1995,unknown/no savings account,1,0,male : married/widowed,none,3,building soc. savings agr./life insurance,27,none,rent,1,skilled employee/official,0 to 2,no,no,0
1900,2,12,critical account/other credits elsewhere,others,1995,... <  100 DM,1,0,male : married/widowed,none,3,car or other,27,none,rent,1,skilled employee/official,0 to 2,no,no,0
1901,2,12,critical account/other credits elsewhere,others,1995,... <  100 DM,1,0,female : non-single or male : single,none,3,building soc. savings agr./life insurance,27,none,rent,1,skilled employee/official,0 to 2,no,no,0
1902,2,12,delay in paying off in the past,others,1995,... <  100 DM,1,0,female : single,none,3,building soc. savings agr./life insurance,27,none,rent,1,skilled employee/official,0 to 2,no,no,0
1903,2,12,delay in paying off in the past,others,1995,... <  100 DM,1,0,male : married/widowed,none,3,building soc. savings agr./life insurance,27,none,own,1,skilled employee/official,0 to 2,no,no,0
1904,1,15,critical account/other credits elsewhere,car (used),2186,... >= 1000 DM,3,3,female : non-single or male : single,none,0,car or other,33,bank,own,3-Feb,unemployed/unskilled - non-resident,3 or more,no,no,0
1905,2,15,delay in paying off in the past,car (used),2186,100 <= ... <  500 DM,3,1,female : non-single or male : single,co-applicant,0,real estate,33,bank,for free,1,manager/self-empl./highly qualif. employee,0 to 2,no,no,0
1906,3,42,no credits taken/all credits paid back duly,car (used),13756,... >= 1000 DM,3,0,female : non-single or male : single,none,1,unknown / no property,53,none,for free,1,unskilled - resident,0 to 2,yes (under customer name),no,0
1907,1,15,critical account/other credits elsewhere,car (used),2186,... >= 1000 DM,3,3,female : non-single or male : single,none,0,car or other,33,bank,own,3-Feb,unskilled - resident,3 or more,no,no,0
1908,2,15,no credits taken/all credits paid back duly,car (used),2186,100 <= ... <  500 DM,3,1,female : non-single or male : single,co-applicant,0,real estate,33,bank,for free,1,manager/self-empl./highly qualif. employee,0 to 2,no,no,0
1909,2,24,critical account/other credits elsewhere,repairs,1927,... >= 1000 DM,2,1,female : non-single or male : single,none,2,real estate,33,none,rent,3-Feb,skilled employee/official,0 to 2,yes (under customer name),no,0
1910,1,24,critical account/other credits elsewhere,repairs,1352,... >= 1000 DM,0,1,female : non-single or male : single,none,2,building soc. savings agr./life insurance,33,none,rent,3-Feb,skilled employee/official,0 to 2,yes (under customer name),no,0
1911,2,48,all credits at this bank paid back duly,repairs,1927,... >= 1000 DM,2,1,female : non-single or male : single,none,2,real estate,33,stores,rent,3-Feb,skilled employee/official,0 to 2,yes (under customer name),no,0
1912,2,24,critical account/other credits elsewhere,repairs,1927,... >= 1000 DM,2,1,female : non-single or male : single,none,2,real estate,33,none,rent,5-Apr,skilled employee/official,0 to 2,yes (under customer name),no,0
1913,3,24,all credits at this bank paid back duly,repairs,1927,unknown/no savings account,2,0,female : non-single or male : single,none,2,unknown / no property,33,none,rent,3-Feb,skilled employee/official,0 to 2,yes (under customer name),no,0
1914,1,48,no credits taken/all credits paid back duly,car (used),2136,unknown/no savings account,3,1,male : married/widowed,none,2,unknown / no property,25,none,rent,1,skilled employee/official,0 to 2,no,no,0
1915,1,72,no credits taken/all credits paid back duly,furniture/equipment,2136,unknown/no savings account,2,1,male : married/widowed,none,2,unknown / no property,25,none,rent,1,skilled employee/official,0 to 2,no,no,0
1916,1,72,no credits taken/all credits paid back duly,car (used),2136,unknown/no savings account,2,1,male : married/widowed,none,2,unknown / no property,25,none,rent,1,skilled employee/official,0 to 2,no,no,0
1917,1,54,no credits taken/all credits paid back duly,car (used),2136,unknown/no savings account,2,1,male : married/widowed,none,2,unknown / no property,25,none,rent,1,skilled employee/official,0 to 2,no,no,0
1918,1,72,delay in paying off in the past,car (used),2136,unknown/no savings account,2,1,male : married/widowed,none,2,unknown / no property,25,none,rent,1,skilled employee/official,0 to 2,no,no,0
