,status,duration,credit_history,purpose,amount,savings,employment_duration,installment_rate,personal_status_sex,other_debtors,present_residence,property,age,other_installment_plans,housing,number_credits,job,people_liable,telephone,foreign_worker,credit_risk
799,1,5,existing credits paid back duly till now,others,1333,unknown/no savings account,0,0,male : married/widowed,none,2,unknown / no property,43,none,own,3-Feb,skilled employee/official,3 or more,no,no,1
800,1,10,no credits taken/all credits paid back duly,others,1333,unknown/no savings account,0,0,male : married/widowed,none,2,unknown / no property,43,none,own,3-Feb,skilled employee/official,3 or more,no,no,1
801,2,12,no credits taken/all credits paid back duly,furniture/equipment,10695,unknown/no savings account,1,3,female : single,none,3,unknown / no property,23,none,for free,1,skilled employee/official,0 to 2,no,no,1
802,2,12,no credits taken/all credits paid back duly,furniture/equipment,8691,unknown/no savings account,1,3,female : single,none,3,unknown / no property,23,none,for free,1,unskilled - resident,0 to 2,no,no,1
803,1,36,all credits at this bank paid back duly,car (new),1479,unknown/no savings account,3,0,male : married/widowed,none,0,building soc. savings agr./life insurance,24,none,rent,3-Feb,unskilled - resident,0 to 2,yes (under customer name),no,1
804,0,9,all credits at this bank paid back duly,car (new),9629,unknown/no savings account,3,0,male : married/widowed,none,0,building soc. savings agr./life insurance,24,none,rent,3-Feb,skilled employee/official,0 to 2,yes (under customer name),no,1
805,3,6,critical account/other credits elsewhere,repairs,1047,unknown/no savings account,2,2,female : non-single or male : single,none,0,car or other,20,none,own,1,unskilled - resident,0 to 2,no,no,0
806,3,30,all credits at this bank paid back duly,repairs,7195,unknown/no savings account,2,2,female : non-single or male : single,none,0,car or other,25,none,rent,1,unskilled - resident,0 to 2,no,no,0
807,3,24,no credits taken/all credits paid back duly,others,1442,unknown/no savings account,3,0,female : non-single or male : single,none,0,building soc. savings agr./life insurance,74,none,for free,3-Feb,skilled employee/official,0 to 2,no,no,1
808,2,24,no credits taken/all credits paid back duly,business,1442,unknown/no savings account,3,0,female : non-single or male : single,none,0,building soc. savings agr./life insurance,23,none,for free,3-Feb,skilled employee/official,0 to 2,no,no,1
809,2,30,existing credits paid back duly till now,retraining,4280,... <  100 DM,2,0,female : non-single or male : single,none,0,building soc. savings agr./life insurance,26,none,rent,3-Feb,unskilled - resident,0 to 2,no,no,1
810,2,30,delay in paying off in the past,retraining,4280,500 <= ... < 1000 DM,2,0,female : non-single or male : single,none,0,building soc. savings agr./life insurance,26,none,rent,3-Feb,unskilled - resident,0 to 2,no,no,1
811,1,12,no credits taken/all credits paid back duly,radio/television,741,... <  100 DM,0,0,female : non-single or male : single,none,1,car or other,63,none,rent,1,skilled employee/official,0 to 2,no,yes,1
812,1,12,no credits taken/all credits paid back duly,radio/television,741,... <  100 DM,0,0,female : non-single or male : single,none,1,car or other,22,none,rent,1,skilled employee/official,0 to 2,no,yes,1
813,1,30,no credits taken/all credits paid back duly,others,640,unknown/no savings account,2,0,male : divorced/separated,none,2,unknown / no property,49,stores,rent,1,unskilled - resident,0 to 2,no,no,0
814,2,12,critical account/other credits elsewhere,others,640,unknown/no savings account,2,0,male : divorced/separated,none,2,unknown / no property,49,bank,rent,1,unskilled - resident,0 to 2,no,no,0
815,2,12,critical account/other credits elsewhere,business,3206,100 <= ... <  500 DM,3,1,male : divorced/separated,none,1,real estate,36,none,rent,1,manager/self-empl./highly qualif. employee,0 to 2,yes (under customer name),no,0
816,2,12,existing credits paid back duly till now,others,12819,100 <= ... <  500 DM,0,1,male : divorced/separated,none,1,building soc. savings agr./life insurance,36,none,rent,1,manager/self-empl./highly qualif. employee,0 to 2,yes (under customer name),no,0
817,3,8,all credits at this bank paid back duly,others,1530,unknown/no savings account,2,1,male : married/widowed,none,2,car or other,32,bank,rent,3-Feb,skilled employee/official,0 to 2,no,no,1
818,2,18,all credits at this bank paid back duly,others,1530,unknown/no savings account,2,1,male : married/widowed,none,2,car or other,32,stores,rent,3-Feb,skilled employee/official,0 to 2,no,no,1
819,2,48,no credits taken/all credits paid back duly,furniture/equipment,3060,... >= 1000 DM,3,0,female : single,none,0,unknown / no property,28,none,rent,3-Feb,skilled employee/official,0 to 2,no,no,1
820,2,9,no credits taken/all credits paid back duly,furniture/equipment,3060,unknown/no savings account,3,0,male : married/widowed,none,0,unknown / no property,28,none,rent,3-Feb,manager/self-empl./highly qualif. employee,0 to 2,no,no,1
821,1,15,no credits taken/all credits paid back duly,others,15613,unknown/no savings account,1,0,female : non-single or male : single,guarantor,3,car or other,46,none,for free,1,skilled employee/official,0 to 2,no,no,0
822,1,36,no credits taken/all credits paid back duly,car (used),9949,unknown/no savings account,1,0,female : non-single or male : single,guarantor,3,car or other,46,none,for free,1,skilled employee/official,0 to 2,no,no,0
823,2,72,delay in paying off in the past,retraining,8597,unknown/no savings account,3,3,male : married/widowed,none,0,unknown / no property,74,none,own,1,unskilled - resident,0 to 2,no,no,0
824,3,5,no credits taken/all credits paid back duly,car (used),13210,unknown/no savings account,3,3,male : married/widowed,none,3,car or other,74,none,rent,1,manager/self-empl./highly qualif. employee,0 to 2,no,no,0
825,0,18,all credits at this bank paid back duly,others,2775,unknown/no savings account,3,2,male : married/widowed,none,2,car or other,31,none,rent,3-Feb,skilled employee/official,0 to 2,no,yes,1
826,3,15,all credits at this bank paid back duly,others,2775,unknown/no savings account,3,2,male : married/widowed,none,2,car or other,31,bank,rent,3-Feb,skilled employee/official,0 to 2,no,no,1
827,1,12,no credits taken/all credits paid back duly,car (used),652,unknown/no savings account,1,1,female : non-single or male : single,none,0,car or other,24,none,for free,1,skilled employee/official,0 to 2,no,no,0
828,1,12,no credits taken/all credits paid back duly,car (used),12334,unknown/no savings account,4,0,female : non-single or male : single,none,0,car or other,24,none,for free,1,skilled employee/official,0 to 2,no,no,0
829,3,12,no credits taken/all credits paid back duly,furniture/equipment,14031,... <  100 DM,1,2,male : married/widowed,none,0,car or other,51,none,rent,1,manager/self-empl./highly qualif. employee,3 or more,yes (under customer name),no,0
830,1,12,existing credits paid back duly till now,others,3527,100 <= ... <  500 DM,1,2,male : divorced/separated,none,1,car or other,20,none,own,1,manager/self-empl./highly qualif. employee,3 or more,yes (under customer name),no,0
831,1,24,no credits taken/all credits paid back duly,others,1207,500 <= ... < 1000 DM,1,2,female : non-single or male : single,none,0,car or other,24,none,for free,1,skilled employee/official,0 to 2,no,no,1
832,1,24,no credits taken/all credits paid back duly,others,1574,unknown/no savings account,1,3,female : non-single or male : single,none,0,car or other,24,none,for free,1,skilled employee/official,0 to 2,no,no,1
833,0,36,all credits at this bank paid back duly,car (used),5801,unknown/no savings account,1,2,male : married/widowed,co-applicant,0,real estate,26,none,for free,1,manager/self-empl./highly qualif. employee,0 to 2,yes (under customer name),yes,0
834,0,36,critical account/other credits elsewhere,car (used),5801,unknown/no savings account,1,2,male : married/widowed,co-applicant,0,real estate,26,none,for free,1,manager/self-empl./highly qualif. employee,0 to 2,yes (under customer name),yes,0
835,1,18,critical account/other credits elsewhere,others,1442,unknown/no savings account,3,3,male : married/widowed,none,0,real estate,32,bank,own,3-Feb,unskilled - resident,3 or more,yes (under customer name),yes,0
836,1,18,all credits at this bank paid back duly,others,1442,unknown/no savings account,3,1,male : married/widowed,none,0,real estate,32,stores,own,3-Feb,unskilled - resident,3 or more,no,no,1
837,2,30,no credits taken/all credits paid back duly,retraining,3441,... <  100 DM,2,2,male : divorced/separated,co-applicant,0,building soc. savings agr./life insurance,58,bank,for free,1,skilled employee/official,0 to 2,no,no,1
838,2,30,no credits taken/all credits paid back duly,car (used),3441,... <  100 DM,3,2,female : non-single or male : single,co-applicant,0,building soc. savings agr./life insurance,65,bank,for free,1,skilled employee/official,0 to 2,no,yes,0
839,2,36,no credits taken/all credits paid back duly,car (new),12389,... >= 1000 DM,2,3,male : married/widowed,none,0,real estate,37,none,own,1,skilled employee/official,0 to 2,yes (under customer name),no,1
840,2,36,no credits taken/all credits paid back duly,others,12389,500 <= ... < 1000 DM,2,3,male : married/widowed,none,0,real estate,37,none,own,1,skilled employee/official,0 to 2,yes (under customer name),no,0
