,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,income
32546,37,technician,divorced,tertiary,no,122,no,yes,cellular,25,jun,266,2,318,3,other,0
32547,37,blue-collar,married,tertiary,no,122,no,no,cellular,25,jun,266,2,318,3,unknown,0
32548,34,management,single,tertiary,no,-658,no,no,cellular,26,aug,1502,2,-1,0,unknown,1
32549,34,management,single,tertiary,no,250,no,no,cellular,26,aug,1366,2,-1,0,unknown,1
32550,41,management,married,secondary,no,0,no,no,cellular,21,nov,1573,1,-1,0,unknown,1
32551,41,management,married,secondary,no,0,no,no,cellular,3,nov,1462,1,-1,0,unknown,1
32552,34,technician,married,secondary,no,268,no,no,cellular,11,aug,812,4,-1,0,unknown,1
32553,34,technician,married,secondary,no,268,no,no,cellular,11,aug,875,4,-1,0,unknown,1
32554,43,admin.,single,secondary,no,99388,no,no,telephone,9,sep,208,1,-1,0,unknown,1
32555,43,blue-collar,single,secondary,no,35,no,no,telephone,9,sep,208,1,-1,0,unknown,0
32556,49,blue-collar,divorced,secondary,no,10613,no,yes,unknown,4,feb,1226,1,-1,28,unknown,0
32557,49,blue-collar,divorced,secondary,no,10613,no,yes,cellular,4,feb,436,1,-1,0,unknown,0
32558,46,technician,divorced,secondary,yes,66417,no,no,cellular,11,aug,1106,2,-1,0,unknown,1
32559,46,technician,divorced,secondary,yes,-11,no,no,cellular,11,aug,670,2,-1,0,unknown,1
32560,33,unknown,married,tertiary,no,1412,no,no,cellular,6,feb,1571,2,-1,0,unknown,1
32561,33,management,married,tertiary,no,1412,no,no,cellular,6,jun,1186,2,-1,0,unknown,1
32562,45,management,divorced,tertiary,no,-90,yes,no,cellular,1,jan,1347,1,192,1,failure,1
32563,45,management,divorced,tertiary,no,-90,yes,no,cellular,29,jan,881,1,192,1,success,1
32564,36,entrepreneur,divorced,unknown,no,298,yes,no,unknown,8,may,1514,1,-1,0,unknown,1
32565,36,entrepreneur,married,unknown,no,298,yes,no,unknown,20,oct,215,1,-1,0,unknown,1
32566,48,management,married,unknown,no,7861,no,no,telephone,20,apr,380,1,-1,0,unknown,1
32567,48,management,married,unknown,no,5638,no,no,cellular,20,apr,380,1,-1,0,unknown,1
32568,26,management,single,tertiary,no,690,no,no,cellular,5,feb,1222,3,-1,0,unknown,1
32569,26,management,single,tertiary,no,690,no,no,cellular,5,feb,1366,3,-1,38,unknown,1
