,age,workclass,fnlwgt,education-num,marital-status,relationship,race,sex,capital-gain,capital-loss,hours-per-week,income
760020,44,Private,174373,12,Married-civ-spouse,Husband,White,Male,0,2116,40,0
760021,70,Private,187891,7,Married-spouse-absent,Husband,White,Male,44811,0,40,1
760022,17,Private,53611,13,Never-married,Own-child,White,Female,20070,0,6,1
760023,33,Private,291494,2,Married-civ-spouse,Husband,White,Male,0,0,50,0
760024,62,Without-pay,254534,12,Married-civ-spouse,Husband,White,Male,0,0,40,0
760025,34,Private,175878,10,Separated,Not-in-family,White,Male,0,3354,40,1
760026,23,Private,202284,13,Never-married,Own-child,White,Male,85001,0,20,1
760027,24,Private,137591,10,Never-married,Own-child,White,Male,93176,3771,10,1
760028,31,Local-gov,295589,10,Never-married,Own-child,Black,Male,44311,0,40,1
760029,53,Private,68684,9,Married-civ-spouse,Husband,White,Male,57637,0,40,1
760030,73,Private,159007,15,Divorced,Other-relative,White,Female,59239,0,12,1
760031,30,Private,200246,11,Never-married,Not-in-family,White,Male,35119,0,40,1
760032,35,Private,283305,13,Never-married,Not-in-family,White,Female,59830,0,40,1
760033,20,Private,471452,10,Never-married,Own-child,White,Male,37943,0,30,0
760034,52,State-gov,109600,4,Married-spouse-absent,Unmarried,Asian-Pac-Islander,Female,4787,0,44,0
760035,53,Private,277772,9,Divorced,Husband,Black,Female,96667,0,40,1
760036,35,Private,219902,9,Separated,Unmarried,Black,Female,71792,0,45,1
760037,51,Private,231919,10,Married-civ-spouse,Husband,White,Male,0,1152,45,1
760038,64,Private,183513,9,Never-married,Not-in-family,White,Female,80394,0,14,1
760039,19,Private,112780,10,Never-married,Own-child,White,Female,37168,0,20,1
